experiment_code,scheme,fold,seed,initial_lr,eta_min,epoch,optimizer_step,train_loss,val_loss,val_mae,learning_rate,best_val_mae_so_far,best_epoch_so_far,epochs_since_improvement,is_best,stopped_early,numerical_failure
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,1,7,0.5843090159552438,0.4159279664357503,0.6750267264626242,1e-05,0.6750267264626242,1,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,2,14,0.5485309064388275,0.37022898718714714,0.6345769771229136,9.99938933078422e-06,0.6345769771229136,2,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,3,21,0.5183651617595127,0.3387763195981582,0.6018387254657167,9.997557473810373e-06,0.6018387254657167,3,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,4,28,0.45512058585882187,0.32047214469563795,0.5766974660700017,9.994504881061752e-06,0.5766974660700017,4,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,5,35,0.41263729041176184,0.31340743306403357,0.558711255160245,9.990232305719944e-06,0.558711255160245,5,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,6,42,0.38109864158156725,0.3138985528300206,0.5468841534238872,9.984740801978984e-06,0.5468841534238872,6,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,7,49,0.39801733002864886,0.31837019075949985,0.5382578733039625,9.978031724785247e-06,0.5382578733039625,7,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,8,56,0.3913800097735865,0.32470955699682236,0.5342088669285628,9.97010672950314e-06,0.5342088669285628,8,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,9,63,0.39729827667386935,0.32589510331551236,0.5337088814937706,9.960967771506666e-06,0.5337088814937706,9,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,10,70,0.3908210662858827,0.3258269925912221,0.5337143434466736,9.950617105696961e-06,0.5337088814937706,9,1,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,11,77,0.4461563953331539,0.3278050782779853,0.5329388328321051,9.939057285945933e-06,0.5329388328321051,11,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,12,84,0.4243653916886875,0.33129654576381046,0.5323069314667671,9.926291164466131e-06,0.5323069314667671,12,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,13,91,0.5027704409190586,0.3320000022649765,0.5322041080359254,9.91232189110701e-06,0.5322041080359254,13,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,14,98,0.4069290693317141,0.3293898478150368,0.5324591436675099,9.897152912577742e-06,0.5322041080359254,13,1,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,15,105,0.44214494100638796,0.32833950221538544,0.5325749049331201,9.8807879715968e-06,0.5322041080359254,13,2,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,16,112,0.43547202008111136,0.32767169798413914,0.5327720843228425,9.8632311059685e-06,0.5322041080359254,13,3,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,17,119,0.6351981163024902,0.3278455783923467,0.532695703679865,9.844486647586724e-06,0.5322041080359254,13,4,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,18,126,0.39446056527750833,0.32830070580045384,0.5324954031741979,9.824559221366101e-06,0.5322041080359254,13,5,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,19,133,0.4821080352578844,0.3282039600114028,0.5324852017489345,9.803453744100868e-06,0.5322041080359254,13,6,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,20,140,0.7849358809845788,0.32594740266601246,0.533250279744466,9.781175423251734e-06,0.5322041080359254,13,7,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,21,147,0.3732803918953453,0.323562861730655,0.534122862844756,9.757729755661012e-06,0.5322041080359254,13,8,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,22,154,0.583464822598866,0.32225512340664864,0.5346348125573359,9.73312252619635e-06,0.5322041080359254,13,9,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,23,161,0.39539009306047646,0.3218706746896108,0.5347487910877573,9.707359806323418e-06,0.5322041080359254,13,10,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,24,168,0.42421270268304007,0.3227650498350461,0.5342923278808592,9.680447952607845e-06,0.5322041080359254,13,11,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,25,175,0.4162146065916334,0.323513184984525,0.5339115228363961,9.652393605146845e-06,0.5322041080359254,13,12,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,26,182,0.42128898203372955,0.32713067904114723,0.5324871957952324,9.62320368593087e-06,0.5322041080359254,13,13,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,27,189,0.4690586243356977,0.3297162825862567,0.5319004928126478,9.592885397135707e-06,0.5319004928126478,27,0,True,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,28,196,0.4142793281436233,0.32949330906073254,0.5319020244713983,9.561446219345455e-06,0.5319004928126478,27,1,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,29,203,0.4415832332202366,0.3263965385655562,0.5326414887399383,9.528893909706798e-06,0.5319004928126478,27,2,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,30,210,0.4012256552066122,0.326067337145408,0.532728099707401,9.495236500015048e-06,0.5319004928126478,27,3,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,31,217,0.3798372782766819,0.3249893623093764,0.5330935881643583,9.460482294732422e-06,0.5319004928126478,27,4,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,32,224,0.3822682916319796,0.32366759578386944,0.5335970993041991,9.424639868939035e-06,0.5319004928126478,27,5,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,33,231,0.4523527068751199,0.32318419590592384,0.5337807249589398,9.387718066217125e-06,0.5319004928126478,27,6,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,34,238,0.39133124479225706,0.3210304242869218,0.5346894031871448,9.349725996469047e-06,0.5319004928126478,27,7,False,False,False
EXP-H064,primary,0,101,1e-05,1.0000000000000001e-07,35,245,0.39614657472286907,0.321823379645745,0.5342862590443003,9.310673033669522e-06,0.5319004928126478,27,8,False,False,False
