scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.0001,1.0000000000000002e-06,39,273,9.14404884265908e-05,0.4904295920169715,69,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H071_run/checkpoints/primary_k0_lr1e-04_seed101.pt,b2759a2692967759,101
primary,1,0.001,1e-05,19,114,0.0009803453744100868,0.5054509591767282,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H071_run/checkpoints/primary_k1_lr1e-03_seed101.pt,b2759a2692967759,101
primary,2,0.001,1e-05,56,392,0.000826476783923441,0.40610785913467395,86,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H071_run/checkpoints/primary_k2_lr1e-03_seed101.pt,b2759a2692967759,101
primary,3,0.0001,1.0000000000000002e-06,61,427,7.959536998847744e-05,0.5019769735336304,91,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H071_run/checkpoints/primary_k3_lr1e-04_seed101.pt,b2759a2692967759,101
primary,4,0.001,1e-05,13,91,0.000991232189110701,0.46717983603477486,43,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H071_run/checkpoints/primary_k4_lr1e-03_seed101.pt,b2759a2692967759,101
shadow,0,0.001,1e-05,19,133,0.0009803453744100868,0.4335248057047525,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H071_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,b2759a2692967759,101
shadow,1,0.001,1e-05,30,210,0.0009495236500015047,0.5020795168876648,60,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H071_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,b2759a2692967759,101
shadow,2,0.001,1e-05,16,112,0.00098632311059685,0.47305843639373796,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H071_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,b2759a2692967759,101
shadow,3,0.001,1e-05,37,259,0.0009229423231234975,0.49486753012917245,67,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H071_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,b2759a2692967759,101
shadow,4,0.001,1e-05,28,196,0.0009561446219345453,0.40196783781051637,58,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H071_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,b2759a2692967759,101
