scheme,fold,best_epoch,selected_initial_lr,lr_at_best_epoch,w_h0_b0,w_h0_b1,w_h0_b2,w_h0_b3,w_h0_b4,w_h0_b5,w_h0_b6,w_h0_b7,w_h1_b0,w_h1_b1,w_h1_b2,w_h1_b3,w_h1_b4,w_h1_b5,w_h1_b6,w_h1_b7,w_h2_b0,w_h2_b1,w_h2_b2,w_h2_b3,w_h2_b4,w_h2_b5,w_h2_b6,w_h2_b7,w_h3_b0,w_h3_b1,w_h3_b2,w_h3_b3,w_h3_b4,w_h3_b5,w_h3_b6,w_h3_b7
primary,0,27,0.001,0.0009592885397135706,-0.0207980927079916,-0.032970912754535675,-0.034842927008867264,-0.030703745782375336,-0.029580671340227127,-0.02648075856268406,0.023730220273137093,0.04837272688746452,0.008548354730010033,0.005655215587466955,0.011245819739997387,0.0221460722386837,0.027595948427915573,0.015640739351511,0.008017996326088905,-0.007696759887039661,0.029828693717718124,0.030488843098282814,0.01816931739449501,0.014673391357064247,0.02831185981631279,0.019692420959472656,-0.04769055172801018,-0.046698253601789474,-0.03854505345225334,-0.04844692349433899,-0.048649825155735016,-0.032536908984184265,-0.0008767242543399334,0.027020715177059174,-0.018195360898971558,0.0073346830904483795
primary,1,6,0.001,0.0009984740801978985,-0.00897410698235035,-0.007519683334976435,-0.0018351742764934897,0.0022730238270014524,0.003417024854570627,-0.004307711962610483,-0.0025532443542033434,-0.0019472293788567185,0.009765002876520157,0.01058596558868885,0.01131101232022047,0.010638419538736343,0.009833749383687973,0.00909116305410862,-0.0020267062354832888,0.0001493743184255436,0.006044403184205294,0.0004295629623811692,-0.0021743513643741608,-0.004417856223881245,-0.005909116473048925,-0.005935346707701683,-0.0014960687840357423,0.003921481780707836,0.0009373376960866153,-0.001064179465174675,0.000808748125564307,0.00021627631213050336,-0.0006488297367468476,0.005888214334845543,0.009984880685806274,0.0031609744764864445
primary,2,18,0.001,0.00098245592213661,-0.012269099242985249,-0.00682517234236002,0.0028067089151591063,0.010361234657466412,0.011247753165662289,-0.006639316212385893,-0.009463297203183174,-0.008484174497425556,0.02738632820546627,0.029207976534962654,0.02805585041642189,0.015595483593642712,0.007536598946899176,0.03310655429959297,0.04734333977103233,0.00980381015688181,0.015493911691009998,0.012358092702925205,0.010452677495777607,0.012151885777711868,0.016709161922335625,0.0010256991954520345,-0.020868048071861267,-0.023818770423531532,0.02841336280107498,0.028628118336200714,0.024092139676213264,0.012381588108837605,0.010894844308495522,0.02031007781624794,0.0013142491225153208,-0.002903703134506941
primary,3,48,0.0001,8.711173920144117e-05,-0.003484028624370694,-0.0018108595395460725,0.0014202676247805357,0.003033532528206706,0.0015062649035826325,-0.005365039221942425,-0.008773760870099068,-0.0034602934028953314,0.001947580254636705,0.0025429290253669024,0.002551069250330329,0.0020381128415465355,0.0010471135610714555,-0.0030140546150505543,-0.003789684735238552,-0.00834242906421423,-0.008253654465079308,-0.008618906140327454,-0.006956745870411396,-0.004082242492586374,-0.0012049284996464849,-3.0241975764511153e-05,-0.0010474130976945162,-0.0005166462506167591,0.0011463002301752567,0.0011565514141693711,-0.0001985646376851946,-0.0017598164267838001,-0.0018698502099141479,0.008460772223770618,0.015521262772381306,0.009082678705453873
primary,4,29,0.001,0.0009528893909706797,0.020148562267422676,0.030911922454833984,0.03397858142852783,0.036933284252882004,0.0287434421479702,0.0025932497810572386,0.008170176297426224,0.00350001803599298,0.05670551955699921,0.0621822215616703,0.05555005744099617,0.03464316204190254,0.011038889177143574,0.013426706194877625,0.0029254606924951077,-0.024426814168691635,-0.01060042716562748,-0.026112567633390427,-0.030148640275001526,-0.01787160150706768,-0.009852300398051739,-0.012313245795667171,0.03615943342447281,0.05021093040704727,0.0057011255994439125,0.0019103485392406583,-0.007898700423538685,-0.01734336093068123,-0.032722264528274536,-0.03822241351008415,0.020081674680113792,0.030211690813302994
shadow,0,47,0.001,0.0008763049794670775,-0.012298326939344406,-0.00666277389973402,-0.0029560059774667025,-0.006533685140311718,-0.016075851395726204,-0.04744476079940796,-0.0339292474091053,0.011842697858810425,0.04332784190773964,0.04829642176628113,0.04295305162668228,0.03307570144534111,0.03466637805104256,0.026270480826497078,0.03317175805568695,-0.003265583887696266,0.0032656178809702396,0.00454203225672245,0.006591754034161568,0.001635066932067275,-0.011101563461124897,-0.019116176292300224,0.024214746430516243,0.02743586152791977,0.02144300937652588,0.03155938535928726,0.038324013352394104,0.043667517602443695,0.04889342188835144,0.03219881281256676,-0.0030074522364884615,-0.022842755541205406
shadow,1,47,0.001,0.0008763049794670775,-0.025157295167446136,-0.014412643387913704,0.004382751416414976,0.024550708010792732,0.006981034763157368,0.004516832064837217,0.02478341944515705,0.001028116443194449,0.038506586104631424,0.03415794298052788,0.023942288011312485,0.009800807572901249,0.002548994729295373,-0.004579087719321251,-0.0287579745054245,-0.025225581601262093,-0.024401172995567322,-0.022000743076205254,-0.028356775641441345,-0.0343511737883091,-0.03218623250722885,0.01014571264386177,0.023666612803936005,0.012465788051486015,0.029899433255195618,0.02091396600008011,0.02436741814017296,0.03078935667872429,0.030355291441082954,-0.01137496717274189,0.020700683817267418,0.021562259644269943
shadow,2,95,0.0001,5.515836150926646e-05,0.0016388639342039824,-0.00045853154733777046,0.0016528735868632793,0.007387144956737757,0.011221666820347309,0.008914675563573837,0.00580739788711071,-2.3495926143368706e-05,-0.004593562334775925,-0.006804647855460644,-0.007245863322168589,-0.005954955238848925,-0.006412918213754892,-0.011256684549152851,-0.00524739408865571,-0.003013308858498931,-0.011338154785335064,-0.011783251538872719,-0.012064648792147636,-0.01025087758898735,-0.006623413413763046,0.0006451948429457843,0.004625616129487753,0.005069715902209282,-0.003986736293882132,-0.004480609204620123,-0.0015430229250341654,0.001246763626113534,0.0020373754668980837,0.011808537878096104,0.012425355613231659,0.009437981992959976
shadow,3,48,0.001,0.0008711173920144117,-0.025072619318962097,-0.015025232918560505,-0.003225469496101141,0.014248405583202839,0.031148547306656837,0.014637774787843227,-0.022702381014823914,-0.011535749770700932,-0.039545152336359024,-0.029111364856362343,-0.013292786665260792,-0.008945103734731674,-0.01182444579899311,0.016254913061857224,0.027341751381754875,0.020890822634100914,0.05157285928726196,0.03616321459412575,0.017897630110383034,0.004450927022844553,-0.003680427558720112,-0.027696741744875908,0.04398506134748459,0.008204934187233448,0.005768554750829935,0.008514377288520336,0.013902171514928341,0.027089398354291916,0.031274206936359406,0.014598948881030083,-0.0012652752920985222,-0.017683863639831543
shadow,4,57,0.0001,8.205248749256015e-05,-0.0007169859018176794,0.001749146031215787,0.0061910031363368034,0.008745442144572735,0.008987126871943474,0.008433694951236248,-0.0011627950007095933,-0.004924940876662731,-0.0017075975192710757,-0.0010647233575582504,0.0012023652670904994,0.003135357517749071,0.0022275352384895086,-0.005106052849441767,-0.00530829606577754,-0.003896587761119008,-0.014127236790955067,-0.012135576456785202,-0.007295694667845964,-0.0016374563565477729,0.002035158919170499,0.0029710642993450165,0.0040197474882006645,0.003693940816447139,-0.0033438405953347683,-0.004395288415253162,-0.005262141581624746,-0.006274072919040918,-0.00750488368794322,-0.004407328087836504,0.007756328210234642,0.01712956093251705
