scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed,config_hash,fusion_bundle_id
primary,0,0.001,1e-05,35,245,0.0009310673033669522,0.42928779486453894,65,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H082_run/checkpoints/primary_k0_lr1e-03_seed101.pt,d46c30892ffb4f27,101,abb0f7effd0e4c4d30a9b39d985f5972c2786a27ffee1b2fda2c5f0956624a3d,F1_SURFACE
primary,1,0.001,1e-05,15,90,0.00098807879715968,0.44369616652979993,45,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H082_run/checkpoints/primary_k1_lr1e-03_seed101.pt,d46c30892ffb4f27,101,abb0f7effd0e4c4d30a9b39d985f5972c2786a27ffee1b2fda2c5f0956624a3d,F1_SURFACE
primary,2,0.001,1e-05,30,210,0.0009495236500015047,0.3384048640727997,60,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H082_run/checkpoints/primary_k2_lr1e-03_seed101.pt,d46c30892ffb4f27,101,abb0f7effd0e4c4d30a9b39d985f5972c2786a27ffee1b2fda2c5f0956624a3d,F1_SURFACE
primary,3,0.01,0.0001,38,266,0.009187246438772938,0.48101696372032166,68,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H082_run/checkpoints/primary_k3_lr1e-02_seed101.pt,d46c30892ffb4f27,101,abb0f7effd0e4c4d30a9b39d985f5972c2786a27ffee1b2fda2c5f0956624a3d,F1_SURFACE
primary,4,0.001,1e-05,46,322,0.0008814009529720154,0.3413597643375397,76,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H082_run/checkpoints/primary_k4_lr1e-03_seed101.pt,d46c30892ffb4f27,101,abb0f7effd0e4c4d30a9b39d985f5972c2786a27ffee1b2fda2c5f0956624a3d,F1_SURFACE
shadow,0,0.001,1e-05,10,70,0.000995061710569696,0.40370345838142163,40,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H082_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,d46c30892ffb4f27,101,abb0f7effd0e4c4d30a9b39d985f5972c2786a27ffee1b2fda2c5f0956624a3d,F1_SURFACE
shadow,1,0.01,0.0001,18,126,0.0098245592213661,0.4883231222629547,48,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H082_run/checkpoints/shadow_k1_lr1e-02_seed101.pt,d46c30892ffb4f27,101,abb0f7effd0e4c4d30a9b39d985f5972c2786a27ffee1b2fda2c5f0956624a3d,F1_SURFACE
shadow,2,0.01,0.0001,44,308,0.008913130516324731,0.4066881239414215,74,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H082_run/checkpoints/shadow_k2_lr1e-02_seed101.pt,d46c30892ffb4f27,101,abb0f7effd0e4c4d30a9b39d985f5972c2786a27ffee1b2fda2c5f0956624a3d,F1_SURFACE
shadow,3,0.001,1e-05,36,252,0.0009270568813552756,0.3878444613832416,66,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H082_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,d46c30892ffb4f27,101,abb0f7effd0e4c4d30a9b39d985f5972c2786a27ffee1b2fda2c5f0956624a3d,F1_SURFACE
shadow,4,0.001,1e-05,27,189,0.0009592885397135706,0.41400447487831116,57,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H082_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,d46c30892ffb4f27,101,abb0f7effd0e4c4d30a9b39d985f5972c2786a27ffee1b2fda2c5f0956624a3d,F1_SURFACE
