scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed,config_hash,fusion_bundle_id
primary,0,0.001,1e-05,50,350,0.0008604725173927785,0.43284185004956793,80,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H101_run/checkpoints/primary_k0_lr1e-03_seed101.pt,4d5c32b05eee99c1,101,0fec29955cb0363e3156ac4b59368416134dc5472e4197bbdf8373c0001f6625,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9
primary,1,0.0001,1.0000000000000002e-06,38,228,9.187246438772939e-05,0.4373017224398526,68,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H101_run/checkpoints/primary_k1_lr1e-04_seed101.pt,4d5c32b05eee99c1,101,0fec29955cb0363e3156ac4b59368416134dc5472e4197bbdf8373c0001f6625,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9
primary,2,0.001,1e-05,24,168,0.0009680447952607845,0.40383732318878174,54,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H101_run/checkpoints/primary_k2_lr1e-03_seed101.pt,4d5c32b05eee99c1,101,0fec29955cb0363e3156ac4b59368416134dc5472e4197bbdf8373c0001f6625,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9
primary,3,0.01,0.0001,8,56,0.00997010672950314,0.489158034324646,38,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H101_run/checkpoints/primary_k3_lr1e-02_seed101.pt,4d5c32b05eee99c1,101,0fec29955cb0363e3156ac4b59368416134dc5472e4197bbdf8373c0001f6625,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9
primary,4,0.01,0.0001,21,147,0.009757729755661011,0.34839296340942383,51,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H101_run/checkpoints/primary_k4_lr1e-02_seed101.pt,4d5c32b05eee99c1,101,0fec29955cb0363e3156ac4b59368416134dc5472e4197bbdf8373c0001f6625,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9
shadow,0,0.01,0.0001,9,63,0.009960967771506667,0.35686065211440576,39,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H101_run/checkpoints/shadow_k0_lr1e-02_seed101.pt,4d5c32b05eee99c1,101,0fec29955cb0363e3156ac4b59368416134dc5472e4197bbdf8373c0001f6625,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9
shadow,1,0.01,0.0001,96,672,0.005438372523852834,0.43545153737068176,126,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H101_run/checkpoints/shadow_k1_lr1e-02_seed101.pt,4d5c32b05eee99c1,101,0fec29955cb0363e3156ac4b59368416134dc5472e4197bbdf8373c0001f6625,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9
shadow,2,0.01,0.0001,73,511,0.0071576074932471105,0.40194642543792725,103,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H101_run/checkpoints/shadow_k2_lr1e-02_seed101.pt,4d5c32b05eee99c1,101,0fec29955cb0363e3156ac4b59368416134dc5472e4197bbdf8373c0001f6625,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9
shadow,3,0.01,0.0001,51,357,0.00855017856687341,0.43982563596783264,81,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H101_run/checkpoints/shadow_k3_lr1e-02_seed101.pt,4d5c32b05eee99c1,101,0fec29955cb0363e3156ac4b59368416134dc5472e4197bbdf8373c0001f6625,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9
shadow,4,0.01,0.0001,13,91,0.00991232189110701,0.417408287525177,43,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H101_run/checkpoints/shadow_k4_lr1e-02_seed101.pt,4d5c32b05eee99c1,101,0fec29955cb0363e3156ac4b59368416134dc5472e4197bbdf8373c0001f6625,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9
