scheme,fold,seed,initial_lr,epoch,optimizer_step,learning_rate,train_loss,val_mae
primary,0,101,1e-05,1,7,1e-05,0.38434011914900373,0.5697788758711382
primary,0,101,1e-05,2,14,9.99938933078422e-06,0.4025310299226216,0.5637757561423562
primary,0,101,1e-05,3,21,9.997557473810373e-06,0.41140001373631613,0.5583878719445431
primary,0,101,1e-05,4,28,9.994504881061752e-06,0.3815654663568629,0.5535080360643791
primary,0,101,1e-05,5,35,9.990232305719944e-06,0.37962250092199873,0.5500565731164181
primary,0,101,1e-05,6,42,9.984740801978984e-06,0.39206517168453764,0.547021316759514
primary,0,101,1e-05,7,49,9.978031724785247e-06,0.3860399051170264,0.5454133351643881
primary,0,101,1e-05,8,56,9.97010672950314e-06,0.3923448600939342,0.5434286811135032
primary,0,101,1e-05,9,63,9.960967771506666e-06,0.385163100702422,0.5427802403767904
primary,0,101,1e-05,10,70,9.950617105696961e-06,0.38556578169975964,0.5418295426802202
primary,0,101,1e-05,11,77,9.939057285945933e-06,0.4336223730019161,0.5403210033069957
primary,0,101,1e-05,12,84,9.926291164466131e-06,0.3808608906609671,0.5385644219138406
primary,0,101,1e-05,13,91,9.91232189110701e-06,0.4854089617729187,0.537434231151234
primary,0,101,1e-05,14,98,9.897152912577742e-06,0.3833594380744866,0.5372102621829871
primary,0,101,1e-05,15,105,9.8807879715968e-06,0.40291517972946167,0.536468216867158
primary,0,101,1e-05,16,112,9.8632311059685e-06,0.382481811568141,0.5362101757165157
primary,0,101,1e-05,17,119,9.844486647586724e-06,0.583984340940203,0.5359884319883405
primary,0,101,1e-05,18,126,9.824559221366101e-06,0.3832056471811874,0.5361533020481919
primary,0,101,1e-05,19,133,9.803453744100868e-06,0.42901515534945894,0.5358360174930457
primary,0,101,1e-05,20,140,9.781175423251734e-06,0.7785608108554568,0.5362384680545691
primary,0,101,1e-05,21,147,9.757729755661012e-06,0.38287694971742375,0.5366064996430369
primary,0,101,1e-05,22,154,9.73312252619635e-06,0.533309525677136,0.5370381384184866
primary,0,101,1e-05,23,161,9.707359806323418e-06,0.3759511338347303,0.5368578361742424
primary,0,101,1e-05,24,168,9.680447952607845e-06,0.41340572919164387,0.5366782275113192
primary,0,101,1e-05,25,175,9.652393605146845e-06,0.4170788824558258,0.5366062106508197
primary,0,101,1e-05,26,182,9.62320368593087e-06,0.38663977411176476,0.5358637607458866
primary,0,101,1e-05,27,189,9.592885397135707e-06,0.41260573267936707,0.5351475513342655
primary,0,101,1e-05,28,196,9.561446219345455e-06,0.37248835765889715,0.5349610646565756
primary,0,101,1e-05,29,203,9.528893909706798e-06,0.404850110411644,0.5347579609264027
primary,0,101,1e-05,30,210,9.495236500015048e-06,0.41380387118884493,0.5339068788470644
primary,0,101,1e-05,31,217,9.460482294732422e-06,0.3781141601336588,0.5334993131232985
primary,0,101,1e-05,32,224,9.424639868939035e-06,0.38536834583750795,0.5332957181063566
primary,0,101,1e-05,33,231,9.387718066217125e-06,0.49754553607531954,0.5332790143562086
primary,0,101,1e-05,34,238,9.349725996469047e-06,0.37662578507193495,0.5337108265269886
primary,0,101,1e-05,35,245,9.310673033669522e-06,0.3957246808069093,0.5331984433260831
primary,0,101,1e-05,36,252,9.270568813552757e-06,0.3815801984497479,0.5334017493508079
primary,0,101,1e-05,37,259,9.229423231234975e-06,0.3821986724755594,0.5332628307920514
primary,0,101,1e-05,38,266,9.18724643877294e-06,0.39988919879708973,0.5331479852849786
primary,0,101,1e-05,39,273,9.144048842659081e-06,0.3843076889004026,0.5327053937045011
primary,0,101,1e-05,40,280,9.099841101253867e-06,0.3729914690234831,0.5325808091597124
primary,0,101,1e-05,41,287,9.054634122155991e-06,0.4069604980094092,0.5322710673014323
primary,0,101,1e-05,42,294,9.0084390595111e-06,0.45156794786453247,0.53220052430124
primary,0,101,1e-05,43,301,8.961267311259668e-06,0.4005666566746576,0.5324173840609464
primary,0,101,1e-05,44,308,8.913130516324733e-06,0.6038161516189575,0.5325504071784742
primary,0,101,1e-05,45,315,8.864040551740158e-06,0.4392302504607609,0.5326510342684659
primary,0,101,1e-05,46,322,8.814009529720155e-06,0.38039303570985794,0.5330280824141069
primary,0,101,1e-05,47,329,8.763049794670776e-06,0.37980600020715166,0.5335423440644236
primary,0,101,1e-05,48,336,8.711173920144118e-06,0.44075340032577515,0.5341437946666371
primary,0,101,1e-05,49,343,8.658394705735988e-06,0.3932448923587799,0.5347314603400953
primary,0,101,1e-05,50,350,8.604725173927786e-06,0.38094944187573027,0.5340312321980795
primary,0,101,1e-05,51,357,8.550178566873412e-06,0.3743438287305513,0.5332541610255386
primary,0,101,1e-05,52,364,8.494768343131955e-06,0.3775928941156183,0.5326035528471975
primary,0,101,1e-05,53,371,8.43850817434701e-06,0.4109285516398294,0.5323861151030569
primary,0,101,1e-05,54,378,8.381411941873379e-06,0.37364177831581663,0.5323754512902462
primary,0,101,1e-05,55,385,8.323493733352078e-06,0.5895767009684018,0.5320331978075432
primary,0,101,1e-05,56,392,8.26476783923441e-06,0.3888793694121497,0.5319326574152167
primary,0,101,1e-05,57,399,8.205248749256014e-06,0.372072471372251,0.5314387986154268
primary,0,101,1e-05,58,406,8.144951148861743e-06,0.37085741738389644,0.5316243027195786
primary,0,101,1e-05,59,413,8.083889915582235e-06,0.660284949200494,0.5315703189734257
primary,0,101,1e-05,60,420,8.022080115363127e-06,0.3829605888043131,0.5319693594267874
primary,0,101,1e-05,61,427,7.959536998847744e-06,0.5951413767678397,0.5316174825032552
primary,0,101,1e-05,62,434,7.89627599761423e-06,0.38385036481278284,0.5319675676750414
primary,0,101,1e-05,63,441,7.832312720368048e-06,0.37005805876106024,0.5317157109578451
primary,0,101,1e-05,64,448,7.767662949090754e-06,0.37190211373360527,0.5315340215509589
primary,0,101,1e-05,65,455,7.702342635146033e-06,0.37497878899531706,0.5316018480243105
primary,0,101,1e-05,66,462,7.636367895343947e-06,0.37546687413539204,0.5311424659960198
primary,0,101,1e-05,67,469,7.5697550079643376e-06,0.5263686967747552,0.5307860807939009
primary,0,101,1e-05,68,476,7.502520408740418e-06,0.40288920061928885,0.5308100960471414
primary,0,101,1e-05,69,483,7.43468068680349e-06,0.8988823571375438,0.5307349002722538
primary,0,101,1e-05,70,490,7.366252580589839e-06,0.3988147186381476,0.5310751019102155
primary,0,101,1e-05,71,497,7.297252973710756e-06,0.39545904312814983,0.5313144741636334
primary,0,101,1e-05,72,504,7.227698890786779e-06,0.37182222466383663,0.5317539735273882
primary,0,101,1e-05,73,511,7.15760749324711e-06,0.40792751738003324,0.5319089022549716
primary,0,101,1e-05,74,518,7.086996075095289e-06,0.40962652010577066,0.531313318194765
primary,0,101,1e-05,75,525,7.015882058642164e-06,0.3971111242260252,0.5306551384203362
primary,0,101,1e-05,76,532,6.9442829902071945e-06,0.37788093502500225,0.5303735155047793
primary,0,101,1e-05,77,539,6.8722165357891564e-06,0.5713371485471725,0.530057126825506
primary,0,101,1e-05,78,546,6.799700476707323e-06,0.4040597804955074,0.5300959095810399
primary,0,101,1e-05,79,553,6.726752705214193e-06,0.4071731758969171,0.5301661057905718
primary,0,101,1e-05,80,560,6.65339122008084e-06,0.3929209325994764,0.5302234129472212
primary,0,101,1e-05,81,567,6.57963412215599e-06,0.385459623166493,0.5303716659545898
primary,0,101,1e-05,82,574,6.505499609899905e-06,0.44820360626493183,0.5299353166060015
primary,0,101,1e-05,83,581,6.431005974894185e-06,0.3749169797769615,0.5298809282707445
primary,0,101,1e-05,84,588,6.356171597328595e-06,0.39985229287828716,0.5296008370139382
primary,0,101,1e-05,85,595,6.28101494146603e-06,0.4173027532441275,0.5294708194154681
primary,0,101,1e-05,86,602,6.205554551086732e-06,0.37140794756955336,0.5289018515384558
primary,0,101,1e-05,87,609,6.129809044912887e-06,0.4696138117994581,0.5286392154115619
primary,0,101,1e-05,88,616,6.053797112014738e-06,0.3734662969197546,0.5287555347789418
primary,0,101,1e-05,89,623,5.977537507199338e-06,0.3717495510022023,0.5290331985011245
primary,0,101,1e-05,90,630,5.901049046383077e-06,0.37873903661966324,0.5289528875639944
primary,0,101,1e-05,91,637,5.824350601949143e-06,0.372163341779794,0.5288225231748639
primary,0,101,1e-05,92,644,5.7474610980910354e-06,0.3655287763103843,0.5286937193437056
primary,0,101,1e-05,93,651,5.6703995061433075e-06,0.36632195993193556,0.5286912051114169
primary,0,101,1e-05,94,658,5.5931848399006745e-06,0.6510134381907327,0.5283681118127072
primary,0,101,1e-05,95,665,5.515836150926646e-06,0.37016201498253004,0.5283759724010121
primary,0,101,1e-05,96,672,5.438372523852833e-06,0.3855445704289845,0.5283146771517667
primary,0,101,1e-05,97,679,5.360813071670101e-06,0.8087458131568772,0.5277008865818833
primary,0,101,1e-05,98,686,5.283176931012731e-06,0.3737988594387259,0.5277103944258257
primary,0,101,1e-05,99,693,5.205483257436735e-06,0.8110199655805316,0.5276389555497603
primary,0,101,1e-05,100,700,5.127751220693512e-06,0.37531521384205135,0.5278282165527344
primary,0,101,1e-05,101,707,5.05e-06,0.3710529181158303,0.5281831567937677
primary,0,101,1e-05,102,714,4.972248779306488e-06,0.4034584420067923,0.5281828678015507
primary,0,101,1e-05,103,721,4.8945167425632645e-06,0.3704272655969752,0.5281147523359819
primary,0,101,1e-05,104,728,4.816823068987269e-06,0.39105166707720074,0.5281253583503492
primary,0,101,1e-05,105,735,4.7391869283298985e-06,0.3697747089234846,0.5283456860166608
primary,0,101,1e-05,106,742,4.661627476147168e-06,0.37912532048566,0.528222401936849
primary,0,101,1e-05,107,749,4.584163849073354e-06,0.3757630179503134,0.5283326813668916
primary,0,101,1e-05,108,756,4.506815160099326e-06,0.77698501093047,0.5282115936279297
primary,0,101,1e-05,109,763,4.429600493856694e-06,0.3881864420005253,0.5284182519623728
primary,0,101,1e-05,110,770,4.352538901908967e-06,0.37251164285199984,0.5282162464026249
primary,0,101,1e-05,111,777,4.275649398050858e-06,0.38786099425383974,0.5281108220418295
primary,0,101,1e-05,112,784,4.198950953616922e-06,0.38306274371487753,0.5278743975090258
primary,0,101,1e-05,113,791,4.122462492800663e-06,0.37434303055384327,0.5275782671841708
primary,0,101,1e-05,114,798,4.046202887985263e-06,0.37077650108507704,0.5270807959816672
primary,0,101,1e-05,115,805,3.970190955087116e-06,0.3973017781972885,0.5267940868030895
primary,0,101,1e-05,116,812,3.894445448913268e-06,0.3731411346899612,0.5264319795550723
primary,0,101,1e-05,117,819,3.818985058533969e-06,0.38455873089177267,0.5264235120831113
primary,0,101,1e-05,118,826,3.7438284026714044e-06,0.3741415132369314,0.5263729962435636
primary,0,101,1e-05,119,833,3.6689940251058153e-06,0.3663142280919211,0.526136369416208
primary,0,101,1e-05,120,840,3.594500390100096e-06,0.3698118669646127,0.5259082678592566
