scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_HSP_EIS_R8_PROMOTED,595776e4efc894c26d6b0c77b0ad9e1f47991ab4ada63625bcfe229b86faf12b,3,97
primary,1,FS_HIC_HSP_EIS_R8_PROMOTED,9a9a28dce6f5ca06a5708e14594e47ea24b1a86a4074daf30898b4b7e712e03e,3,96
primary,2,FS_HIC_HSP_EIS_R8_PROMOTED,9957f20125912e3ec3cef20020d63aa03724b29db2b39a76fc5a94f7737efa77,3,97
primary,3,FS_HIC_HSP_EIS_R8_PROMOTED,b4dd9c5e708f94a0f7a2cc00e3e382f2811beddc07caa537dab62fdf6aea49be,3,98
primary,4,FS_HIC_HSP_EIS_R8_PROMOTED,bc1fe00a1e61f84edb4306452fe01e44310d554ef7be26f920a36b3fd68cc7e9,3,98
shadow,0,FS_HIC_HSP_EIS_R8_PROMOTED,6c34546393697ba398db9938de0537551024bdf3e56e44047e7516cc05fddbb1,3,97
shadow,1,FS_HIC_HSP_EIS_R8_PROMOTED,590cc917c6b016dc0134891654824d1a4bab99ad55537db28baec5178c7ce4cc,3,97
shadow,2,FS_HIC_HSP_EIS_R8_PROMOTED,b47bd836afb81d4a664479dd84b01e72c0f893cb92728b1d282af1b7a3f27ba7,3,98
shadow,3,FS_HIC_HSP_EIS_R8_PROMOTED,f3a2bc490402cc68cfefa65c394d7dfc0a53d5e5b8c385424d71c4327ce77ef4,3,97
shadow,4,FS_HIC_HSP_EIS_R8_PROMOTED,b2d90e7de1554af36be980b3d7a64cc5fc55141a0a7c968c812bf710516342a9,3,97
