scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.01,0.0001,1,7,0.01,0.525935635653409,31,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H231_run/checkpoints/primary_k0_lr1e-02_seed101.pt,13358cb1e3782e93,101
primary,1,0.0001,1.0000000000000002e-06,76,456,6.944282990207195e-05,0.4951304446133701,106,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H231_run/checkpoints/primary_k1_lr1e-04_seed101.pt,13358cb1e3782e93,101
primary,2,0.001,1e-05,24,168,0.0009680447952607845,0.36170857357978825,54,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H231_run/checkpoints/primary_k2_lr1e-03_seed101.pt,13358cb1e3782e93,101
primary,3,0.001,1e-05,47,329,0.0008763049794670775,0.5065698025226593,77,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H231_run/checkpoints/primary_k3_lr1e-03_seed101.pt,13358cb1e3782e93,101
primary,4,0.001,1e-05,34,238,0.0009349725996469047,0.4453834893703461,64,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H231_run/checkpoints/primary_k4_lr1e-03_seed101.pt,13358cb1e3782e93,101
shadow,0,0.001,1e-05,45,315,0.0008864040551740157,0.4555235089388761,75,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H231_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,13358cb1e3782e93,101
shadow,1,0.0001,1.0000000000000002e-06,69,483,7.43468068680349e-05,0.5120168466567994,99,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H231_run/checkpoints/shadow_k1_lr1e-04_seed101.pt,13358cb1e3782e93,101
shadow,2,0.01,0.0001,17,119,0.009844486647586723,0.4999301111698153,47,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H231_run/checkpoints/shadow_k2_lr1e-02_seed101.pt,13358cb1e3782e93,101
shadow,3,0.001,1e-05,17,119,0.0009844486647586723,0.4855548063335996,47,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H231_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,13358cb1e3782e93,101
shadow,4,0.001,1e-05,51,357,0.000855017856687341,0.40087108302116403,81,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H231_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,13358cb1e3782e93,101
