scheme,fold,seed,initial_lr,epoch,optimizer_step,learning_rate,train_loss,val_mae
primary,0,101,1e-05,1,7,1e-05,0.3743360051885247,0.5437885920206705
primary,0,101,1e-05,2,14,9.99938933078422e-06,0.3975648060441017,0.5435618776263613
primary,0,101,1e-05,3,21,9.997557473810373e-06,0.403540130172457,0.5424931266091086
primary,0,101,1e-05,4,28,9.994504881061752e-06,0.3881781029506653,0.541301120411266
primary,0,101,1e-05,5,35,9.990232305719944e-06,0.4042389616370201,0.5409664674238726
primary,0,101,1e-05,6,42,9.984740801978984e-06,0.4121369996241161,0.540778333490545
primary,0,101,1e-05,7,49,9.978031724785247e-06,0.3715529120859823,0.5414036259506688
primary,0,101,1e-05,8,56,9.97010672950314e-06,0.38799713126250673,0.541412353515625
primary,0,101,1e-05,9,63,9.960967771506666e-06,0.3852995442492621,0.5424298373135653
primary,0,101,1e-05,10,70,9.950617105696961e-06,0.38821394581879887,0.5424707586115057
primary,0,101,1e-05,11,77,9.939057285945933e-06,0.47234750858375,0.5411470586603339
primary,0,101,1e-05,12,84,9.926291164466131e-06,0.3756109696945974,0.5390709096735175
primary,0,101,1e-05,13,91,9.91232189110701e-06,0.49972768127918243,0.5379328294233843
primary,0,101,1e-05,14,98,9.897152912577742e-06,0.3940026472721781,0.5382854288274591
primary,0,101,1e-05,15,105,9.8807879715968e-06,0.41354201095444815,0.5372862960353042
primary,0,101,1e-05,16,112,9.8632311059685e-06,0.3754234800580889,0.5372525706435695
primary,0,101,1e-05,17,119,9.844486647586724e-06,0.5884859774793897,0.5370149323434541
primary,0,101,1e-05,18,126,9.824559221366101e-06,0.37608244695833754,0.5368278098828865
primary,0,101,1e-05,19,133,9.803453744100868e-06,0.46672113452638897,0.5364833889585553
primary,0,101,1e-05,20,140,9.781175423251734e-06,0.7792221009731293,0.5378823713822798
primary,0,101,1e-05,21,147,9.757729755661012e-06,0.370056427466417,0.5391198360558712
primary,0,101,1e-05,22,154,9.73312252619635e-06,0.5659554302692413,0.539527026089755
primary,0,101,1e-05,23,161,9.707359806323418e-06,0.37460586570003734,0.5398378372192383
primary,0,101,1e-05,24,168,9.680447952607845e-06,0.41850919808660236,0.5405245405254941
primary,0,101,1e-05,25,175,9.652393605146845e-06,0.4150460681744984,0.54125638441606
primary,0,101,1e-05,26,182,9.62320368593087e-06,0.3925446112241064,0.5397502147790157
primary,0,101,1e-05,27,189,9.592885397135707e-06,0.4172920712402889,0.5382909774780273
primary,0,101,1e-05,28,196,9.561446219345455e-06,0.37432088303778854,0.5381523479114879
primary,0,101,1e-05,29,203,9.528893909706798e-06,0.4386702903679439,0.5385524865352747
primary,0,101,1e-05,30,210,9.495236500015048e-06,0.4002757306609835,0.5377928993918679
primary,0,101,1e-05,31,217,9.460482294732422e-06,0.38484259131733517,0.5374767708055901
primary,0,101,1e-05,32,224,9.424639868939035e-06,0.38281496507780893,0.5373841776992335
primary,0,101,1e-05,33,231,9.387718066217125e-06,0.5014299941914422,0.5375750570586233
primary,0,101,1e-05,34,238,9.349725996469047e-06,0.4134645547185625,0.5383691787719727
primary,0,101,1e-05,35,245,9.310673033669522e-06,0.39028656908444,0.5373640060424805
primary,0,101,1e-05,36,252,9.270568813552757e-06,0.38900398356573923,0.5377536831480084
primary,0,101,1e-05,37,259,9.229423231234975e-06,0.3696462054337774,0.5377934195778586
primary,0,101,1e-05,38,266,9.18724643877294e-06,0.3984761301960264,0.5376123948530718
primary,0,101,1e-05,39,273,9.144048842659081e-06,0.3872913973672049,0.5365684682672675
primary,0,101,1e-05,40,280,9.099841101253867e-06,0.37399730352418764,0.5360676158558239
primary,0,101,1e-05,41,287,9.054634122155991e-06,0.38471805836473194,0.5355468229814009
primary,0,101,1e-05,42,294,9.0084390595111e-06,0.45420620271137785,0.5352726849642667
primary,0,101,1e-05,43,301,8.961267311259668e-06,0.40739620583398,0.5357191490404534
primary,0,101,1e-05,44,308,8.913130516324733e-06,0.613326330270086,0.5358647722186465
