cv_scheme,fold,seed,head,a_h,ell_h_angstrom,initial_ell_angstrom,best_epoch
primary,0,101,0,-0.007024443242698908,17.083263397216797,17.122976303100586,85
primary,0,101,1,0.006295205559581518,17.08371353149414,17.122976303100586,85
primary,0,101,2,0.01782565750181675,17.084749221801758,17.122976303100586,85
primary,0,101,3,0.005375853274017572,17.08390998840332,17.122976303100586,85
primary,1,101,0,-0.00013824716734234244,17.087942123413086,17.0939884185791,13
primary,1,101,1,-0.002945524174720049,17.08791160583496,17.0939884185791,13
primary,1,101,2,0.0017297740560024977,17.08796501159668,17.0939884185791,13
primary,1,101,3,0.008610004559159279,17.088394165039062,17.0939884185791,13
primary,2,101,0,0.005993236787617207,17.098766326904297,17.11080551147461,26
primary,2,101,1,-0.0005355432513169944,17.098552703857422,17.11080551147461,26
primary,2,101,2,0.004672428593039513,17.098831176757812,17.11080551147461,26
primary,2,101,3,0.015806475654244423,17.100130081176758,17.11080551147461,26
primary,3,101,0,-0.0023001653607934713,17.130807876586914,17.13593864440918,11
primary,3,101,1,-0.003930648788809776,17.130834579467773,17.13593864440918,11
primary,3,101,2,0.00036050687776878476,17.13079833984375,17.13593864440918,11
primary,3,101,3,0.0005810699076391757,17.130796432495117,17.13593864440918,11
primary,4,101,0,-0.004993665497750044,17.122539520263672,17.130462646484375,17
primary,4,101,1,-0.002459794282913208,17.12256622314453,17.130462646484375,17
primary,4,101,2,0.0014181517763063312,17.12257957458496,17.130462646484375,17
primary,4,101,3,0.0014870008453726768,17.122570037841797,17.130462646484375,17
primary,0,202,0,-0.0027914701495319605,17.101903915405273,17.122976303100586,46
primary,0,202,1,-0.0020710714161396027,17.10141944885254,17.122976303100586,46
primary,0,202,2,0.004449961241334677,17.101665496826172,17.122976303100586,46
primary,0,202,3,-0.002898013684898615,17.10138511657715,17.122976303100586,46
primary,1,202,0,0.004730661865323782,17.08711814880371,17.0939884185791,15
primary,1,202,1,0.0007472137222066522,17.086999893188477,17.0939884185791,15
primary,1,202,2,0.003945572301745415,17.08700942993164,17.0939884185791,15
primary,1,202,3,-0.0001583042467245832,17.087011337280273,17.0939884185791,15
primary,2,202,0,0.0035734293051064014,17.107078552246094,17.11080551147461,8
primary,2,202,1,-0.001188660622574389,17.10707664489746,17.11080551147461,8
primary,2,202,2,-0.0009718089713715017,17.107067108154297,17.11080551147461,8
primary,2,202,3,-9.127141674980521e-05,17.107065200805664,17.11080551147461,8
primary,3,202,0,-1.6641186448396184e-05,17.131303787231445,17.13593864440918,10
primary,3,202,1,-0.0022415246348828077,17.131250381469727,17.13593864440918,10
primary,3,202,2,0.00014698074664920568,17.131258010864258,17.13593864440918,10
primary,3,202,3,-0.005727189127355814,17.131322860717773,17.13593864440918,10
primary,4,202,0,-0.0007876684539951384,17.108707427978516,17.130462646484375,47
primary,4,202,1,0.0021667154505848885,17.108640670776367,17.130462646484375,47
primary,4,202,2,0.005928977858275175,17.1084041595459,17.130462646484375,47
primary,4,202,3,-0.005975882988423109,17.10881805419922,17.130462646484375,47
primary,0,303,0,0.0030721817165613174,17.098751068115234,17.122976303100586,53
primary,0,303,1,0.009951101616024971,17.09957504272461,17.122976303100586,53
primary,0,303,2,0.008282295428216457,17.098712921142578,17.122976303100586,53
primary,0,303,3,0.01148579828441143,17.09800910949707,17.122976303100586,53
primary,1,303,0,-0.0028854443226009607,17.08376121520996,17.0939884185791,22
primary,1,303,1,-0.0015474447282031178,17.083757400512695,17.0939884185791,22
primary,1,303,2,-0.0017926939763128757,17.083703994750977,17.0939884185791,22
primary,1,303,3,0.003760657738894224,17.08378791809082,17.0939884185791,22
primary,2,303,0,0.0023373779840767384,17.09838104248047,17.11080551147461,27
primary,2,303,1,0.0010045572416856885,17.09834098815918,17.11080551147461,27
primary,2,303,2,0.012676975689828396,17.09851837158203,17.11080551147461,27
primary,2,303,3,0.0008593208622187376,17.09828758239746,17.11080551147461,27
primary,3,303,0,0.0037612977903336287,17.129486083984375,17.13593864440918,14
primary,3,303,1,0.0006182974902912974,17.129444122314453,17.13593864440918,14
primary,3,303,2,0.0016564787365496159,17.129419326782227,17.13593864440918,14
