experiment_code,scheme,fold,seed,initial_lr,eta_min,epoch,optimizer_step,train_loss,val_loss,val_mae,learning_rate,best_val_mae_so_far,best_epoch_so_far,epochs_since_improvement,is_best,stopped_early,numerical_failure
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,1,7,0.49418232164212633,0.4771370490392049,3.360595703125,1e-05,3.360595703125,1,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,2,14,0.5616626526628222,0.47920097907384235,3.3558585427024146,9.99938933078422e-06,3.3558585427024146,2,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,3,21,0.5311658424990517,0.4816083113352458,3.351011102849787,9.997557473810373e-06,3.351011102849787,3,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,4,28,0.49710296945912497,0.48737335205078125,3.3442179361979165,9.994504881061752e-06,3.3442179361979165,4,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,5,35,0.48747153194355114,0.49129732449849445,3.345566027092211,9.990232305719944e-06,3.3442179361979165,4,1,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,6,42,0.5959841012954712,0.49335212508837384,3.3458247329249526,9.984740801978984e-06,3.3442179361979165,4,2,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,7,49,0.4913406329495566,0.49497342109680176,3.345801844741359,9.978031724785247e-06,3.3442179361979165,4,3,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,8,56,0.4780163876712322,0.49609869718551636,3.3456728386156485,9.97010672950314e-06,3.3442179361979165,4,4,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,9,63,0.539278677531651,0.49711477756500244,3.3454649954131157,9.960967771506666e-06,3.3442179361979165,4,5,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,10,70,0.4897467392895903,0.4982607066631317,3.3452805027817236,9.950617105696961e-06,3.3442179361979165,4,6,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,11,77,0.5308818391391209,0.49768877029418945,3.3441716974431817,9.939057285945933e-06,3.3441716974431817,11,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,12,84,0.5234203530209405,0.4974240263303121,3.3432601003935845,9.926291164466131e-06,3.3432601003935845,12,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,13,91,0.5501464051859719,0.4967444936434428,3.3421857429273203,9.91232189110701e-06,3.3421857429273203,13,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,14,98,0.5136307265077319,0.4970804949601491,3.3414542458274146,9.897152912577742e-06,3.3414542458274146,14,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,15,105,0.4662623276401843,0.49782177805900574,3.3410177519827178,9.8807879715968e-06,3.3410177519827178,15,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,16,112,0.5098522177764347,0.500534345706304,3.3414801395300664,9.8632311059685e-06,3.3410177519827178,15,1,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,17,119,0.7351947511945452,0.5001061161359152,3.3403294881184897,9.844486647586724e-06,3.3403294881184897,17,0,True,False,False
