scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.001,1e-05,23,161,0.0009707359806323416,2.7011374271277226,53,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T093_run/checkpoints/primary_k0_lr1e-03_seed101.pt,0d84ab04a06e7c54,101
primary,1,0.001,1e-05,39,234,0.0009144048842659081,3.285848444158381,69,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T093_run/checkpoints/primary_k1_lr1e-03_seed101.pt,0d84ab04a06e7c54,101
primary,2,0.001,1e-05,21,147,0.0009757729755661011,3.4067423343658447,51,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T093_run/checkpoints/primary_k2_lr1e-03_seed101.pt,0d84ab04a06e7c54,101
primary,3,0.001,1e-05,22,154,0.0009733122526196349,2.8585917949676514,52,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T093_run/checkpoints/primary_k3_lr1e-03_seed101.pt,0d84ab04a06e7c54,101
primary,4,0.001,1e-05,40,280,0.0009099841101253866,2.763031005859375,70,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T093_run/checkpoints/primary_k4_lr1e-03_seed101.pt,0d84ab04a06e7c54,101
shadow,0,0.0001,1.0000000000000002e-06,91,637,5.8243506019491436e-05,2.6057658339991714,121,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T093_run/checkpoints/shadow_k0_lr1e-04_seed101.pt,0d84ab04a06e7c54,101
shadow,1,0.001,1e-05,32,224,0.0009424639868939033,3.3436319828033447,62,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T093_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,0d84ab04a06e7c54,101
shadow,2,0.0001,1.0000000000000002e-06,82,574,6.505499609899905e-05,3.045347213745117,112,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T093_run/checkpoints/shadow_k2_lr1e-04_seed101.pt,0d84ab04a06e7c54,101
shadow,3,0.001,1e-05,19,133,0.0009803453744100868,3.437142112038352,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T093_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,0d84ab04a06e7c54,101
shadow,4,0.01,0.0001,5,35,0.009990232305719944,3.262413740158081,35,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T093_run/checkpoints/shadow_k4_lr1e-02_seed101.pt,0d84ab04a06e7c54,101
