scheme,fold,g_H,g_L,best_epoch,selected_initial_lr,lr_at_best_epoch
primary,0,0.05461982265114784,-0.04697153717279434,84,0.0001,6.356171597328596e-05
primary,1,0.060775015503168106,0.0555855818092823,119,0.0001,3.668994025105816e-05
primary,2,-0.022391824051737785,0.06093040481209755,17,0.001,0.0009844486647586723
primary,3,-0.03415263816714287,0.036853231489658356,13,0.001,0.000991232189110701
primary,4,0.04852196201682091,-0.05778948590159416,17,0.001,0.0009844486647586723
shadow,0,0.02867395617067814,-0.04453067108988762,59,0.0001,8.083889915582235e-05
shadow,1,-0.020057762041687965,0.04908386990427971,20,0.001,0.0009781175423251734
shadow,2,-0.01381684746593237,-0.005353543907403946,14,0.001,0.0009897152912577741
shadow,3,-0.013974161818623543,0.041528504341840744,12,0.001,0.000992629116446613
shadow,4,-0.06480640918016434,0.038940321654081345,24,0.001,0.0009680447952607845
