scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed,config_hash,fusion_bundle_id
primary,0,0.001,1e-05,22,154,0.0009733122526196349,2.8008304942737925,52,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T125_run/checkpoints/primary_k0_lr1e-03_seed101.pt,af3c8baa209a2429,101,20c6e546c904a47cd3eb0be5687f1db0f26ece7af82c3630ad6944ab0eb27935,
primary,1,0.01,0.0001,5,30,0.009990232305719944,3.563375762014678,35,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T125_run/checkpoints/primary_k1_lr1e-02_seed101.pt,af3c8baa209a2429,101,20c6e546c904a47cd3eb0be5687f1db0f26ece7af82c3630ad6944ab0eb27935,
primary,2,0.001,1e-05,38,266,0.0009187246438772938,2.914581537246704,68,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T125_run/checkpoints/primary_k2_lr1e-03_seed101.pt,af3c8baa209a2429,101,20c6e546c904a47cd3eb0be5687f1db0f26ece7af82c3630ad6944ab0eb27935,
primary,3,0.0001,1.0000000000000002e-06,44,308,8.913130516324733e-05,2.1119117736816406,74,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T125_run/checkpoints/primary_k3_lr1e-04_seed101.pt,af3c8baa209a2429,101,20c6e546c904a47cd3eb0be5687f1db0f26ece7af82c3630ad6944ab0eb27935,
primary,4,0.0001,1.0000000000000002e-06,75,525,7.015882058642164e-05,2.738680124282837,105,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T125_run/checkpoints/primary_k4_lr1e-04_seed101.pt,af3c8baa209a2429,101,20c6e546c904a47cd3eb0be5687f1db0f26ece7af82c3630ad6944ab0eb27935,
shadow,0,0.001,1e-05,24,168,0.0009680447952607845,2.5125559026544746,54,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T125_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,af3c8baa209a2429,101,20c6e546c904a47cd3eb0be5687f1db0f26ece7af82c3630ad6944ab0eb27935,
shadow,1,0.001,1e-05,29,203,0.0009528893909706797,2.8636196851730347,59,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T125_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,af3c8baa209a2429,101,20c6e546c904a47cd3eb0be5687f1db0f26ece7af82c3630ad6944ab0eb27935,
shadow,2,0.001,1e-05,108,756,0.0004506815160099326,2.665585517883301,138,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T125_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,af3c8baa209a2429,101,20c6e546c904a47cd3eb0be5687f1db0f26ece7af82c3630ad6944ab0eb27935,
shadow,3,0.001,1e-05,3,21,0.0009997557473810372,3.548814484567353,33,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T125_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,af3c8baa209a2429,101,20c6e546c904a47cd3eb0be5687f1db0f26ece7af82c3630ad6944ab0eb27935,
shadow,4,0.001,1e-05,20,140,0.0009781175423251734,2.6112775802612305,50,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T125_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,af3c8baa209a2429,101,20c6e546c904a47cd3eb0be5687f1db0f26ece7af82c3630ad6944ab0eb27935,
