scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed,config_hash,fusion_bundle_id
primary,0,0.001,1e-05,28,196,0.0009561446219345453,2.7292200724283853,58,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T127_run/checkpoints/primary_k0_lr1e-03_seed101.pt,959c067bf087ebc0,101,15ba4bc7e85867c30df66fd1a0a0629054ecc0d0fb7b758fa04a51ac8357f6f6,
primary,1,0.001,1e-05,15,90,0.00098807879715968,3.455987410111861,45,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T127_run/checkpoints/primary_k1_lr1e-03_seed101.pt,959c067bf087ebc0,101,15ba4bc7e85867c30df66fd1a0a0629054ecc0d0fb7b758fa04a51ac8357f6f6,
primary,2,0.001,1e-05,30,210,0.0009495236500015047,2.8934264183044434,60,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T127_run/checkpoints/primary_k2_lr1e-03_seed101.pt,959c067bf087ebc0,101,15ba4bc7e85867c30df66fd1a0a0629054ecc0d0fb7b758fa04a51ac8357f6f6,
primary,3,0.0001,1.0000000000000002e-06,68,476,7.502520408740418e-05,2.1328325271606445,98,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T127_run/checkpoints/primary_k3_lr1e-04_seed101.pt,959c067bf087ebc0,101,15ba4bc7e85867c30df66fd1a0a0629054ecc0d0fb7b758fa04a51ac8357f6f6,
primary,4,0.001,1e-05,32,224,0.0009424639868939033,2.4839460849761963,62,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T127_run/checkpoints/primary_k4_lr1e-03_seed101.pt,959c067bf087ebc0,101,15ba4bc7e85867c30df66fd1a0a0629054ecc0d0fb7b758fa04a51ac8357f6f6,
shadow,0,0.0001,1.0000000000000002e-06,41,287,9.05463412215599e-05,2.373380487615412,71,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T127_run/checkpoints/shadow_k0_lr1e-04_seed101.pt,959c067bf087ebc0,101,15ba4bc7e85867c30df66fd1a0a0629054ecc0d0fb7b758fa04a51ac8357f6f6,
shadow,1,0.0001,1.0000000000000002e-06,70,490,7.366252580589839e-05,2.8793301582336426,100,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T127_run/checkpoints/shadow_k1_lr1e-04_seed101.pt,959c067bf087ebc0,101,15ba4bc7e85867c30df66fd1a0a0629054ecc0d0fb7b758fa04a51ac8357f6f6,
shadow,2,0.001,1e-05,28,196,0.0009561446219345453,2.995180130004883,58,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T127_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,959c067bf087ebc0,101,15ba4bc7e85867c30df66fd1a0a0629054ecc0d0fb7b758fa04a51ac8357f6f6,
shadow,3,0.01,0.0001,10,70,0.00995061710569696,3.5361055316347065,40,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T127_run/checkpoints/shadow_k3_lr1e-02_seed101.pt,959c067bf087ebc0,101,15ba4bc7e85867c30df66fd1a0a0629054ecc0d0fb7b758fa04a51ac8357f6f6,
shadow,4,0.001,1e-05,31,217,0.0009460482294732421,2.5983266830444336,61,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T127_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,959c067bf087ebc0,101,15ba4bc7e85867c30df66fd1a0a0629054ecc0d0fb7b758fa04a51ac8357f6f6,
