scheme,fold,seed,initial_lr,epoch,optimizer_step,learning_rate,train_loss,val_mae
primary,0,101,1e-05,1,7,1e-05,0.48818931196417126,3.3523628928444604
primary,0,101,1e-05,2,14,9.99938933078422e-06,0.594013397182737,3.3393915349786933
primary,0,101,1e-05,3,21,9.997557473810373e-06,0.5163007634026664,3.3354496811375474
primary,0,101,1e-05,4,28,9.994504881061752e-06,0.5014896882431847,3.3389457933830493
primary,0,101,1e-05,5,35,9.990232305719944e-06,0.4962770545056888,3.341082948626894
primary,0,101,1e-05,6,42,9.984740801978984e-06,0.5685465463570186,3.328217939897017
primary,0,101,1e-05,7,49,9.978031724785247e-06,0.47982788937432425,3.3225481437914297
primary,0,101,1e-05,8,56,9.97010672950314e-06,0.495601230434009,3.319855892296993
primary,0,101,1e-05,9,63,9.960967771506666e-06,0.5525143274239132,3.317284786339962
primary,0,101,1e-05,10,70,9.950617105696961e-06,0.46436735349042074,3.3167682994495737
primary,0,101,1e-05,11,77,9.939057285945933e-06,0.475709179682391,3.330712751908736
primary,0,101,1e-05,12,84,9.926291164466131e-06,0.5291793495416641,3.336163145123106
primary,0,101,1e-05,13,91,9.91232189110701e-06,0.5354784982545036,3.331363562381629
primary,0,101,1e-05,14,98,9.897152912577742e-06,0.5484394814286914,3.325571233575994
primary,0,101,1e-05,15,105,9.8807879715968e-06,0.5019453370145389,3.3199402780243843
primary,0,101,1e-05,16,112,9.8632311059685e-06,0.48603268606322153,3.325407548384233
primary,0,101,1e-05,17,119,9.844486647586724e-06,0.6480868927070073,3.3156435417406485
primary,0,101,1e-05,18,126,9.824559221366101e-06,0.4812591856877719,3.315710125547467
primary,0,101,1e-05,19,133,9.803453744100868e-06,0.4538462662271091,3.323947790897254
primary,0,101,1e-05,20,140,9.781175423251734e-06,0.46142557210155893,3.3126458832711885
primary,0,101,1e-05,21,147,9.757729755661012e-06,0.49856237854276386,3.3070648655746924
primary,0,101,1e-05,22,154,9.73312252619635e-06,0.5502484057630811,3.294566298976089
primary,0,101,1e-05,23,161,9.707359806323418e-06,0.6066285967826843,3.297005393288352
primary,0,101,1e-05,24,168,9.680447952607845e-06,0.47322371043264866,3.2973165801077178
primary,0,101,1e-05,25,175,9.652393605146845e-06,0.4792319600071226,3.2930230805368135
primary,0,101,1e-05,26,182,9.62320368593087e-06,0.4984894352299826,3.284069870457505
primary,0,101,1e-05,27,189,9.592885397135707e-06,0.5269027863230024,3.2777245261452417
primary,0,101,1e-05,28,196,9.561446219345455e-06,0.47354880693767754,3.2783859715317236
primary,0,101,1e-05,29,203,9.528893909706798e-06,0.46337540234838215,3.2808389374704072
primary,0,101,1e-05,30,210,9.495236500015048e-06,0.5084237498896462,3.2882880008581914
primary,0,101,1e-05,31,217,9.460482294732422e-06,0.5798483107771192,3.2886408025568183
primary,0,101,1e-05,32,224,9.424639868939035e-06,0.6058529956000192,3.2876443573922822
primary,0,101,1e-05,33,231,9.387718066217125e-06,0.5306359188897269,3.267569802024148
primary,0,101,1e-05,34,238,9.349725996469047e-06,0.5349451005458832,3.261290116743608
primary,0,101,1e-05,35,245,9.310673033669522e-06,0.48721450354371754,3.2601151899857954
primary,0,101,1e-05,36,252,9.270568813552757e-06,0.47675049358180593,3.249053955078125
primary,0,101,1e-05,37,259,9.229423231234975e-06,0.5706455877849034,3.252745426062382
primary,0,101,1e-05,38,266,9.18724643877294e-06,0.4806233953152384,3.2613116177645596
primary,0,101,1e-05,39,273,9.144048842659081e-06,0.5446565066065107,3.262532089695786
primary,0,101,1e-05,40,280,9.099841101253867e-06,0.4766853707177298,3.258737737482244
primary,0,101,1e-05,41,287,9.054634122155991e-06,0.45425988187759814,3.2514838016394414
primary,0,101,1e-05,42,294,9.0084390595111e-06,0.46597025117703844,3.2553294788707388
primary,0,101,1e-05,43,301,8.961267311259668e-06,0.45929264596530367,3.240105137680516
primary,0,101,1e-05,44,308,8.913130516324733e-06,0.47041444906166624,3.225500164609967
primary,0,101,1e-05,45,315,8.864040551740158e-06,0.44723664759658277,3.2187247998786694
primary,0,101,1e-05,46,322,8.814009529720155e-06,0.48810833053929464,3.2165247599283853
primary,0,101,1e-05,47,329,8.763049794670776e-06,0.4469808377325535,3.2175998109759707
primary,0,101,1e-05,48,336,8.711173920144118e-06,0.571842644895826,3.2126994277491714
primary,0,101,1e-05,49,343,8.658394705735988e-06,0.5218491085938045,3.2045077699603457
primary,0,101,1e-05,50,350,8.604725173927786e-06,0.5335593010698046,3.202748847730232
primary,0,101,1e-05,51,357,8.550178566873412e-06,0.5077199126992907,3.1973752108487217
primary,0,101,1e-05,52,364,8.494768343131955e-06,0.4840386914355414,3.1961575132427793
primary,0,101,1e-05,53,371,8.43850817434701e-06,0.47091790980526377,3.2050892223011362
primary,0,101,1e-05,54,378,8.381411941873379e-06,0.4559811311108725,3.20936885024562
primary,0,101,1e-05,55,385,8.323493733352078e-06,0.4938475063868931,3.212046998919863
primary,0,101,1e-05,56,392,8.26476783923441e-06,0.4923696901117052,3.215945157137784
primary,0,101,1e-05,57,399,8.205248749256014e-06,0.4595429009890982,3.2093767108339253
primary,0,101,1e-05,58,406,8.144951148861743e-06,0.647847729069846,3.2140153827089253
primary,0,101,1e-05,59,413,8.083889915582235e-06,0.4560407096786158,3.2119392626213306
primary,0,101,1e-05,60,420,8.022080115363127e-06,0.4756090406860624,3.19221797133937
primary,0,101,1e-05,61,427,7.959536998847744e-06,0.6876302489212581,3.1823820634321733
primary,0,101,1e-05,62,434,7.89627599761423e-06,0.4787639783961432,3.170693137428977
primary,0,101,1e-05,63,441,7.832312720368048e-06,0.5152681853090014,3.1685326316139917
primary,0,101,1e-05,64,448,7.767662949090754e-06,0.7755938810961587,3.1628080425840435
primary,0,101,1e-05,65,455,7.702342635146033e-06,0.5163955369165966,3.1596027721058237
primary,0,101,1e-05,66,462,7.636367895343947e-06,0.5229257707084928,3.1606264981356533
primary,0,101,1e-05,67,469,7.5697550079643376e-06,0.5303150287696293,3.150125676935369
primary,0,101,1e-05,68,476,7.502520408740418e-06,0.45001687854528427,3.1408892544833096
primary,0,101,1e-05,69,483,7.43468068680349e-06,0.4729006609746388,3.1245290582830254
primary,0,101,1e-05,70,490,7.366252580589839e-06,0.45467778774244444,3.121275699499882
primary,0,101,1e-05,71,497,7.297252973710756e-06,0.5077974200248718,3.120803601814039
primary,0,101,1e-05,72,504,7.227698890786779e-06,0.4582941787583487,3.129862929835464
primary,0,101,1e-05,73,511,7.15760749324711e-06,0.5134036583559853,3.1188860806551846
