scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.001,1e-05,28,196,0.0009561446219345453,3.1272437355735083,58,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T214_run/checkpoints/primary_k0_lr1e-03_seed101.pt,ad13255f9f6ecaa4,101
primary,1,0.001,1e-05,16,96,0.00098632311059685,3.2284883441347065,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T214_run/checkpoints/primary_k1_lr1e-03_seed101.pt,ad13255f9f6ecaa4,101
primary,2,0.0001,1.0000000000000002e-06,84,588,6.356171597328596e-05,2.703723907470703,114,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T214_run/checkpoints/primary_k2_lr1e-04_seed101.pt,ad13255f9f6ecaa4,101
primary,3,0.001,1e-05,19,133,0.0009803453744100868,2.420142650604248,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T214_run/checkpoints/primary_k3_lr1e-03_seed101.pt,ad13255f9f6ecaa4,101
primary,4,0.001,1e-05,15,105,0.00098807879715968,2.5998640060424805,45,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T214_run/checkpoints/primary_k4_lr1e-03_seed101.pt,ad13255f9f6ecaa4,101
shadow,0,0.001,1e-05,35,245,0.0009310673033669522,2.2866846720377603,65,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T214_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,ad13255f9f6ecaa4,101
shadow,1,0.001,1e-05,17,119,0.0009844486647586723,2.8484702110290527,47,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T214_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,ad13255f9f6ecaa4,101
shadow,2,0.001,1e-05,24,168,0.0009680447952607845,2.969804525375366,54,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T214_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,ad13255f9f6ecaa4,101
shadow,3,0.01,0.0001,18,126,0.0098245592213661,3.435859448982008,48,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T214_run/checkpoints/shadow_k3_lr1e-02_seed101.pt,ad13255f9f6ecaa4,101
shadow,4,0.001,1e-05,30,210,0.0009495236500015047,2.7652491331100464,60,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T214_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,ad13255f9f6ecaa4,101
