experiment_code,experiment_id,target,source_model_id,issued_at_phase,status,legacy_experiment_code,notes
EXP-T001,LIN_TM_ABLINGUA_CDR3_RIDGE,TmApp,TM_PARENT_ABLINGUA_CDR3__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP001,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T002,LIN_TM_ABLINGUA_GLOBAL_RIDGE,TmApp,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP002,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T003,LIN_TM_BIOEMU_MPNN_RIDGE,TmApp,TM_BASE_BIOEMU_MPNN__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP003,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T004,LIN_TM_CONSTANT_RIDGE,TmApp,TM_CONSTANT__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP007,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T005,LIN_TM_CONSTANT_LASSO,TmApp,TM_CONSTANT__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP008,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T006,LIN_TM_SEQ_BASIC_RIDGE,TmApp,TM_SEQ_BASIC__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP009,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T007,LIN_TM_SEQ_BASIC_LASSO,TmApp,TM_SEQ_BASIC__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP010,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T008,LIN_TM_ABLANG2_RIDGE,TmApp,TM_ABLANG2__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP011,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T009,LIN_TM_ABLANG2_LASSO,TmApp,TM_ABLANG2__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP012,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T010,LIN_TM_ABLANG2_SEQ_RIDGE,TmApp,TM_ABLANG2_SEQ__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP013,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T011,LIN_TM_ABLANG2_SEQ_LASSO,TmApp,TM_ABLANG2_SEQ__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP014,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T012,LIN_TM_BASE_BIOEMU_RIDGE,TmApp,TM_BASE_BIOEMU__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP015,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T013,LIN_TM_BASE_BIOEMU_LASSO,TmApp,TM_BASE_BIOEMU__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP016,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T014,LIN_TM_BASE_MPNN_RIDGE,TmApp,TM_BASE_MPNN__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP017,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T015,LIN_TM_BASE_MPNN_LASSO,TmApp,TM_BASE_MPNN__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP018,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T016,LIN_TM_BASE_BIOEMU_MPNN_LASSO,TmApp,TM_BASE_BIOEMU_MPNN__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP019,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T017,LIN_TM_PARENT_ABLINGUA_GLOBAL_LASSO,TmApp,TM_PARENT_ABLINGUA_GLOBAL__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP020,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T018,LIN_TM_PARENT_ABLINGUA_CDR3_LASSO,TmApp,TM_PARENT_ABLINGUA_CDR3__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP021,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T019,LIN_TM_OPENMM_DOMAIN_FLEX_RIDGE,TmApp,TM_OPENMM_DOMAIN_FLEX__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP022,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T020,LIN_TM_OPENMM_DOMAIN_FLEX_LASSO,TmApp,TM_OPENMM_DOMAIN_FLEX__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP023,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T021,LIN_TM_FENNIX_CONTEXT_RIDGE,TmApp,TM_FENNIX_CONTEXT__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP024,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T022,LIN_TM_FENNIX_CONTEXT_LASSO,TmApp,TM_FENNIX_CONTEXT__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP025,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T023,XGB_TM_BIOEMU_MPNN,TmApp,XGB__TM_BASE_BIOEMU_MPNN__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP043,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T024,XGB_TM_ABLINGUA_GLOBAL,TmApp,XGB__TM_PARENT_ABLINGUA_GLOBAL__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP044,Migrated from flat EXP001–EXP048; order preserved within target
EXP-T025,XGB_TM_ABLINGUA_CDR3,TmApp,XGB__TM_PARENT_ABLINGUA_CDR3__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP045,Migrated from flat EXP001–EXP048; order preserved within target
EXP-H001,LIN_HIC_HYDRO_TITRATION_LASSO,HIC,HIC_HYDRO_TITRATION__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP004,Migrated from flat EXP001–EXP048; order preserved within target
EXP-H002,LIN_HIC_CONTINUOUS_SURFACE_LASSO,HIC,HIC_ARO_CONTINUOUS_SURFACE__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP005,Migrated from flat EXP001–EXP048; order preserved within target
EXP-H003,LIN_HIC_ESM2_SEQ_AROMATIC_LASSO,HIC,HIC_ESM2_SEQ_AROMATIC__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP006,Migrated from flat EXP001–EXP048; order preserved within target
EXP-H004,LIN_HIC_CONSTANT_RIDGE,HIC,HIC_CONSTANT__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP026,Migrated from flat EXP001–EXP048; order preserved within target
EXP-H005,LIN_HIC_CONSTANT_LASSO,HIC,HIC_CONSTANT__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP027,Migrated from flat EXP001–EXP048; order preserved within target
EXP-H006,LIN_HIC_SEQ_RIDGE,HIC,HIC_SEQ__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP028,Migrated from flat EXP001–EXP048; order preserved within target
EXP-H007,LIN_HIC_SEQ_LASSO,HIC,HIC_SEQ__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP029,Migrated from flat EXP001–EXP048; order preserved within target
EXP-H008,LIN_HIC_ESM2_H_RIDGE,HIC,HIC_ESM2_H__RIDGE,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP030,Migrated from flat EXP001–EXP048; order preserved within target
EXP-H009,LIN_HIC_ESM2_H_LASSO,HIC,HIC_ESM2_H__LASSO,TARGET_NAMESPACE_MIGRATION,ACTIVE,EXP031,Migrated from flat EXP001–EXP048; order preserved within target
