target,start,step,accepted,feature_set,cv_primary_mae,cv_shadow_mae,cv_worst_mae,delta_worst
TmApp,FS_TM_ABLINGUA_CDR3,0,,FS_TM_ABLINGUA_CDR3,2.7320723766542887,2.784957206877823,2.784957206877823,0.0
TmApp,FS_TM_ABLINGUA_CDR3,1,FB_AL2_FR_CDR_SPLIT,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT,2.7259437647062876,2.749309773802948,2.749309773802948,0.03564743307487506
TmApp,FS_TM_ABLINGUA_CDR3,2,FB_AL_CDR3,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,2.723337660788409,2.734795279114176,2.734795279114176,0.014514494688772306
TmApp,FS_TM_ABLINGUA_CDR3,3,STOP,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,2.723337660788409,2.734795279114176,2.734795279114176,0.0
TmApp,FS_TM_ABLINGUA_GLOBAL,0,,FS_TM_ABLINGUA_GLOBAL,2.74660011702803,2.822725206703513,2.822725206703513,0.0
TmApp,FS_TM_ABLINGUA_GLOBAL,1,FB_AL_CDR3,FS_TM_ABLINGUA_GLOBAL+FB_AL_CDR3,2.7320723766542887,2.784957206877823,2.784957206877823,0.0377679998256899
TmApp,FS_TM_ABLINGUA_GLOBAL,2,FB_AL2_FR_CDR_SPLIT,FS_TM_ABLINGUA_GLOBAL+FB_AL_CDR3+FB_AL2_FR_CDR_SPLIT,2.7259437647062876,2.749309773802948,2.749309773802948,0.03564743307487506
TmApp,FS_TM_ABLINGUA_GLOBAL,3,FB_AL2_RASA_CDR,FS_TM_ABLINGUA_GLOBAL+FB_AL_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL2_RASA_CDR,2.7431824192608874,2.7278213498784574,2.7431824192608874,0.006127354542060814
TmApp,FS_TM_BIOEMU_MPNN,0,,FS_TM_BIOEMU_MPNN,2.7026812408712866,2.8459367728115534,2.8459367728115534,0.0
TmApp,FS_TM_BIOEMU_MPNN,1,FB_AL_CDR3,FS_TM_BIOEMU_MPNN+FB_AL_CDR3,2.6781117389639686,2.7685077273757694,2.7685077273757694,0.077429045435784
TmApp,FS_TM_BIOEMU_MPNN,2,FB_AL2_RASA_CDR,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR,2.6792244272834878,2.7423190157992403,2.7423190157992403,0.026188711576529133
TmApp,FS_TM_BIOEMU_MPNN,3,FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,2.70601456664252,2.728948221583707,2.728948221583707,0.013370794215533444
HIC,FS_HIC_CONTINUOUS_SURFACE,0,,FS_HIC_CONTINUOUS_SURFACE,0.5117587462219736,0.5572906295667209,0.5572906295667209,0.0
HIC,FS_HIC_CONTINUOUS_SURFACE,1,FB_ESM2_RASA_CDR3,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,0.5093203154481778,0.5570877712778503,0.5570877712778503,0.00020285828887067758
HIC,FS_HIC_CONTINUOUS_SURFACE,2,STOP,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,0.5093203154481778,0.5570877712778503,0.5570877712778503,0.0
HIC,FS_HIC_HYDRO_TITRATION,0,,FS_HIC_HYDRO_TITRATION,0.5196694539611042,0.5503511666325117,0.5503511666325117,0.0
HIC,FS_HIC_HYDRO_TITRATION,1,FB_ESM2_RASA_CDR3,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,0.5125336302114634,0.548592556090264,0.548592556090264,0.001758610542247685
HIC,FS_HIC_HYDRO_TITRATION,2,STOP,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,0.5125336302114634,0.548592556090264,0.548592556090264,0.0
HIC,FS_HIC_ESM2_SEQ_AROMATIC,0,,FS_HIC_ESM2_SEQ_AROMATIC,0.5283867651592855,0.5590561585035285,0.5590561585035285,0.0
HIC,FS_HIC_ESM2_SEQ_AROMATIC,1,FB_ESM2_RASA_P2,FS_HIC_ESM2_SEQ_AROMATIC+FB_ESM2_RASA_P2,0.5293728163904049,0.5576420310266547,0.5576420310266547,0.001414127476873861
HIC,FS_HIC_ESM2_SEQ_AROMATIC,2,FB_ESM2_RASA_P1,FS_HIC_ESM2_SEQ_AROMATIC+FB_ESM2_RASA_P2+FB_ESM2_RASA_P1,0.5300291727859878,0.5575900991620789,0.5575900991620789,5.193186457574939e-05
HIC,FS_HIC_ESM2_SEQ_AROMATIC,3,STOP,FS_HIC_ESM2_SEQ_AROMATIC+FB_ESM2_RASA_P2+FB_ESM2_RASA_P1,0.5300291727859878,0.5575900991620789,0.5575900991620789,0.0
