feature_set_id,target,n_features,feature_content_sha256,feature_recipe_hash,source_recipe_ids,feature_blocks,notes
FS_HIC_CONTINUOUS_SURFACE,HIC,1459,1807d98170a4e31f4760735417d7009742b5de75955f8c642ec86cafe2f23797,dc94a41eb58ba8d566592e0bf2cfecb75174afe66d25f9f6d6aa13be966c0e2e,HIC_ARO_CONTINUOUS_SURFACE__LASSO,ESM2_H|SEQ_ALL|AROMATIC_TOPO|CONTINUOUS_SURFACE,Verified via shared RAW_PREPROCESS feature_content_sha256
FS_HIC_ESM2_SEQ_AROMATIC,HIC,1414,dcda2f3907583d285321d67a48536a9d47cbbf894a689e9508e7ff5fdaef73ba,53ab86a2abae120338f1c4fe70612660f7a0d0bb75174ee5016bc091ac850da5,HIC_ESM2_SEQ_AROMATIC__LASSO,ESM2_H|SEQ_ALL|AROMATIC_TOPO,Verified via shared RAW_PREPROCESS feature_content_sha256
FS_HIC_HYDRO_TITRATION,HIC,1448,551237ca9e3a94713d3ecb205fa2b57b2372b54a42bb1769b6d191f942ba6f83,dc4900511d05e634599658168c1839d01ab056050abc8757ed25438b61b51328,HIC_HYDRO_TITRATION__LASSO,ESM2_H|SEQ_ALL|AROMATIC_TOPO|HYDRO_FIELD|TITRATION_SHAPE,Verified via shared RAW_PREPROCESS feature_content_sha256
FS_TM_ABLINGUA_CDR3,TmApp,5689,cf1f16b3788022950073bc7e66f5dc4fea018a8e65915a29a229247690124b37,55a1d606c3c78badaa47cd535020ffcf0d7f67b1785411668b62bb99ec25879e,TM_PARENT_ABLINGUA_CDR3__RIDGE,AbLang2_HL_paired|SEQ_BASIC|BIOEMU_NEW_PAIRWISE|M1_PROTEINMPNN|AbLingua_HL_mean|AbLingua_CDR3,Verified via shared RAW_PREPROCESS feature_content_sha256
FS_TM_ABLINGUA_GLOBAL,TmApp,3129,04d2022102f5d7045ff3939fc45a15b56f9c26fc55b5ddb71d1af5ff83889c59,14859bb2c0de765bd118a38c3ca3b020143b423950a282ce0371f28f437b8c20,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,AbLang2_HL_paired|SEQ_BASIC|BIOEMU_NEW_PAIRWISE|M1_PROTEINMPNN|AbLingua_HL_mean,Verified via shared RAW_PREPROCESS feature_content_sha256
FS_TM_BIOEMU_MPNN,TmApp,569,8e92cba7d639421e2952570fd24462acbdb576950678b5f4879c9f18e3ee25cc,0c1a83a0bc37df74a0945ac14281d43ecb5c0ac47f07b8ab0bf9a85f95d39f57,TM_BASE_BIOEMU_MPNN__RIDGE,AbLang2_HL_paired|SEQ_BASIC|BIOEMU_NEW_PAIRWISE|M1_PROTEINMPNN,Verified via shared RAW_PREPROCESS feature_content_sha256
FS_EXP-T045,TmApp,6649,0949438730a29791b8b654a3388f1029f1f6de8c0788e5d0eb3a0961b389c34d,,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN|FB_AL_CDR3|FB_AL2_RASA_CDR|FB_AL_CDR_ALL,classical refinement
FS_EXP-T046,TmApp,6649,0949438730a29791b8b654a3388f1029f1f6de8c0788e5d0eb3a0961b389c34d,,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN|FB_AL_CDR3|FB_AL2_RASA_CDR|FB_AL_CDR_ALL,classical refinement
FS_EXP-T047,TmApp,6649,0949438730a29791b8b654a3388f1029f1f6de8c0788e5d0eb3a0961b389c34d,,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN|FB_AL_CDR3|FB_AL2_RASA_CDR|FB_AL_CDR_ALL,classical refinement
FS_EXP-T048,TmApp,6649,0949438730a29791b8b654a3388f1029f1f6de8c0788e5d0eb3a0961b389c34d,,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN|FB_AL_CDR3|FB_AL2_RASA_CDR|FB_AL_CDR_ALL,classical refinement
FS_EXP-T049,TmApp,6649,0949438730a29791b8b654a3388f1029f1f6de8c0788e5d0eb3a0961b389c34d,,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN|FB_AL_CDR3|FB_AL2_RASA_CDR|FB_AL_CDR_ALL,classical refinement
FS_EXP-T050,TmApp,10169,9f3a1ebe2ae35d7085bd3845e4964fcf4466d871d567373efc1b377396701e43,,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FS_TM_ABLINGUA_CDR3|FB_AL2_FR_CDR_SPLIT|FB_AL_CDR3,classical refinement
FS_EXP-T051,TmApp,10169,9f3a1ebe2ae35d7085bd3845e4964fcf4466d871d567373efc1b377396701e43,,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FS_TM_ABLINGUA_CDR3|FB_AL2_FR_CDR_SPLIT|FB_AL_CDR3,classical refinement
FS_EXP-T052,TmApp,10169,9f3a1ebe2ae35d7085bd3845e4964fcf4466d871d567373efc1b377396701e43,,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FS_TM_ABLINGUA_CDR3|FB_AL2_FR_CDR_SPLIT|FB_AL_CDR3,classical refinement
FS_EXP-T053,TmApp,10169,9f3a1ebe2ae35d7085bd3845e4964fcf4466d871d567373efc1b377396701e43,,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FS_TM_ABLINGUA_CDR3|FB_AL2_FR_CDR_SPLIT|FB_AL_CDR3,classical refinement
FS_EXP-T054,TmApp,10169,9f3a1ebe2ae35d7085bd3845e4964fcf4466d871d567373efc1b377396701e43,,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FS_TM_ABLINGUA_CDR3|FB_AL2_FR_CDR_SPLIT|FB_AL_CDR3,classical refinement
FS_EXP-T055,TmApp,960,4f8eeeb4d3873c18da8a4e17ec88c697d11363aceedc38b8e82ce32436ce68ad,,ALONE__FB_AL2_RASA_P1,FB_AL2_RASA_P1,classical refinement
FS_EXP-T056,TmApp,960,4f8eeeb4d3873c18da8a4e17ec88c697d11363aceedc38b8e82ce32436ce68ad,,ALONE__FB_AL2_RASA_P1,FB_AL2_RASA_P1,classical refinement
FS_EXP-T057,TmApp,960,4f8eeeb4d3873c18da8a4e17ec88c697d11363aceedc38b8e82ce32436ce68ad,,ALONE__FB_AL2_RASA_P1,FB_AL2_RASA_P1,classical refinement
FS_EXP-T058,TmApp,960,4f8eeeb4d3873c18da8a4e17ec88c697d11363aceedc38b8e82ce32436ce68ad,,ALONE__FB_AL2_RASA_P1,FB_AL2_RASA_P1,classical refinement
FS_EXP-T059,TmApp,960,4f8eeeb4d3873c18da8a4e17ec88c697d11363aceedc38b8e82ce32436ce68ad,,ALONE__FB_AL2_RASA_P1,FB_AL2_RASA_P1,classical refinement
FS_EXP-T060,TmApp,1920,d180f8a21ea9d18fff76afe0ba970b2bf4536a31a18bc802c500612e8164b8b8,,ALONE__FB_AL2_FR_CDR_SPLIT,FB_AL2_FR_CDR_SPLIT,classical refinement
FS_EXP-T061,TmApp,1920,d180f8a21ea9d18fff76afe0ba970b2bf4536a31a18bc802c500612e8164b8b8,,ALONE__FB_AL2_FR_CDR_SPLIT,FB_AL2_FR_CDR_SPLIT,classical refinement
FS_EXP-T062,TmApp,1920,d180f8a21ea9d18fff76afe0ba970b2bf4536a31a18bc802c500612e8164b8b8,,ALONE__FB_AL2_FR_CDR_SPLIT,FB_AL2_FR_CDR_SPLIT,classical refinement
FS_EXP-T063,TmApp,1920,d180f8a21ea9d18fff76afe0ba970b2bf4536a31a18bc802c500612e8164b8b8,,ALONE__FB_AL2_FR_CDR_SPLIT,FB_AL2_FR_CDR_SPLIT,classical refinement
FS_EXP-T064,TmApp,1920,d180f8a21ea9d18fff76afe0ba970b2bf4536a31a18bc802c500612e8164b8b8,,ALONE__FB_AL2_FR_CDR_SPLIT,FB_AL2_FR_CDR_SPLIT,classical refinement
FS_EXP-H034,HIC,1280,58d428678373e39926338896eb080cb154df62ff9b3d055f092b7d60623b3759,,ALONE__FB_ESM2_GLOBAL,FB_ESM2_GLOBAL,classical refinement
FS_EXP-H035,HIC,1280,58d428678373e39926338896eb080cb154df62ff9b3d055f092b7d60623b3759,,ALONE__FB_ESM2_GLOBAL,FB_ESM2_GLOBAL,classical refinement
FS_EXP-H036,HIC,1280,58d428678373e39926338896eb080cb154df62ff9b3d055f092b7d60623b3759,,ALONE__FB_ESM2_GLOBAL,FB_ESM2_GLOBAL,classical refinement
FS_EXP-H037,HIC,1280,58d428678373e39926338896eb080cb154df62ff9b3d055f092b7d60623b3759,,ALONE__FB_ESM2_GLOBAL,FB_ESM2_GLOBAL,classical refinement
FS_EXP-H038,HIC,1280,58d428678373e39926338896eb080cb154df62ff9b3d055f092b7d60623b3759,,ALONE__FB_ESM2_GLOBAL,FB_ESM2_GLOBAL,classical refinement
FS_EXP-H039,HIC,1280,89dc9ab251b1f6b14d50cd1a7fd8d37cb804eada2471d4a700ef6614085a77aa,,ALONE__FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,classical refinement
FS_EXP-H040,HIC,1280,89dc9ab251b1f6b14d50cd1a7fd8d37cb804eada2471d4a700ef6614085a77aa,,ALONE__FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,classical refinement
FS_EXP-H041,HIC,1280,89dc9ab251b1f6b14d50cd1a7fd8d37cb804eada2471d4a700ef6614085a77aa,,ALONE__FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,classical refinement
FS_EXP-H042,HIC,1280,89dc9ab251b1f6b14d50cd1a7fd8d37cb804eada2471d4a700ef6614085a77aa,,ALONE__FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,classical refinement
FS_EXP-H043,HIC,1280,89dc9ab251b1f6b14d50cd1a7fd8d37cb804eada2471d4a700ef6614085a77aa,,ALONE__FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,classical refinement
FS_EXP-H044,HIC,2728,b1aff59d84920d34dc87bf2e7b2f86b45f40d64209a507c36c45562991a6ee78,,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3,classical refinement
FS_EXP-H045,HIC,2728,b1aff59d84920d34dc87bf2e7b2f86b45f40d64209a507c36c45562991a6ee78,,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3,classical refinement
FS_EXP-H046,HIC,2728,b1aff59d84920d34dc87bf2e7b2f86b45f40d64209a507c36c45562991a6ee78,,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3,classical refinement
FS_EXP-H047,HIC,2728,b1aff59d84920d34dc87bf2e7b2f86b45f40d64209a507c36c45562991a6ee78,,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3,classical refinement
