code,scheme,delta_mae_mean,delta_mae_sd,ci95_lo,ci95_hi,n_perm
EXP-H128,primary,-0.01501485766831312,0.03584275761821774,-0.08577239948619507,0.03707405267357816,500
EXP-H128,shadow,0.014614270515687582,0.03480061855734431,-0.0377415306985378,0.08311291784228711,500
EXP-H129,primary,-0.015367917058742422,0.036592778777548685,-0.08748758038607518,0.03627117389440535,500
EXP-H129,shadow,0.009367118850404527,0.017873107297659983,-0.025047755199670823,0.04648519522547724,500
EXP-H130,primary,-0.01660650961539242,0.03177358245586491,-0.09541168627305469,0.017397538849801743,500
EXP-H130,shadow,0.0051154385251276566,0.028535067779676786,-0.03612202064051773,0.07096946210265155,500
EXP-H131,primary,-0.009873323613354645,0.01715186868405726,-0.04832911359667779,0.010898234999179864,500
EXP-H131,shadow,-0.0039004825408386094,0.012757567712655814,-0.028001415574550548,0.021141280549945272,500
EXP-H132,primary,-0.00777244620467678,0.016856603108357883,-0.05704959012233844,0.008776340633630773,500
EXP-H132,shadow,0.0004986827653971728,0.013114747332768857,-0.02442163035147117,0.028561095444180767,500
EXP-H133,primary,-0.005882416363036992,0.011955580278284111,-0.03143515959382057,0.005512689821647941,500
EXP-H133,shadow,0.0037919227489124885,0.0073816650704516314,-0.005176535623723806,0.021737406402826304,500
