A,B,scheme,delta_mae_A_minus_B,ci95_lo,ci95_hi
EXP-H134,EXP-H090,primary,0.03399502902560766,-0.008564431354145868,0.07717033560717558
EXP-H134,EXP-H090,shadow,0.031119065037480215,-0.0136897395110424,0.07986421587202286
EXP-H134,EXP-H071,primary,-0.03686396652975201,-0.10475972097891334,0.027374446532167005
EXP-H134,EXP-H071,shadow,0.04162619202225304,-0.02621677221839792,0.11258255870724895
EXP-H135,EXP-H090,primary,0.044906147379934126,0.000795550904450498,0.08970918564619836
EXP-H135,EXP-H090,shadow,0.03221459278059596,-0.002786832874203931,0.0705227030612805
EXP-H135,EXP-H071,primary,-0.025952848175425543,-0.08458903131367237,0.02987373584700213
EXP-H135,EXP-H071,shadow,0.04272171976536879,-0.021350096277543053,0.1144515631828779
EXP-H136,EXP-H090,primary,0.019751996216950556,-0.01807237978923463,0.06099642295366439
EXP-H136,EXP-H090,shadow,-0.015031741954662121,-0.03776432047949885,0.009128581087088914
EXP-H136,EXP-H071,primary,-0.05110699933840911,-0.11597184510878575,0.015242941154668226
EXP-H136,EXP-H071,shadow,-0.0045246149698892945,-0.06185810733842258,0.05221324318662104
EXP-H137,EXP-H086,primary,0.0233742666833195,-0.02458380661010736,0.07337007384594563
EXP-H137,EXP-H086,shadow,0.026290537233705957,-0.028652762289400394,0.08215930629895069
EXP-H137,EXP-H061,primary,-0.03825693973494191,-0.11130819123232834,0.034781792967996134
EXP-H137,EXP-H061,shadow,0.04698368929639268,-0.017966331421887593,0.11365657905766971
EXP-H138,EXP-H086,primary,0.026920730072775092,-0.0188285391642723,0.07843415460586553
EXP-H138,EXP-H086,shadow,-0.005372292553936942,-0.05340106124642435,0.03737819213631705
EXP-H138,EXP-H061,primary,-0.03471047634548632,-0.07967962170235908,0.010674317780247113
EXP-H138,EXP-H061,shadow,0.015320859508749781,-0.05169944232304888,0.07795897408826845
EXP-H139,EXP-H086,primary,0.008456622559347399,-0.026095502271769797,0.045399728166321277
EXP-H139,EXP-H086,shadow,-0.03494713357054146,-0.06340739799428843,-0.008471598336726026
EXP-H139,EXP-H061,primary,-0.05317458385891401,-0.12941540461175247,0.01975498452598638
EXP-H139,EXP-H061,shadow,-0.01425398150785474,-0.07532843267299515,0.04450997584660824
