code,backbone,feature_bundle,aux_dim,params,TEST_P,TEST_S,TEST_mean,TEST_worst,Public,Private,Overall
EXP-H054,EXP-H054,NONE,0,,0.502150705361072,0.5129733341358326,0.5075620197484523,0.5129733341358326,0.4833591800265841,0.4627873586960781,0.473073269361331
EXP-H061,EXP-H061,NONE,0,,0.5330681005407263,0.4805228534745581,0.5067954770076422,0.5330681005407263,0.4816351869371202,0.4615196249691057,0.471577405953113
EXP-H071,EXP-H071,NONE,0,,0.5284297512666679,0.4749465964988425,0.5016881738827552,0.5284297512666679,0.4795710758162133,0.4800268844792872,0.4797989801477502
EXP-H082,EXP-H054,F1_SURFACE,35,510370,0.48220247960973667,0.4912395904917775,0.4867210350507571,0.4912395904917775,0.4179278955341856,0.4262716540112907,0.4220997747727382
EXP-H083,EXP-H054,F2_SEQUENCE_TITRATION,133,516642,0.5013471455044216,0.5187343213587632,0.5100407334315924,0.5187343213587632,0.4615396711561416,0.4790167415289232,0.4702782063425323
EXP-H084,EXP-H054,F3_LOCAL_RASA_CDR3,32,510178,0.5306836574224778,0.5060686920542776,0.5183761747383777,0.5306836574224778,0.4666683667029863,0.4463491389898606,0.4565087528464235
EXP-H085,EXP-H054,F4_H047_AUX_ALL,200,520930,0.4728736329255279,0.4887435744485736,0.48080860368705075,0.4887435744485736,0.4049512812296549,0.4280629569159613,0.4165071190728082
EXP-H086,EXP-H061,F1_SURFACE,35,510370,0.4714368941224652,0.501216005537245,0.48632644982985507,0.501216005537245,0.4017567271479853,0.4109313752916124,0.4063440512197989
EXP-H087,EXP-H061,F2_SEQUENCE_TITRATION,133,516642,0.5290419367566521,0.5302648827352642,0.5296534097459582,0.5302648827352642,0.4694924408712504,0.4883293646353261,0.4789109027532884
EXP-H088,EXP-H061,F3_LOCAL_RASA_CDR3,32,510178,0.540590239442425,0.5450466083950466,0.5428184239187358,0.5450466083950466,0.4814816870983734,0.4529350735699688,0.4672083803341711
EXP-H089,EXP-H061,F4_H047_AUX_ALL,200,520930,0.47170651537106356,0.46781190697940767,0.4697592111752356,0.47170651537106356,0.4018183804735727,0.4391924267992561,0.4205054036364143
EXP-H090,EXP-H071,F1_SURFACE,35,349090,0.45757075571130823,0.4854537234836154,0.4715122395974618,0.4854537234836154,0.405876104849356,0.4128748083232361,0.4093754565862961
EXP-H091,EXP-H071,F2_SEQUENCE_TITRATION,133,355362,0.522945386580479,0.5188586030653963,0.5209019948229376,0.522945386580479,0.4613781138290593,0.4928945566813149,0.4771363352551872
EXP-H092,EXP-H071,F3_LOCAL_RASA_CDR3,32,348898,0.5379145524766711,0.5158884915010428,0.5269015219888569,0.5379145524766711,0.4754877304265527,0.4478203006320528,0.4616540155293028
EXP-H093,EXP-H071,F4_H047_AUX_ALL,200,359650,0.4983819906917618,0.5058691315356596,0.5021255611137108,0.5058691315356596,0.4069604137090991,0.4214826455763829,0.4142215296427409
