code,scheme,fold,split,block,feature,mae_normal,delta_mae_mean,delta_mae_sd,delta_mae_q025,delta_mae_q975,n_perm
EXP-H102,primary,0,TEST_OOF,HSP,,0.4552675435543061,0.0420498247146606,0.027516813344728497,-0.005230855232477177,0.09533732733130454,100
EXP-H102,primary,0,TEST_OOF,HSP_FEATURE,HSP_MAX,0.4552675435543061,0.017147402696609474,0.014027780878699242,-0.00837275003790858,0.045418960106372794,100
EXP-H102,primary,0,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.4552675435543061,-0.0019209122252464227,0.006893750591241925,-0.013642971217632294,0.01184262558817863,100
EXP-H102,primary,0,TEST_OOF,HSP_FEATURE,HSP_SUM,0.4552675435543061,0.00417190748691557,0.02609258159079171,-0.045458208197355285,0.056210679531097305,100
EXP-H102,primary,1,TEST_OOF,HSP,,0.44140776177608615,0.09670122709794468,0.033550452817394306,0.03462311547597243,0.15597021787816825,100
EXP-H102,primary,1,TEST_OOF,HSP_FEATURE,HSP_MAX,0.44140776177608615,0.07191606662865832,0.028783353184195802,0.0037887031092788126,0.12346443298802211,100
EXP-H102,primary,1,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.44140776177608615,-0.009941661430127707,0.006730538300810448,-0.0226636431433938,0.0022793654239538687,100
EXP-H102,primary,1,TEST_OOF,HSP_FEATURE,HSP_SUM,0.44140776177608615,0.02466664306409423,0.014362209112952004,-0.002943967281688391,0.0533552117896802,100
EXP-H102,primary,2,TEST_OOF,HSP,,0.5727999949599757,0.04908844624143656,0.04857775395992388,-0.06991406776543824,0.12890666113766738,100
EXP-H102,primary,2,TEST_OOF,HSP_FEATURE,HSP_MAX,0.5727999949599757,-0.002072550102002688,0.0430277694166307,-0.08015487536806049,0.0860632878390226,100
EXP-H102,primary,2,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.5727999949599757,0.006407848015987493,0.009384128886787949,-0.0097266513477673,0.02386623334595647,100
EXP-H102,primary,2,TEST_OOF,HSP_FEATURE,HSP_SUM,0.5727999949599757,0.02942207639520815,0.040645683280566725,-0.04565133842121473,0.10644365785772139,100
EXP-H102,primary,3,TEST_OOF,HSP,,0.46284468126296996,0.0772688873004913,0.04202871167325886,-0.010578474289178819,0.14962077702283857,100
EXP-H102,primary,3,TEST_OOF,HSP_FEATURE,HSP_MAX,0.46284468126296996,0.030154652404785168,0.03722617901677453,-0.035161723369360014,0.11426941842436775,100
EXP-H102,primary,3,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.46284468126296996,0.0005440399050712586,0.00276964786763843,-0.004992321133613586,0.005704070627689356,100
EXP-H102,primary,3,TEST_OOF,HSP_FEATURE,HSP_SUM,0.46284468126296996,0.006007587382793399,0.021345638066391795,-0.03739161196351055,0.041984478461742365,100
EXP-H102,primary,4,TEST_OOF,HSP,,0.4542982892990113,0.1476740616464614,0.050282634043371716,0.04309082156419747,0.240221445095539,100
EXP-H102,primary,4,TEST_OOF,HSP_FEATURE,HSP_MAX,0.4542982892990113,0.09724262368440625,0.0393378195847883,0.013098907023668225,0.1607582787990569,100
EXP-H102,primary,4,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.4542982892990113,2.1122663021077015e-05,0.008443516376863015,-0.015954672968387602,0.014534324133396129,100
EXP-H102,primary,4,TEST_OOF,HSP_FEATURE,HSP_SUM,0.4542982892990113,0.05346051033973691,0.030059683775537187,0.00033070436716078064,0.10905390465259546,100
EXP-H102,shadow,0,TEST_OOF,HSP,,0.5373216876983643,0.06758786643505087,0.048768135359150984,-0.027492656588554477,0.16287987011075003,100
EXP-H102,shadow,0,TEST_OOF,HSP_FEATURE,HSP_MAX,0.5373216876983643,0.03795791014432905,0.026373125567738444,-0.019557937484979672,0.07962516686916347,100
EXP-H102,shadow,0,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.5373216876983643,-0.009036187884807607,0.0153081721803307,-0.037915159493684805,0.02110272802114482,100
EXP-H102,shadow,0,TEST_OOF,HSP_FEATURE,HSP_SUM,0.5373216876983643,-0.0010205831933022636,0.03236300319772078,-0.05820265243649482,0.06835639041662199,100
EXP-H102,shadow,1,TEST_OOF,HSP,,0.37455288326379027,0.2458430446162367,0.052853336484232426,0.1399028028141367,0.33705769037188893,100
EXP-H102,shadow,1,TEST_OOF,HSP_FEATURE,HSP_MAX,0.37455288326379027,0.18796608149441796,0.05703379002098404,0.060169897726810286,0.2671063410730071,100
EXP-H102,shadow,1,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.37455288326379027,0.013562193425496393,0.008708042323138898,-0.0036755069385875612,0.030784874355431743,100
EXP-H102,shadow,1,TEST_OOF,HSP_FEATURE,HSP_SUM,0.37455288326379027,0.030062345058556653,0.026532900118782773,-0.023726291731632265,0.07763846517042669,100
EXP-H102,shadow,2,TEST_OOF,HSP,,0.4997444088459015,0.044034132177829734,0.03639240479593366,-0.02297955497503281,0.11111631935834884,100
