representation,annotation,topology,delta_P,delta_S,delta_mean,both_improve,code_x,code_sep
scratch,BASE,JOINT,0.014981103167121868,-0.030864014331205336,-0.007941455582041734,False,EXP-H144,EXP-H140
scratch,BASE,REG-SEP,-0.0002677013255930616,-0.011742259461202775,-0.0060049803933979184,True,EXP-H148,EXP-H140
scratch,BASE,XREG,-0.02093996481247884,-0.04419712989712937,-0.03256854735480408,True,EXP-H152,EXP-H140
scratch,BASE,FUSE,0.04158159604484657,-0.045948831817250124,-0.002183617886201805,False,EXP-H156,EXP-H140
scratch,IMGT,JOINT,0.06520350406788011,-0.03171122605123633,0.016746139008321892,False,EXP-H145,EXP-H141
scratch,IMGT,REG-SEP,0.047084197574191466,-0.025801236847300624,0.010641480363445366,False,EXP-H149,EXP-H141
scratch,IMGT,XREG,-0.017850764333466107,-0.020013444876965103,-0.01893210460521566,True,EXP-H153,EXP-H141
scratch,IMGT,FUSE,0.05938031933631416,-0.07278078550173905,-0.006700233082712503,False,EXP-H157,EXP-H141
scratch,REGION,JOINT,0.01464640158194086,0.007031734136887624,0.010839067859414242,False,EXP-H146,EXP-H142
scratch,REGION,REG-SEP,0.007793512885953202,-0.008471427917480456,-0.0003389575157636271,False,EXP-H150,EXP-H142
scratch,REGION,XREG,0.04708416846946428,-0.04710059441460501,-8.212972570365018e-06,False,EXP-H154,EXP-H142
scratch,REGION,FUSE,0.03681774567969054,0.014140464264669639,0.02547910497218009,False,EXP-H158,EXP-H142
scratch,FULL,JOINT,-0.01981532965766064,0.004186709133195299,-0.007814310262232671,False,EXP-H147,EXP-H143
scratch,FULL,REG-SEP,-0.05427930097226752,0.022070038830792504,-0.016104631070737563,False,EXP-H151,EXP-H143
scratch,FULL,XREG,-0.04141531513355412,0.009220469392376196,-0.016097422870589018,False,EXP-H155,EXP-H143
scratch,FULL,FUSE,-0.027496417763792524,0.02821329305201392,0.00035843764411069845,False,EXP-H159,EXP-H143
ablingua,BASE,JOINT,-0.016114193716166958,0.011837398246482556,-0.0021383977348421457,False,EXP-H164,EXP-H160
ablingua,BASE,REG-SEP,-0.014446652965781182,0.011324463502860427,-0.0015610947314603774,False,EXP-H168,EXP-H160
ablingua,BASE,XREG,0.017771500434404452,0.02247364727067358,0.020122573852539016,False,EXP-H172,EXP-H160
ablingua,BASE,FUSE,-0.002664477501386431,-0.03133876767570576,-0.017001622588546095,True,EXP-H176,EXP-H160
ablingua,IMGT,JOINT,0.010858828226725292,-0.0013181789539478128,0.004770324636388712,False,EXP-H165,EXP-H161
ablingua,IMGT,REG-SEP,0.013846520459210476,-0.010090168140552636,0.001878176159328837,False,EXP-H169,EXP-H161
ablingua,IMGT,XREG,0.02844109707114134,-0.02185522908340265,0.003292933993869318,False,EXP-H173,EXP-H161
ablingua,IMGT,FUSE,0.004414477925241689,-0.020813327177071295,-0.00819942462591483,False,EXP-H177,EXP-H161
ablingua,REGION,JOINT,0.013220187764108826,0.00422451127605683,0.008722349520082884,False,EXP-H166,EXP-H162
ablingua,REGION,REG-SEP,0.026343961362485346,0.012733278345178789,0.019538619853832095,False,EXP-H170,EXP-H162
ablingua,REGION,XREG,0.034933065908926586,0.014087326756230145,0.024510196332578338,False,EXP-H174,EXP-H162
ablingua,REGION,FUSE,0.03603417568442252,-0.017259260106969765,0.009387457788726405,False,EXP-H178,EXP-H162
ablingua,FULL,JOINT,-0.00488115197640876,0.015181989740442381,0.005150418882016838,False,EXP-H167,EXP-H163
ablingua,FULL,REG-SEP,0.009968975726469154,0.00437916404818306,0.007174069887326162,False,EXP-H171,EXP-H163
ablingua,FULL,XREG,0.005368597430947308,-0.0010732979009181465,0.002147649765014581,False,EXP-H175,EXP-H163
ablingua,FULL,FUSE,0.010838432688771937,0.02247917161164459,0.01665880215020832,False,EXP-H179,EXP-H163
ablang1,BASE,JOINT,-0.00795743909294222,0.0081262378457152,8.439937638649031e-05,False,EXP-H184,EXP-H180
ablang1,BASE,REG-SEP,-0.03798848795007781,0.039796911781216804,0.0009042119155695527,False,EXP-H188,EXP-H180
ablang1,BASE,XREG,0.0013885050173159108,0.036630667509855996,0.019009586263585954,False,EXP-H192,EXP-H180
ablang1,BASE,FUSE,-0.02597307384161296,0.003870828793372638,-0.011051122524120105,False,EXP-H196,EXP-H180
ablang1,IMGT,JOINT,0.006068452999915652,-0.010276363655372878,-0.002103955327728557,False,EXP-H185,EXP-H181
ablang1,IMGT,REG-SEP,-0.025573230084077747,0.021354697050871785,-0.0021092665166029256,False,EXP-H189,EXP-H181
ablang1,IMGT,XREG,-0.007104082837516734,0.009292109736689813,0.001094013449586595,False,EXP-H193,EXP-H181
ablang1,IMGT,FUSE,-0.010517972687144383,0.00767190005455487,-0.0014230363162947013,False,EXP-H197,EXP-H181
ablang1,REGION,JOINT,-0.009076645038746167,-0.02294582734284578,-0.01601123619079592,True,EXP-H186,EXP-H182
ablang1,REGION,REG-SEP,0.0026433858518246645,-0.03327843032648525,-0.015317522237330294,False,EXP-H190,EXP-H182
ablang1,REGION,XREG,-0.021625675060131022,-0.02905119672233658,-0.025338435891233746,True,EXP-H194,EXP-H182
ablang1,REGION,FUSE,0.005776317313865298,-0.02953186633263094,-0.011877774509382877,False,EXP-H198,EXP-H182
ablang1,FULL,JOINT,0.00692577569278674,0.006955073650972476,0.006940424671879608,False,EXP-H187,EXP-H183
ablang1,FULL,REG-SEP,0.02041785054147982,0.02220598950798136,0.02131192002473059,False,EXP-H191,EXP-H183
ablang1,FULL,XREG,0.01967533106862762,0.040311390864996355,0.029993360966811933,False,EXP-H195,EXP-H183
ablang1,FULL,FUSE,0.0005063957402735575,0.015247868902889428,0.007877132321581493,False,EXP-H199,EXP-H183
ablang2_paired,BASE,JOINT,-0.0432863832167637,-0.02117070308732405,-0.03222854315204393,True,EXP-H204,EXP-H200
ablang2_paired,BASE,REG-SEP,-0.03231496165711201,-0.02450477322236999,-0.028409867439741054,True,EXP-H208,EXP-H200
ablang2_paired,BASE,XREG,-0.037091137732988555,-0.013857998930377868,-0.025474568331683267,True,EXP-H212,EXP-H200
ablang2_paired,BASE,FUSE,-0.026659338680314337,0.0037114333164544044,-0.011473952681929966,False,EXP-H216,EXP-H200
ablang2_paired,IMGT,JOINT,0.013768391644513045,-0.01029716680079329,0.0017356124218598223,False,EXP-H205,EXP-H201
ablang2_paired,IMGT,REG-SEP,0.024857759734730478,-0.014289557139078757,0.0052841012978257496,False,EXP-H209,EXP-H201
ablang2_paired,IMGT,XREG,0.03791238177264167,0.0012103789058732772,0.01956138033925736,False,EXP-H213,EXP-H201
ablang2_paired,IMGT,FUSE,0.05166628726912126,0.009467522232620929,0.030566904750870982,False,EXP-H217,EXP-H201
ablang2_paired,REGION,JOINT,0.015039022704701366,-0.07152659649319115,-0.028243786894244893,False,EXP-H206,EXP-H202
ablang2_paired,REGION,REG-SEP,0.0028172951686530334,-0.07041684595743813,-0.033799775394392495,False,EXP-H210,EXP-H202
ablang2_paired,REGION,XREG,0.022634658907666583,-0.09014061284948272,-0.033752976970907955,False,EXP-H214,EXP-H202
ablang2_paired,REGION,FUSE,-0.004828947655948546,-0.06966077512576252,-0.03724486139085548,True,EXP-H218,EXP-H202
ablang2_paired,FULL,JOINT,0.011060941342954322,-0.004564396234206236,0.0032482725543739877,False,EXP-H207,EXP-H203
ablang2_paired,FULL,REG-SEP,-0.0044519905278712635,0.0362554351429879,0.015901722307558264,False,EXP-H211,EXP-H203
ablang2_paired,FULL,XREG,-0.0007536963945553588,-0.009853932557282619,-0.005303814475918989,True,EXP-H215,EXP-H203
ablang2_paired,FULL,FUSE,-0.00539250112462919,0.0070742379176762515,0.0008408683965235308,False,EXP-H219,EXP-H203
ablang2_unpaired,BASE,JOINT,-0.022577980653739393,-0.05202184097855178,-0.03729991081614559,True,EXP-H224,EXP-H220
ablang2_unpaired,BASE,REG-SEP,0.014219405751169423,-0.08013325505197788,-0.03295692465040423,False,EXP-H228,EXP-H220
ablang2_unpaired,BASE,XREG,-0.010836518134599848,-0.06322823851785553,-0.037032378326227744,True,EXP-H232,EXP-H220
ablang2_unpaired,BASE,FUSE,-0.011812550109109865,-0.07689197483769172,-0.04435226247340085,True,EXP-H236,EXP-H220
ablang2_unpaired,IMGT,JOINT,0.018394610934787448,-0.0020890889108917676,0.00815276101194784,False,EXP-H225,EXP-H221
ablang2_unpaired,IMGT,REG-SEP,-0.013910429401162161,0.030267700336597647,0.008178635467717799,False,EXP-H229,EXP-H221
ablang2_unpaired,IMGT,XREG,-0.009567643153814531,-0.021153081069757995,-0.015360362111786152,True,EXP-H233,EXP-H221
ablang2_unpaired,IMGT,FUSE,-0.006958385750099438,0.002506146419195332,-0.002226119665452053,False,EXP-H237,EXP-H221
ablang2_unpaired,REGION,JOINT,-0.03677840056242776,-0.010840375123200685,-0.023809387842814167,True,EXP-H226,EXP-H222
ablang2_unpaired,REGION,REG-SEP,0.006022482365737658,0.00992062213097078,0.00797155224835433,False,EXP-H230,EXP-H222
ablang2_unpaired,REGION,XREG,0.006617995226824713,-0.0017712597788116513,0.002423367724006642,False,EXP-H234,EXP-H222
ablang2_unpaired,REGION,FUSE,0.004599638150062035,0.0027556025658124206,0.0036776203579372835,False,EXP-H238,EXP-H222
ablang2_unpaired,FULL,JOINT,0.049204378575454455,-0.0052618856547791415,0.021971246460337657,False,EXP-H227,EXP-H223
ablang2_unpaired,FULL,REG-SEP,0.030299132735641,0.050340520835217006,0.040319826785429,False,EXP-H231,EXP-H223
ablang2_unpaired,FULL,XREG,0.012792493985022912,0.010285988324954087,0.0115392411549885,False,EXP-H235,EXP-H223
ablang2_unpaired,FULL,FUSE,-0.007763900662645873,0.01156234552830826,0.001899222432831138,False,EXP-H239,EXP-H223
esm1b,BASE,JOINT,-0.03954361512925897,0.004851678918909141,-0.01734596810517497,False,EXP-H244,EXP-H240
esm1b,BASE,REG-SEP,-0.04161548779334556,-0.015139080235987645,-0.02837728401466666,True,EXP-H248,EXP-H240
esm1b,BASE,XREG,-0.036574338135895945,-0.006680168387330654,-0.0216272532616133,True,EXP-H252,EXP-H240
esm1b,BASE,FUSE,-0.059086309644910906,0.011173260300247678,-0.02395652467233156,False,EXP-H256,EXP-H240
