Code,Backbone,Aux,Aux_dim,TEST_P,TEST_S,TEST_mean,TEST_worst,Pub,Priv,Overall
EXP-H071,EXP-H071,NONE,0,0.5284297512666679,0.4749465964988425,0.5016881738827552,0.5284297512666679,0.4795710758162133,0.4800268844792872,0.4797989801477502
EXP-H090,EXP-H071,F1_SURFACE,35,0.45757075571130823,0.4854537234836154,0.4715122395974618,0.4854537234836154,0.405876104849356,0.4128748083232361,0.4093754565862961
EXP-H093,EXP-H071,F4_H047_AUX_ALL,200,0.4983819906917618,0.5058691315356596,0.5021255611137108,0.5058691315356596,0.4069604137090991,0.4214826455763829,0.4142215296427409
EXP-H061,EXP-H061,NONE,0,0.5330681005407263,0.4805228534745581,0.5067954770076422,0.5330681005407263,0.4816351869371202,0.4615196249691057,0.471577405953113
EXP-H086,EXP-H061,F1_SURFACE,35,0.4714368941224652,0.501216005537245,0.48632644982985507,0.501216005537245,0.4017567271479853,0.4109313752916124,0.4063440512197989
EXP-H089,EXP-H061,F4_H047_AUX_ALL,200,0.47170651537106356,0.46781190697940767,0.4697592111752356,0.47170651537106356,0.4018183804735727,0.4391924267992561,0.4205054036364143
EXP-H094,EXP-H071,FS_HIC_STATIC_SAP_KD_GLOBAL3,3,0.5202291506072622,0.5005039269247172,0.5103665387659897,0.5202291506072622,0.491031106925305,0.4893060490172585,0.4901685779712817
EXP-H095,EXP-H071,FS_HIC_STATIC_SAP_KD_CHAIN9,9,0.5211739397873113,0.5288411209200635,0.5250075303536874,0.5288411209200635,0.5219594514634874,0.4659824763168522,0.4939709638901697
EXP-H096,EXP-H071,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,44,0.4806062555195372,0.48070501412285693,0.48065563482119705,0.48070501412285693,0.4162601349442094,0.4232820136929734,0.4197710743185915
EXP-H097,EXP-H071,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,209,0.47585451041327576,0.4932754427591959,0.4845649765862358,0.4932754427591959,0.4071074865835684,0.4268775148744936,0.416992500729031
EXP-H098,EXP-H061,FS_HIC_STATIC_SAP_KD_GLOBAL3,3,0.5491239056999301,0.5040708617222162,0.5265973837110731,0.5491239056999301,0.4954488915337455,0.4513199333850248,0.4733844124593852
EXP-H099,EXP-H061,FS_HIC_STATIC_SAP_KD_CHAIN9,9,0.5519959435168609,0.5074416799192076,0.5297188117180343,0.5519959435168609,0.5311004990942685,0.4661452443629135,0.498622871728591
EXP-H100,EXP-H061,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,44,0.47467345616846907,0.47401260545518653,0.4743430308118278,0.47467345616846907,0.4133675702883873,0.4049711693657768,0.409169369827082
EXP-H101,EXP-H061,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,209,0.46820447064623416,0.48975440413863575,0.478979437392435,0.48975440413863575,0.4162709730171863,0.4265437850952148,0.4214073790562005
