delta_mae,ci95_lo,ci95_hi,n,contrast,name,scheme,split,model_a,model_b
-0.12967366348078221,-0.40922531198572226,0.14666091424447486,162,T076_vs_T077,single_summary_penalty,primary,test,EXP-T076,EXP-T077
0.00029321364414544755,-0.27083571634174863,0.28806150930899155,162,T076_vs_T077,single_summary_penalty,primary,val,EXP-T076,EXP-T077
0.03629072212878569,-0.1911704652103377,0.26416801405541684,162,T076_vs_T077,single_summary_penalty,shadow,test,EXP-T076,EXP-T077
-0.012010150485568532,-0.25198745845276627,0.2281380635720713,162,T076_vs_T077,single_summary_penalty,shadow,val,EXP-T076,EXP-T077
-0.13936144039954668,-0.36862671110365125,0.08282957312501497,162,T077_vs_T075,full_joint_effect,primary,test,EXP-T077,EXP-T075
0.014589050669728973,-0.2545792308854468,0.28201499161896854,162,T077_vs_T075,full_joint_effect,primary,val,EXP-T077,EXP-T075
0.07749788260754244,-0.13695868503900221,0.2857400058228292,162,T077_vs_T075,full_joint_effect,shadow,test,EXP-T077,EXP-T075
-0.09606608638057007,-0.3452293713887534,0.1391998479395736,162,T077_vs_T075,full_joint_effect,shadow,val,EXP-T077,EXP-T075
0.05290780244050203,-0.17960993154549304,0.28141530472555276,162,T078_vs_T077,reg_specialization,primary,test,EXP-T078,EXP-T077
-0.02034159059877749,-0.23591232299804688,0.19360963856732402,162,T078_vs_T077,reg_specialization,primary,val,EXP-T078,EXP-T077
-0.010385960708429783,-0.23882657274787808,0.21523397351488652,162,T078_vs_T077,reg_specialization,shadow,test,EXP-T078,EXP-T077
0.07938709965458628,-0.18283019477938428,0.32626885072684586,162,T078_vs_T077,reg_specialization,shadow,val,EXP-T078,EXP-T077
-0.27582041422526044,-0.4584414953066979,-0.10674171918704187,162,T079_vs_T075,cross_attention_bridge,primary,test,EXP-T079,EXP-T075
-0.05796955249927662,-0.22781492398108966,0.11214854511213873,162,T079_vs_T075,cross_attention_bridge,primary,val,EXP-T079,EXP-T075
-0.024881763222776812,-0.16099983497902198,0.11686552777702425,162,T079_vs_T075,cross_attention_bridge,shadow,test,EXP-T079,EXP-T075
-0.11541385415159626,-0.27922233652185513,0.02743169407785674,162,T079_vs_T075,cross_attention_bridge,shadow,val,EXP-T079,EXP-T075
-0.13645897382571373,-0.38437732884913317,0.10440855379457807,162,T079_vs_T077,joint_vs_cross,primary,test,EXP-T079,EXP-T077
-0.0725586031690056,-0.3118966926763087,0.169402143690321,162,T079_vs_T077,joint_vs_cross,primary,val,EXP-T079,EXP-T077
-0.10237964583031925,-0.3114381236794554,0.11541620537086765,162,T079_vs_T077,joint_vs_cross,shadow,test,EXP-T079,EXP-T077
-0.01934776777102619,-0.25286139970944244,0.22058530736852577,162,T079_vs_T077,joint_vs_cross,shadow,val,EXP-T079,EXP-T077
-0.18936677626621576,-0.39491388003031414,0.012766808050650079,162,T079_vs_T078,restricted_vs_cross,primary,test,EXP-T079,EXP-T078
-0.05221701257022811,-0.2788190918204225,0.16208744166809813,162,T079_vs_T078,restricted_vs_cross,primary,val,EXP-T079,EXP-T078
-0.09199368512188946,-0.26367905463701413,0.06616430518067894,162,T079_vs_T078,restricted_vs_cross,shadow,test,EXP-T079,EXP-T078
-0.09873486742561247,-0.25747561749116876,0.06684459050496411,162,T079_vs_T078,restricted_vs_cross,shadow,val,EXP-T079,EXP-T078
