scheme,fold,checkpoint,g_H,g_L,residual_ratio_H_mean,residual_ratio_L_mean,val_mae_normal,val_mae_gate0,val_mae_delta,test_oof_mae_normal,test_oof_mae_gate0,test_oof_mae_delta,ext_fold_mae_normal,ext_fold_mae_gate0,ext_fold_mae_delta,mean_abs_pred_delta_val,mean_abs_pred_delta_test_oof,mean_abs_pred_delta_ext
primary,0,/workspace_developability_acquisition/developability_drilldown/results/EXP-T079_run/checkpoints/primary_k0_lr1e-04_seed101.pt,0.010551577433943748,-0.010977457277476788,0.0030727355430523553,0.0028770818995932737,2.71072734485973,2.710244149872751,-0.00048319498697901864,3.3596057891845703,3.3571228981018066,-0.002482891082763672,3.487213017028055,3.4870088365342884,-0.00020418049376669245,0.006869691889733076,0.006482601165771484,0.005579560063779354
primary,1,/workspace_developability_acquisition/developability_drilldown/results/EXP-T079_run/checkpoints/primary_k1_lr1e-03_seed101.pt,0.0012805777369067073,-0.0003765333676710725,0.0005361233294631044,0.00018723723769653589,3.1328129623875474,3.1328252156575522,1.2253270004869421e-05,3.115786465731534,3.115832473292495,4.6007560960958926e-05,3.694621804319782,3.6946526044680748,3.080014829270894e-05,0.00018611099221743643,0.00018379905668552965,0.00018395317601971328
primary,2,/workspace_developability_acquisition/developability_drilldown/results/EXP-T079_run/checkpoints/primary_k2_lr1e-04_seed101.pt,0.006202849093824625,-0.008745690807700157,0.0016914288280531764,0.0026822307845577598,3.0886831283569336,3.0896294116973877,0.0009462833404541016,3.1477496985233193,3.14759872898911,-0.00015096953420945525,3.402118918336468,3.4023471879370417,0.00022826960057376056,0.00403904914855957,0.003598068607971072,0.003711417783051729
primary,3,/workspace_developability_acquisition/developability_drilldown/results/EXP-T079_run/checkpoints/primary_k3_lr1e-04_seed101.pt,0.0068381731398403645,-0.0020472814794629812,0.0016766252811066806,0.0005407773423939943,2.5706427097320557,2.5711169242858887,0.0004742145538330078,3.496381998062134,3.4958972930908203,-0.00048470497131347656,3.5052889129261913,3.5051796524612993,-0.00010926046489201369,0.001833200454711914,0.0025675296783447266,0.0019179921364411712
primary,4,/workspace_developability_acquisition/developability_drilldown/results/EXP-T079_run/checkpoints/primary_k4_lr1e-03_seed101.pt,0.005792700219899416,-0.00436058547347784,0.003379930858500302,0.0030652330024167895,3.0680253505706787,3.071460008621216,0.0034346580505371094,3.0686450004577637,3.0730199813842773,0.004374980926513672,3.564126850646219,3.5666064038688754,0.00247955322265625,0.020522117614746094,0.021049022674560547,0.021001651883125305
shadow,0,/workspace_developability_acquisition/developability_drilldown/results/EXP-T079_run/checkpoints/shadow_k0_lr1e-04_seed101.pt,0.007409689947962761,-0.00731549272313714,0.002013617971291145,0.002148382676144441,2.5791059551816997,2.579038215406013,-6.773977568652612e-05,3.1124064922332764,3.1123733520507812,-3.314018249511719e-05,3.4662933820559654,3.466854990264516,0.0005616082085504459,0.005107301753014326,0.004206418991088867,0.0032862438820302486
shadow,1,/workspace_developability_acquisition/developability_drilldown/results/EXP-T079_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,-0.003638047957792878,-0.007168891839683056,0.0023793692234903574,0.004870373522862792,3.2166314125061035,3.216106653213501,-0.0005247592926025391,2.8227599172881157,2.820078994288589,-0.0026809229995268247,3.6670521865656345,3.6667188008626304,-0.00033338570300411874,0.00939631462097168,0.009601477533578873,0.009517292492091656
shadow,2,/workspace_developability_acquisition/developability_drilldown/results/EXP-T079_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,-0.004786442033946514,-0.0035676162224262953,0.002099011093378067,0.0018354151980020106,3.1875386238098145,3.1872851848602295,-0.00025343894958496094,3.204547643661499,3.204435110092163,-0.0001125335693359375,3.5581771002875433,3.5582808035391347,0.0001037032515913694,0.001886606216430664,0.0010385513305664062,0.00148820283357054
shadow,3,/workspace_developability_acquisition/developability_drilldown/results/EXP-T079_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,-0.0014063518028706312,-0.0022407746873795986,0.0006069022735270361,0.0008430460972401003,3.1189031889944365,3.1188548694957388,-4.831949869776864e-05,3.3574185371398926,3.3573648929595947,-5.364418029785156e-05,3.543556448854046,3.54337998378424,-0.00017646506980595333,0.0006776289665140212,0.0007040500640869141,0.000808762910310179
shadow,4,/workspace_developability_acquisition/developability_drilldown/results/EXP-T079_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,-0.0012433496303856373,0.004689574707299471,0.000720888318028301,0.0021811295300722122,2.9317305088043213,2.931687355041504,-4.315376281738281e-05,3.8343709309895835,3.834017666903409,-0.0003532640861743097,3.504450903998481,3.5044889567810813,3.805278260049505e-05,0.0009005069732666016,0.0007855964358896017,0.0008645704947412014
