code,scheme,fold,total,attention,ffn,norm,init_distance
EXP-T130,primary,0,0.1718500703573227,0.19857776165008545,0.26079633831977844,0.01509779877960682,0.0
EXP-T130,primary,1,0.12897004187107086,0.14597785472869873,0.2009466290473938,0.01122188474982977,0.0
EXP-T130,primary,2,0.22730223834514618,0.2839467227458954,0.30991095304489136,0.018578574061393738,0.0
EXP-T130,primary,3,0.03296104818582535,0.04423528537154198,0.04059229791164398,0.0028993019368499517,0.0
EXP-T130,primary,4,0.30649447441101074,0.39881008863449097,0.37935909628868103,0.02422570250928402,0.0
EXP-T130,shadow,0,0.17296522855758667,0.199900284409523,0.26249492168426514,0.01474873535335064,0.0
EXP-T130,shadow,1,0.1909485161304474,0.22630323469638824,0.2809882164001465,0.01563812978565693,0.0
EXP-T130,shadow,2,0.27236688137054443,0.35518544912338257,0.34035900235176086,0.020357005298137665,0.0
EXP-T130,shadow,3,0.2830233871936798,0.3667549788951874,0.3569306433200836,0.021632198244333267,0.0
EXP-T130,shadow,4,0.3291597366333008,0.4261849522590637,0.40879347920417786,0.026312831789255142,0.0
EXP-T131,primary,0,0.04439792409539223,0.059157732874155045,0.05547351762652397,0.0040135737508535385,0.0
EXP-T131,primary,1,0.1965683400630951,0.2401130348443985,0.2782900929450989,0.016220660880208015,0.0
EXP-T131,primary,2,0.0437852218747139,0.060442861169576645,0.05037381500005722,0.0038862498477101326,0.0
EXP-T131,primary,3,0.03216800466179848,0.042419400066137314,0.04107687249779701,0.002794181928038597,0.0
EXP-T131,primary,4,0.34286588430404663,0.45620614290237427,0.3987831175327301,0.028864793479442596,0.0
EXP-T131,shadow,0,0.33127519488334656,0.44043272733688354,0.3887341022491455,0.027520621195435524,0.0
EXP-T131,shadow,1,0.03737476095557213,0.0502043254673481,0.04591016471385956,0.003406135132536292,0.0
EXP-T131,shadow,2,0.37044617533683777,0.49210959672927856,0.4272809624671936,0.030168140307068825,0.0
EXP-T131,shadow,3,0.21616873145103455,0.27165138721466064,0.29260480403900146,0.018235858529806137,0.0
EXP-T131,shadow,4,0.040941283106803894,0.05630529299378395,0.04757070541381836,0.0036657308228313923,0.0
EXP-T132,primary,0,0.0338905043900013,0.04339359328150749,0.04560292512178421,0.003031340427696705,0.0
EXP-T132,primary,1,0.021128972992300987,0.025915399193763733,0.03030228801071644,0.0019484220538288355,0.0
EXP-T132,primary,2,0.23837991058826447,0.27614203095436096,0.35581955313682556,0.021063292399048805,0.0
EXP-T132,primary,3,0.026413463056087494,0.03302497789263725,0.036877457052469254,0.002437843009829521,0.0
EXP-T132,primary,4,0.3570013642311096,0.4382370710372925,0.4817185401916504,0.031190522015094757,0.0
EXP-T132,shadow,0,0.23708339035511017,0.27159106731414795,0.3583393394947052,0.020264698192477226,0.0
EXP-T132,shadow,1,0.03150267153978348,0.03964569419622421,0.04355050250887871,0.002934956457465887,0.0
EXP-T132,shadow,2,0.2629571259021759,0.3063788115978241,0.38883689045906067,0.02150491625070572,0.0
EXP-T132,shadow,3,0.17957480251789093,0.20438382029533386,0.27625271677970886,0.015705246478319168,0.0
EXP-T132,shadow,4,0.19920256733894348,0.2259010672569275,0.3063490390777588,0.017979973927140236,0.0
EXP-T133,primary,0,0.04655321314930916,0.05810011923313141,0.06516944617033005,0.004014876205474138,0.0
EXP-T133,primary,1,0.19717766344547272,0.22802162170410156,0.2973465025424957,0.01690063066780567,0.0
EXP-T133,primary,2,0.23663748800754547,0.2710660994052887,0.3567497730255127,0.021947266533970833,0.0
EXP-T133,primary,3,0.028552431613206863,0.03562292456626892,0.04002092406153679,0.0023441007360816,0.0
EXP-T133,primary,4,0.16814939677715302,0.18941545486450195,0.2616083025932312,0.013963060453534126,0.0
EXP-T133,shadow,0,0.310303270816803,0.35293084383010864,0.4631368815898895,0.02789374440908432,0.0
EXP-T133,shadow,1,0.1686842441558838,0.19047386944293976,0.2615341246128082,0.014534296467900276,0.0
EXP-T133,shadow,2,0.3570936322212219,0.43601474165916443,0.4850819706916809,0.030925285071134567,0.0
EXP-T133,shadow,3,0.3070520758628845,0.3573702275753021,0.44904616475105286,0.026801887899637222,0.0
EXP-T133,shadow,4,0.34131014347076416,0.42122724652290344,0.4595194458961487,0.02845478616654873,0.0
EXP-T134,primary,0,0.08994627743959427,0.1352826952934265,0.07217290997505188,0.006600574590265751,0.0
EXP-T134,primary,1,0.23549827933311462,0.30745238065719604,0.29633960127830505,0.021488552913069725,0.0
EXP-T134,primary,2,0.08211880177259445,0.12307268381118774,0.06744390726089478,0.006823195610195398,0.0
EXP-T134,primary,3,0.19925467669963837,0.2538720965385437,0.2645382583141327,0.016428379341959953,0.0
EXP-T134,primary,4,0.22844098508358002,0.299521267414093,0.2856268584728241,0.020249970257282257,0.0
EXP-T134,shadow,0,0.09717907011508942,0.1467915177345276,0.07554829865694046,0.007178047206252813,0.0
EXP-T134,shadow,1,0.2763681411743164,0.3583230674266815,0.34790366888046265,0.02560526132583618,0.0
EXP-T134,shadow,2,0.2301989495754242,0.29366645216941833,0.30248337984085083,0.02069709636271,0.0
EXP-T134,shadow,3,0.05284951999783516,0.07541827112436295,0.05473969131708145,0.0038456397596746683,0.0
