model_a,model_b,family,variant,scheme,delta_mae,ci95_lo,ci95_hi,note
EXP-T142,EXP-T121,C,C1,primary,0.12159140316056616,-0.07109754114975163,0.30271127842090745,delta=MAE_a-MAE_b; negative => a better
EXP-T142,EXP-T121,C,C1,shadow,-0.025079067842459973,-0.19700913134916329,0.1489164181697515,delta=MAE_a-MAE_b; negative => a better
EXP-T143,EXP-T121,C,C2,primary,0.029244528876410502,-0.19959210407586755,0.270134255915512,delta=MAE_a-MAE_b; negative => a better
EXP-T143,EXP-T121,C,C2,shadow,0.16615862905243298,-0.022107591158078126,0.356937414922832,delta=MAE_a-MAE_b; negative => a better
EXP-T144,EXP-T121,C,C3,primary,0.1031724670786916,-0.11170518309981735,0.31175718484101467,delta=MAE_a-MAE_b; negative => a better
EXP-T144,EXP-T121,C,C3,shadow,-0.012275648705753279,-0.15799835052019284,0.14012846122553316,delta=MAE_a-MAE_b; negative => a better
EXP-T145,EXP-T121,C,C4,primary,0.19187253787193764,-0.04423158551439831,0.42953132582299486,delta=MAE_a-MAE_b; negative => a better
EXP-T145,EXP-T121,C,C4,shadow,0.30051810653121386,0.07614796249954789,0.5415192815992567,delta=MAE_a-MAE_b; negative => a better
EXP-T146,EXP-T121,C,C5,primary,0.06985318219220196,-0.15466237362520197,0.2901900727071879,delta=MAE_a-MAE_b; negative => a better
EXP-T146,EXP-T121,C,C5,shadow,-0.10270335350507571,-0.3025657483089117,0.10625038853398056,delta=MAE_a-MAE_b; negative => a better
EXP-T147,EXP-T110,D,D1,primary,0.05593255125446084,-0.20126573774549694,0.3126062140052701,delta=MAE_a-MAE_b; negative => a better
EXP-T147,EXP-T110,D,D1,shadow,0.12357914300612462,-0.08286270329981675,0.31864873215004247,delta=MAE_a-MAE_b; negative => a better
EXP-T148,EXP-T110,D,D2,primary,-0.010395615189163774,-0.29351849673706804,0.24192912137066874,delta=MAE_a-MAE_b; negative => a better
EXP-T148,EXP-T110,D,D2,shadow,0.15574198593328023,-0.08194413891545049,0.3999467290477987,delta=MAE_a-MAE_b; negative => a better
EXP-T149,EXP-T110,D,D3,primary,0.020384282241632908,-0.2409972385123924,0.26909368774037296,delta=MAE_a-MAE_b; negative => a better
EXP-T149,EXP-T110,D,D3,shadow,0.09125728371702595,-0.12525051199359657,0.3041649883176073,delta=MAE_a-MAE_b; negative => a better
EXP-T150,EXP-T110,D,D4,primary,-0.14793659728250386,-0.4041663252277139,0.09308967472594458,delta=MAE_a-MAE_b; negative => a better
EXP-T150,EXP-T110,D,D4,shadow,0.1397479492941021,-0.10102645085181713,0.36769632704464006,delta=MAE_a-MAE_b; negative => a better
EXP-T121,EXP-T113,C0_vs_B,C0_vs_B,primary,0.0281660291883681,-0.2388542422541865,0.2954462887328346,delta=MAE_a-MAE_b; negative => a better
EXP-T121,EXP-T113,C0_vs_B,C0_vs_B,shadow,-0.03098574979805652,-0.27518259919719934,0.21022220364323368,delta=MAE_a-MAE_b; negative => a better
EXP-T149,EXP-T113,bestD_vs_B,bestD_vs_B,primary,0.22824944390190977,-0.012411136391722083,0.4830692467866119,delta=MAE_a-MAE_b; negative => a better
EXP-T149,EXP-T113,bestD_vs_B,bestD_vs_B,shadow,0.08847625167281539,-0.13051043498663253,0.3120878513948417,delta=MAE_a-MAE_b; negative => a better
EXP-T149,EXP-T121,bestD_vs_C0,bestD_vs_C0,primary,0.20008341471354166,-0.07821508572425372,0.4809402665974181,delta=MAE_a-MAE_b; negative => a better
EXP-T149,EXP-T121,bestD_vs_C0,bestD_vs_C0,shadow,0.11946200147087191,-0.09236311206111202,0.3329701205830515,delta=MAE_a-MAE_b; negative => a better
