plm,topology,code,primary,shadow,mean,worst,public,private,overall,n_trainable,projection_params,interaction_params
ablingua,A,EXP-T080,3.2602498089825667,3.3066721786687405,3.2834609938256536,3.3066721786687405,3.5794110521858133,3.332932761863426,3.45617190702462,476033,163968,0
ablingua,B1,EXP-T081,3.4313683686433016,3.479818603138865,3.455593485891084,3.479818603138865,3.514498223198785,3.2373442379044906,3.3759212305516377,476033,163968,0
ablingua,B2,EXP-T082,3.24324784455476,3.36413852079415,3.303693182674455,3.36413852079415,3.499388094301577,3.29397130895544,3.3966797016285084,476033,163968,0
ablingua,C,EXP-T087,3.2353713895067755,3.2764338740596064,3.255902631783191,3.2764338740596064,3.5127148851936245,3.264616497652029,3.388665691422827,542081,163968,66048
ablingua,D,EXP-T151,3.372717727849513,3.3339194545039423,3.353318591176728,3.372717727849513,3.506145279495805,3.3382590776608305,3.422202178578317,481297,163968,5264
ablang2,A,EXP-T110,3.2029204191984952,3.280289826569734,3.2416051228841143,3.280289826569734,3.252445541193455,3.0645149230957034,3.1584802321445795,373633,61568,0
ablang2,B1,EXP-T113,2.9950552575382186,3.2830708586139443,3.139063058076081,3.2830708586139443,3.105441821063006,2.999122327639732,3.052282074351369,373633,61568,0
ablang2,B2,EXP-T115,3.240749830081139,3.311849547021183,3.276299688551161,3.311849547021183,3.196675731517651,2.9866563302499265,3.091666030883789,373633,61568,0
ablang2,C,EXP-T121,3.0232212867265864,3.252085108815888,3.137653197771237,3.252085108815888,3.247434488932292,3.1936370378659102,3.220535763399101,439681,61568,66048
ablang2,D,EXP-T149,3.2233047014401284,3.37154711028676,3.2974259058634443,3.37154711028676,3.211548623920959,3.0732161533685387,3.1423823886447484,378897,61568,5264
esm2,A,EXP-T152,3.482475163024149,3.5690759258505738,3.5257755444373613,3.5690759258505738,3.652358443648726,3.4656648989076966,3.559011671278212,476033,163968,0
esm2,B1,EXP-T153,3.3596158910680702,3.4325087982931253,3.396062344680597,3.4325087982931253,3.6436095814646015,3.500344660252701,3.5719771208586515,476033,163968,0
esm2,B2,EXP-T154,3.360608089117356,3.378463980592328,3.3695360348548418,3.378463980592328,3.7594989541136186,3.475641321252894,3.617570137683257,476033,163968,0
esm2,C,EXP-T155,3.2831874894507136,3.535668172954041,3.409427831202377,3.535668172954041,3.637588943669826,3.5310453626844622,3.5843171531771434,542081,163968,66048
esm2,D,EXP-T156,3.2438234399866173,3.4195867232334467,3.331705081610032,3.4195867232334467,3.652147382571373,3.5979604273666563,3.625053904969015,481297,163968,5264
