kind,representation,annotation,topology,scheme,delta_mae,ci95_lo,ci95_hi,code_x,code_a,code_base,family
topology_gain_vs_A,scratch,BASE,B1,primary,0.0010423307065610971,-0.324412319983965,0.34375444753670337,EXP-T163,EXP-T162,,
topology_gain_vs_A,scratch,BASE,B1,shadow,-0.055107328626844664,-0.31443972940798165,0.21478839685887438,EXP-T163,EXP-T162,,
topology_gain_vs_A,scratch,BASE,B2,primary,-0.03867992354028019,-0.3349532686633828,0.255876689487033,EXP-T164,EXP-T162,,
topology_gain_vs_A,scratch,BASE,B2,shadow,0.03331149065936053,-0.2047092896920663,0.2806969560222857,EXP-T164,EXP-T162,,
topology_gain_vs_A,scratch,BASE,C,primary,-0.1308890684151355,-0.4319649584499406,0.17547931553404947,EXP-T165,EXP-T162,,
topology_gain_vs_A,scratch,BASE,C,shadow,-0.055314099347149884,-0.3098581090385531,0.19901831356095662,EXP-T165,EXP-T162,,
topology_gain_vs_A,scratch,BASE,D,primary,-0.08187249266071084,-0.4043253627824195,0.24343713006855486,EXP-T166,EXP-T162,,
topology_gain_vs_A,scratch,BASE,D,shadow,-0.00392499382113233,-0.21440312067667644,0.2094532613401058,EXP-T166,EXP-T162,,
topology_gain_vs_A,scratch,IMGT,B1,primary,0.25212473928192514,0.002402605833830657,0.509570593892792,EXP-T168,EXP-T167,,
topology_gain_vs_A,scratch,IMGT,B1,shadow,0.22507872404875578,0.003490743519347393,0.4508400775768138,EXP-T168,EXP-T167,,
topology_gain_vs_A,scratch,IMGT,B2,primary,0.08232031928168403,-0.14136137197047105,0.2809380095682026,EXP-T169,EXP-T167,,
topology_gain_vs_A,scratch,IMGT,B2,shadow,0.04975024564766589,-0.17221286914966724,0.2662375014505269,EXP-T169,EXP-T167,,
topology_gain_vs_A,scratch,IMGT,C,primary,0.13023225760754245,-0.114631426775897,0.3747631850066008,EXP-T170,EXP-T167,,
topology_gain_vs_A,scratch,IMGT,C,shadow,0.19190849492579332,-0.0530627574449704,0.43383212089538564,EXP-T170,EXP-T167,,
topology_gain_vs_A,scratch,IMGT,D,primary,0.22018569192768614,-0.009964811654738436,0.4523098910296403,EXP-T171,EXP-T167,,
topology_gain_vs_A,scratch,IMGT,D,shadow,0.22117774869188847,-0.00647356480727961,0.4564029811341085,EXP-T171,EXP-T167,,
topology_gain_vs_A,scratch,REGION,B1,primary,0.32962288091212144,0.07231006504576884,0.6144970664271601,EXP-T173,EXP-T172,,
topology_gain_vs_A,scratch,REGION,B1,shadow,-0.042050020194347996,-0.2867848643550166,0.2031010615972825,EXP-T173,EXP-T172,,
topology_gain_vs_A,scratch,REGION,B2,primary,0.11606145788122106,-0.11691625736377857,0.3506771240705325,EXP-T174,EXP-T172,,
topology_gain_vs_A,scratch,REGION,B2,shadow,-0.1913808657799238,-0.4671752140845782,0.08224421842598605,EXP-T174,EXP-T172,,
topology_gain_vs_A,scratch,REGION,C,primary,0.1950127872419946,-0.033088631100124784,0.4265954311983082,EXP-T175,EXP-T172,,
topology_gain_vs_A,scratch,REGION,C,shadow,-0.024976141658830053,-0.3123836799904152,0.27711236859545274,EXP-T175,EXP-T172,,
topology_gain_vs_A,scratch,REGION,D,primary,0.05574953997576678,-0.20920511175084996,0.30828645023298845,EXP-T176,EXP-T172,,
topology_gain_vs_A,scratch,REGION,D,shadow,-0.1106883861400463,-0.33345434165295257,0.10739837575841803,EXP-T176,EXP-T172,,
topology_gain_vs_A,scratch,FULL,B1,primary,-0.17755002151300872,-0.4182235770755344,0.049500645531547816,EXP-T094,EXP-T091,,
topology_gain_vs_A,scratch,FULL,B1,shadow,-0.19175145655502507,-0.5425368520948621,0.13961627866015014,EXP-T094,EXP-T091,,
topology_gain_vs_A,scratch,FULL,B2,primary,-0.1131211975474416,-0.3759377561969521,0.13993273252322358,EXP-T096,EXP-T091,,
topology_gain_vs_A,scratch,FULL,B2,shadow,-0.3356491842387635,-0.6269361872731903,-0.06250675224963548,EXP-T096,EXP-T091,,
topology_gain_vs_A,scratch,FULL,C,primary,-0.09042219468104983,-0.3433197262846393,0.14987972636281693,EXP-T102,EXP-T091,,
topology_gain_vs_A,scratch,FULL,C,shadow,-0.17063112612123843,-0.44034995561764567,0.0782139483793282,EXP-T102,EXP-T091,,
topology_gain_vs_A,scratch,FULL,D,primary,-0.04167488474904751,-0.3902205320052159,0.2908396885718826,EXP-T161,EXP-T091,,
topology_gain_vs_A,scratch,FULL,D,shadow,-0.04343882902168933,-0.3432301285826129,0.2370104006779044,EXP-T161,EXP-T091,,
topology_gain_vs_A,ablingua,BASE,B1,primary,0.053859169100537715,-0.11536112420352888,0.21870886720257032,EXP-T178,EXP-T177,,
topology_gain_vs_A,ablingua,BASE,B1,shadow,-0.013201536955656784,-0.24793707706310122,0.2104633354846342,EXP-T178,EXP-T177,,
topology_gain_vs_A,ablingua,BASE,B2,primary,0.04139497545030382,-0.1123106273604028,0.1894508102793752,EXP-T179,EXP-T177,,
topology_gain_vs_A,ablingua,BASE,B2,shadow,0.08288103268470293,-0.12934145515347706,0.29206727110309344,EXP-T179,EXP-T177,,
topology_gain_vs_A,ablingua,BASE,C,primary,0.013732768871166088,-0.11583591743751809,0.1478930438006366,EXP-T180,EXP-T177,,
topology_gain_vs_A,ablingua,BASE,C,shadow,0.025711695353190105,-0.21902130680319704,0.2737590242315221,EXP-T180,EXP-T177,,
topology_gain_vs_A,ablingua,BASE,D,primary,0.1300794106942636,-0.029262767603367934,0.2842427130098696,EXP-T181,EXP-T177,,
topology_gain_vs_A,ablingua,BASE,D,shadow,0.001874123090579186,-0.2200571784266719,0.22867385664103923,EXP-T181,EXP-T177,,
topology_gain_vs_A,ablingua,IMGT,B1,primary,0.04489743268048322,-0.14080861762717917,0.2203264154033896,EXP-T183,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,B1,shadow,-0.010396439352153303,-0.22340948669998734,0.1994518786300845,EXP-T183,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,B2,primary,0.09984612170560861,-0.11469057342152537,0.33371698473706657,EXP-T184,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,B2,shadow,-0.043505586223837815,-0.23353846396928957,0.15148660753980048,EXP-T184,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,C,primary,0.16372221487539787,-0.05934059354994032,0.395632188702807,EXP-T185,EXP-T182,,
