topology,annotation,rep1,rep2,scheme,did,ci95_lo,ci95_hi,note
A,IMGT,scratch,ablingua,primary,-0.2050190207398968,-0.5162717006824635,0.13508739942385822,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,ablingua,shadow,-0.16110394324785401,-0.5214160424691661,0.2035568637612425,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,ablang2_paired,primary,-0.2004600807472511,-0.6150611506568059,0.2315223693847657,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,ablang2_paired,shadow,-0.058198764000409874,-0.417137011775264,0.30056242589597315,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,ablang2_unpaired,primary,-0.1782422006866078,-0.5865400914792661,0.24834478284105824,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,ablang2_unpaired,shadow,-0.040774262981650225,-0.4672309245592282,0.3720946223647506,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,ablang1,primary,-0.2517066060760874,-0.6773016623508783,0.18908339900734883,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,ablang1,shadow,0.06251177375699267,-0.25691601906293704,0.38750989584275225,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,esm1b,primary,0.013910505506727431,-0.3494939191841785,0.39960765485410316,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,esm1b,shadow,-0.233843344229239,-0.552858113065178,0.08509116996953503,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,esm2,primary,-0.03666234899450232,-0.42330518887366775,0.35154319692541,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,esm2,shadow,-0.39779382870521074,-0.746342048527282,-0.06747807691126695,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,esmc600m,primary,-0.35033960695619937,-0.7618834683924546,0.07480739016591759,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,esmc600m,shadow,-0.0183364020453559,-0.40152160620983735,0.3860297285480262,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,currab_paired,primary,-0.18535239608199502,-0.5840050720874174,0.2215344146445944,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,currab_paired,shadow,-0.2035631721402392,-0.5379838937594568,0.13277538617451967,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,currab_unpaired,primary,-0.1954904956582152,-0.5277299327614867,0.1386883694448585,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,scratch,currab_unpaired,shadow,0.08927086253225062,-0.2017176480940831,0.36733080663798723,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,ablang2_paired,primary,0.004558939992645684,-0.3454133210358796,0.31226996080375025,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,ablang2_paired,shadow,0.1029051792474441,-0.2355727643142511,0.43941883157800726,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,ablang2_unpaired,primary,0.02677682005328901,-0.27615348792370453,0.32176252294469765,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,ablang2_unpaired,shadow,0.12032968026620379,-0.2587933652194929,0.49009127734619906,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,ablang1,primary,-0.04668758533619064,-0.3399396172276251,0.24125892144662323,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,ablang1,shadow,0.2236157170048467,-0.0637959539154429,0.5261559509936674,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,esm1b,primary,0.21892952624662423,-0.03781725683330018,0.46223359520052676,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,esm1b,shadow,-0.07273940098138498,-0.3812564567283348,0.2274693600925395,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,esm2,primary,0.16835667174539448,-0.16469145056642132,0.5001104201799557,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,esm2,shadow,-0.2366898854573567,-0.6257740886123092,0.15097405292369678,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablingua,esmc600m,primary,-0.14532058621630256,-0.4587317266581971,0.1484753832404989,DiD=annot_gain(r1)-annot_gain(r2)
