annotation,topology,rep1,rep2,scheme,did,ci95_lo,ci95_hi,note
BASE,B1,scratch,ablingua,primary,-0.05281683839397661,-0.4222790570906651,0.3264013237423367,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,ablingua,shadow,-0.041905791671187874,-0.3956646165730042,0.32117915035765837,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,ablang2_paired,primary,-0.21513663397894967,-0.6460262339792133,0.23332050170427476,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,ablang2_paired,shadow,0.07460191514756945,-0.2920967096163904,0.43875887129041846,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,ablang2_unpaired,primary,-0.053514927993585946,-0.4289503856941505,0.34989072658397424,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,ablang2_unpaired,shadow,-0.2648359463538653,-0.651803187970762,0.13784765431910387,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,ablang1,primary,0.1311567094590929,-0.24254066620344003,0.508466507476053,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,ablang1,shadow,0.00944410724404413,-0.3084213192080275,0.33013861620867685,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,esm1b,primary,0.23166821326738532,-0.11719942858189708,0.582816191072817,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,esm1b,shadow,0.06673490265269334,-0.2618987059887546,0.38028700910968494,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,esm2,primary,0.10677702632951153,-0.3043363076669198,0.5114556253692251,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,esm2,shadow,-0.14526378961256997,-0.4812325289219986,0.19429463869259664,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,esmc600m,primary,0.08041125168035064,-0.2913262143547152,0.4484885686709559,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,esmc600m,shadow,0.10980982839325323,-0.21262161349072872,0.4639235190403314,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,currab_paired,primary,-0.2767549444127965,-0.7332963737440696,0.1827918764985637,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,currab_paired,shadow,-0.2773335539264443,-0.6235860677412997,0.054268847571478894,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,currab_unpaired,primary,0.006740122665593698,-0.33923246595594614,0.3493030765910207,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,scratch,currab_unpaired,shadow,0.02359790566526809,-0.2634654492507748,0.32991843812259625,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,ablang2_paired,primary,-0.16231979558497303,-0.4994441497473069,0.1807211346096462,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,ablang2_paired,shadow,0.11650770681875733,-0.18593126756173584,0.4204697544192091,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,ablang2_unpaired,primary,-0.0006980895996093311,-0.2716800989928068,0.2869166385980299,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,ablang2_unpaired,shadow,-0.22293015468267743,-0.5897202262171992,0.14047817595211073,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,ablang1,primary,0.18397354785306955,-0.0767829612449363,0.4468294037712943,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,ablang1,shadow,0.051349898915232006,-0.20499959109741964,0.2915647406636933,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,esm1b,primary,0.28448505166136195,0.017572208687111183,0.5267270382539726,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,esm1b,shadow,0.10864069432388122,-0.19932912308492767,0.4013557481177058,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,esm2,primary,0.15959386472348813,-0.17514786308194386,0.495238094565309,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,esm2,shadow,-0.10335799794138209,-0.44660565882553294,0.23978445382765765,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,esmc600m,primary,0.13322809007432726,-0.04638235657303422,0.31869828200634565,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,esmc600m,shadow,0.15171562006444111,-0.1439107029526322,0.4552442650736112,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,currab_paired,primary,-0.2239381060188199,-0.5292903193721065,0.09581789558316449,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,currab_paired,shadow,-0.23542776225525647,-0.5374040238651226,0.06405852400226345,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,currab_unpaired,primary,0.05955696105957031,-0.14321637153625488,0.2607847602279097,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablingua,currab_unpaired,shadow,0.06550369733645596,-0.2486178033145857,0.38110802791736753,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,ablang2_unpaired,primary,0.1616217059853637,-0.21257529729678304,0.5421832008126339,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,ablang2_unpaired,shadow,-0.33943786150143473,-0.7348420260865012,0.036379582204936235,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,ablang1,primary,0.3462933434380426,0.008212246718230115,0.7023478560977514,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,ablang1,shadow,-0.06515780790352531,-0.37980420206799914,0.2507985986309286,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esm1b,primary,0.44680484724633496,0.13232825832602432,0.7631587040277177,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esm1b,shadow,-0.007867012494876105,-0.29847510479114675,0.29999803966946065,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esm2,primary,0.3219136603084612,-0.06257471567318762,0.7215243416067995,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esm2,shadow,-0.21986570476013942,-0.5630978307606261,0.10858076825553903,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esmc600m,primary,0.2955478856593003,-0.01494624703018749,0.6034533500671387,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esmc600m,shadow,0.03520791324568379,-0.26357299369058496,0.35211277479006914,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,currab_paired,primary,-0.06161831043384684,-0.4466881522425899,0.32217980667396734,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,currab_paired,shadow,-0.3519354690740138,-0.6798894340609326,-0.032153674702585636,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
