representation,plm_family,plm_source,content_mode,subdir,representation_context,paired_match_group,topology,annotation,annotation_mode,experiment_code,execution_status,reuse_source,raw_dim,config_path,primary_mae,shadow_mae,mean_ps,worst_ps,notes
scratch,scratch,,scratch,,LEARNED_AA,,A,FULL,full,EXP-T091,REUSE,EXP-T091,0,,3.365534535160771,3.5994807113835843,3.482507623272178,3.5994807113835843,
scratch,scratch,,scratch,,LEARNED_AA,,B1,FULL,full,EXP-T094,REUSE,EXP-T094,0,,3.1879845136477623,3.407729254828559,3.2978568842381604,3.407729254828559,
scratch,scratch,,scratch,,LEARNED_AA,,B2,FULL,full,EXP-T096,REUSE,EXP-T096,0,,3.252413337613329,3.2638315271448204,3.258122432379075,3.2638315271448204,
scratch,scratch,,scratch,,LEARNED_AA,,C,FULL,full,EXP-T102,REUSE,EXP-T102,0,,3.2751123404797213,3.4288495852623457,3.3519809628710338,3.4288495852623457,
scratch,scratch,,scratch,,LEARNED_AA,,D,FULL,full,EXP-T161,COMPLETE,,0,experiments/configs/EXP-T161.yaml,3.3238596504117237,3.5560418823618947,3.439950766386809,3.5560418823618947,
scratch,scratch,,scratch,,LEARNED_AA,,A,BASE,base,EXP-T162,COMPLETE,,0,experiments/configs/EXP-T162.yaml,3.4027668988263167,3.3884971053512007,3.3956320020887585,3.4027668988263167,
scratch,scratch,,scratch,,LEARNED_AA,,B1,BASE,base,EXP-T163,COMPLETE,,0,experiments/configs/EXP-T163.yaml,3.4038092295328775,3.3333897767243563,3.3685995031286167,3.4038092295328775,
scratch,scratch,,scratch,,LEARNED_AA,,B2,BASE,base,EXP-T164,COMPLETE,,0,experiments/configs/EXP-T164.yaml,3.3640869752860363,3.4218085960105613,3.392947785648299,3.4218085960105613,
scratch,scratch,,scratch,,LEARNED_AA,,C,BASE,base,EXP-T165,COMPLETE,,0,experiments/configs/EXP-T165.yaml,3.271877830411181,3.333183006004051,3.302530418207616,3.333183006004051,
scratch,scratch,,scratch,,LEARNED_AA,,D,BASE,base,EXP-T166,COMPLETE,,0,experiments/configs/EXP-T166.yaml,3.3208944061656056,3.3845721115300686,3.352733258847837,3.3845721115300686,
scratch,scratch,,scratch,,LEARNED_AA,,A,IMGT,imgt,EXP-T167,COMPLETE,,0,experiments/configs/EXP-T167.yaml,3.2179055861484858,3.3576476485640914,3.287776617356289,3.3576476485640914,
scratch,scratch,,scratch,,LEARNED_AA,,B1,IMGT,imgt,EXP-T168,COMPLETE,,0,experiments/configs/EXP-T168.yaml,3.470030325430411,3.5827263726128473,3.526378349021629,3.5827263726128473,
scratch,scratch,,scratch,,LEARNED_AA,,B2,IMGT,imgt,EXP-T169,COMPLETE,,0,experiments/configs/EXP-T169.yaml,3.3002259054301697,3.4073978942117575,3.353811899820964,3.4073978942117575,
scratch,scratch,,scratch,,LEARNED_AA,,C,IMGT,imgt,EXP-T170,COMPLETE,,0,experiments/configs/EXP-T170.yaml,3.348137843756028,3.549556143489885,3.4488469936229564,3.549556143489885,
scratch,scratch,,scratch,,LEARNED_AA,,D,IMGT,imgt,EXP-T171,COMPLETE,,0,experiments/configs/EXP-T171.yaml,3.438091278076172,3.57882539725598,3.5084583376660756,3.57882539725598,
scratch,scratch,,scratch,,LEARNED_AA,,A,REGION,region,EXP-T172,COMPLETE,,0,experiments/configs/EXP-T172.yaml,3.1861927833086177,3.4778752739046825,3.33203402860665,3.4778752739046825,
scratch,scratch,,scratch,,LEARNED_AA,,B1,REGION,region,EXP-T173,COMPLETE,,0,experiments/configs/EXP-T173.yaml,3.515815664220739,3.435825253710335,3.4758204589655373,3.515815664220739,
scratch,scratch,,scratch,,LEARNED_AA,,B2,REGION,region,EXP-T174,COMPLETE,,0,experiments/configs/EXP-T174.yaml,3.302254241189839,3.2864944081247587,3.2943743246572987,3.302254241189839,
scratch,scratch,,scratch,,LEARNED_AA,,C,REGION,region,EXP-T175,COMPLETE,,0,experiments/configs/EXP-T175.yaml,3.3812055705506125,3.4528991322458524,3.4170523513982323,3.4528991322458524,
scratch,scratch,,scratch,,LEARNED_AA,,D,REGION,region,EXP-T176,COMPLETE,,0,experiments/configs/EXP-T176.yaml,3.2419423232843845,3.3671868877646363,3.3045646055245106,3.3671868877646363,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,A,FULL,full,EXP-T080,REUSE,EXP-T080,1280,,3.2602498089825667,3.3066721786687405,3.2834609938256536,3.3066721786687405,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,B1,FULL,full,EXP-T081,REUSE,EXP-T081,1280,,3.4313683686433016,3.479818603138865,3.455593485891084,3.479818603138865,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,B2,FULL,full,EXP-T082,REUSE,EXP-T082,1280,,3.24324784455476,3.36413852079415,3.303693182674455,3.36413852079415,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,C,FULL,full,EXP-T087,REUSE,EXP-T087,1280,,3.2353713895067755,3.2764338740596064,3.255902631783191,3.2764338740596064,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,D,FULL,full,EXP-T151,REUSE,EXP-T151,1280,,3.372717727849513,3.3339194545039423,3.353318591176728,3.372717727849513,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,A,BASE,base,EXP-T177,COMPLETE,,1280,experiments/configs/EXP-T177.yaml,3.2196709903669944,3.351535184883777,3.2856030876253857,3.351535184883777,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,B1,BASE,base,EXP-T178,COMPLETE,,1280,experiments/configs/EXP-T178.yaml,3.273530159467532,3.33833364792812,3.305931903697826,3.33833364792812,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,B2,BASE,base,EXP-T179,COMPLETE,,1280,experiments/configs/EXP-T179.yaml,3.2610659658172985,3.43441621756848,3.347741091692889,3.43441621756848,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,C,BASE,base,EXP-T180,COMPLETE,,1280,experiments/configs/EXP-T180.yaml,3.233403759238161,3.3772468802369673,3.3053253197375643,3.3772468802369673,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,D,BASE,base,EXP-T181,COMPLETE,,1280,experiments/configs/EXP-T181.yaml,3.349750401061258,3.3534093079743563,3.3515798545178073,3.3534093079743563,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,A,IMGT,imgt,EXP-T182,COMPLETE,,1280,experiments/configs/EXP-T182.yaml,3.2398286984290605,3.4817896713445218,3.360809184886791,3.4817896713445218,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,B1,IMGT,imgt,EXP-T183,COMPLETE,,1280,experiments/configs/EXP-T183.yaml,3.2847261311095437,3.4713932319923684,3.378059681550956,3.4713932319923684,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,B2,IMGT,imgt,EXP-T184,COMPLETE,,1280,experiments/configs/EXP-T184.yaml,3.339674820134669,3.4382840851206837,3.3889794526276766,3.4382840851206837,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,C,IMGT,imgt,EXP-T185,COMPLETE,,1280,experiments/configs/EXP-T185.yaml,3.4035509133044584,3.3335626861195506,3.3685567997120045,3.4035509133044584,
