kind,family,annotation,topology,scheme,contrast,ci95_lo,ci95_hi,note
pairing_x_topology,ablang2,BASE,B1,primary,0.1616217059853637,-0.21257529729678304,0.5421832008126339,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,BASE,B1,shadow,-0.33943786150143473,-0.7348420260865012,0.036379582204936235,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,BASE,B2,primary,0.17116407700526862,-0.17833391472145355,0.5290342660597812,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,BASE,B2,shadow,-0.18182695647816605,-0.5553958274700024,0.19710186734611576,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,BASE,C,primary,-0.2801362261360074,-0.6517468988159555,0.09025978629971725,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,BASE,C,shadow,-0.19987405376669806,-0.5548069135642346,0.13805569307303703,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,BASE,D,primary,-0.3964053024480371,-0.7852975062382073,-0.009893879478360417,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,BASE,D,shadow,-0.32944563877435384,-0.7448212564727408,0.03805450039145341,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,IMGT,B1,primary,-0.18826366942605846,-0.4971933600343303,0.10935223073135182,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,IMGT,B1,shadow,-0.0632582770453559,-0.41211684486012395,0.29826072586907254,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,IMGT,B2,primary,0.04661100882071049,-0.26839459619404327,0.3329595471605843,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,IMGT,B2,shadow,-0.2966851834897642,-0.6532046488773675,0.03263962180526148,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,IMGT,C,primary,-0.04964070261260605,-0.4873180742617007,0.3437390504059969,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,IMGT,C,shadow,0.29137119246117865,-0.07761456701490614,0.6439585515010504,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,IMGT,D,primary,0.0055189250427999615,-0.3856620806234855,0.36697269015842016,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,IMGT,D,shadow,-0.14448128217532316,-0.44681843004108956,0.17251743151817778,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,REGION,B1,primary,-0.1321294101667992,-0.4363536004666926,0.156756956194654,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,REGION,B1,shadow,0.19196328999083728,-0.26948131337577913,0.6711872448155908,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,REGION,B2,primary,0.1611059447865428,-0.1310792764027913,0.46562436657187406,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,REGION,B2,shadow,-0.20704415403766374,-0.5155130362805022,0.10730288646839287,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,REGION,C,primary,0.1473378075493708,-0.15418649073000307,0.433538979071158,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,REGION,C,shadow,0.0432201903543355,-0.38253412835391953,0.5098092238108317,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,REGION,D,primary,0.010857640961070208,-0.27286976355093495,0.29015112394168036,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,REGION,D,shadow,-0.09505335489908845,-0.45569743580288335,0.2703005396289589,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,FULL,B1,primary,-0.09673464739764183,-0.4000985363383352,0.19789225319285442,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,FULL,B1,shadow,-0.08167172655647184,-0.3512124585516659,0.197158809944435,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,FULL,B2,primary,0.317397270673587,-0.0019719818491994974,0.6459952495716232,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,FULL,B2,shadow,-0.06541221524462287,-0.3845572942568932,0.2507283181320002,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,FULL,C,primary,-0.17094237716109664,-0.470048514118901,0.12779659106407626,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,FULL,C,shadow,0.1455935960934486,-0.15470520537576557,0.4467463899541783,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,FULL,D,primary,0.04437750357168692,-0.2487881948918472,0.33532153471016585,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,ablang2,FULL,D,shadow,-0.07149792894904997,-0.35558954815805693,0.22513360859435264,topology_gain_paired - topology_gain_unpaired
pairing_x_annotation,ablang2,IMGT,A,primary,0.022217880060643326,-0.30987692585697874,0.38664099316538086,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,IMGT,A,shadow,0.017424501018759645,-0.32446186159863893,0.3378438078326943,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,IMGT,B1,primary,-0.3276674953507788,-0.6329252837616721,-0.0348493576049808,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,IMGT,B1,shadow,0.2936040854748385,-0.04712188391037929,0.6523738237074862,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,IMGT,B2,primary,-0.1023351881239148,-0.4227668520845011,0.23613998330669625,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,IMGT,B2,shadow,-0.0974337259928385,-0.4992004747743959,0.2982513510150672,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,IMGT,C,primary,0.2527134035840447,-0.09055080119474429,0.5911788422384375,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,IMGT,C,shadow,0.5086697472466363,0.13524401099593555,0.8754206757486601,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,IMGT,D,primary,0.4241421075514804,0.017141459311967974,0.8301791302951764,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,IMGT,D,shadow,0.20238885761779032,-0.12167983408327457,0.5316458201702727,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,REGION,A,primary,-0.13622684243284636,-0.4461887577433646,0.17881763128586745,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,REGION,A,shadow,-0.1934926539291571,-0.6764553758833145,0.28454779518975126,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,REGION,B1,primary,-0.42997795858500915,-0.7532160494062635,-0.10873218701209562,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,REGION,B1,shadow,0.3379084975631149,-0.0587534245149588,0.7372226544368413,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,REGION,B2,primary,-0.14628497465157214,-0.4865645820711866,0.1821131029246764,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,REGION,B2,shadow,-0.21870985148865482,-0.6322925644156371,0.2043227890391402,annotation_gain_paired - annotation_gain_unpaired
