contrast,target,model_a,model_b,delta_TEST_mean,delta_TEST_P,delta_TEST_S,delta_Overall,sign
geom_vs_arch6_ablingua_concat,TmApp,EXP-T105,EXP-T084,0.03283942187273947,0.03013928731282567,0.035539556432653274,-0.012423960367839104,delta=MAE_a-MAE_b; negative => a better
geom_vs_arch6_ablingua_mean,TmApp,EXP-T106,EXP-T085,-0.1576947930418413,-0.2480977611777222,-0.06729182490596042,0.1447855019275064,delta=MAE_a-MAE_b; negative => a better
geom_vs_arch6_scratch_concat,TmApp,EXP-T107,EXP-T099,-0.0048567218545043644,-0.01369928430627887,0.003985840597270585,-0.031570246190200546,delta=MAE_a-MAE_b; negative => a better
geom_vs_arch6_scratch_mean,TmApp,EXP-T108,EXP-T100,-0.1383181795661832,-0.07954814110273212,-0.19708821802963428,0.0026943300977171347,delta=MAE_a-MAE_b; negative => a better
geom_vs_arch6_ablang2_concat,TmApp,EXP-T118,EXP-T116,-0.03645984037422778,-0.047634666348681076,-0.025285014399775374,0.05513326856825085,delta=MAE_a-MAE_b; negative => a better
geom_vs_arch6_ablang2_mean,TmApp,EXP-T119,EXP-T117,0.03457266018714433,0.12643880019953224,-0.057293479825243576,0.03843668713981696,delta=MAE_a-MAE_b; negative => a better
hic_esm2_geom_vs_arch6_concat,HIC,EXP-H064,EXP-H062,0.005087956911251967,0.007877251942952523,0.0022986618795513003,0.0023498070328323295,delta=MAE_a-MAE_b; negative => a better
hic_esm2_geom_vs_arch6_mean,HIC,EXP-H065,EXP-H063,-0.00430511641796727,0.011528836662386688,-0.02013906949832117,-0.008096899809660829,delta=MAE_a-MAE_b; negative => a better
hic_scratch_geom_vs_arch6_concat,HIC,EXP-H078,EXP-H076,-0.04609536681940529,-0.032318610815354254,-0.05987212282345622,-0.005974013387420929,delta=MAE_a-MAE_b; negative => a better
hic_scratch_geom_vs_arch6_mean,HIC,EXP-H079,EXP-H077,0.01563632734322251,0.03534640474672657,-0.004073750060281545,0.02837723056180974,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-H0_h_only,HIC,EXP-H054,EXP-H068,-0.028532712041595798,-0.044637901211962205,-0.01242752287122939,-0.03887686802428453,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-1_concat,HIC,EXP-H055,EXP-H069,-0.00911968181751388,-0.03482996043452513,0.01659059679949737,-0.0009350964110574345,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-1_mean,HIC,EXP-H056,EXP-H070,-0.013835531399573942,-0.04504587818663808,0.01737481538749025,-0.021409013018196033,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-2_None,HIC,EXP-H057,EXP-H071,0.016341385876690873,0.01627318054952731,0.01640959120385449,0.008349837267840332,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-3_concat,HIC,EXP-H058,EXP-H072,0.016075263317720467,-0.017265820161795897,0.049416346797236665,-0.011099579516752223,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-3_mean,HIC,EXP-H059,EXP-H073,0.0007795387315161495,-0.022054845692199065,0.023613923155231198,0.0019801056002393125,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-4_concat,HIC,EXP-H060,EXP-H074,0.015305706871880487,0.03398747455926587,-0.0033760608155049,0.012872431342984492,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-4_mean,HIC,EXP-H061,EXP-H075,-0.0027507324218749574,0.027251692595305355,-0.032753157439055325,-0.017377659644609633,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-6_concat,HIC,EXP-H062,EXP-H076,-0.01193640351001135,0.022730784427972606,-0.046603591447995085,-0.014697746465235473,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-6_mean,HIC,EXP-H063,EXP-H077,0.004117971632215611,-0.002107037767951958,0.010342981032383292,0.0014934562400535367,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-6G_concat,HIC,EXP-H064,EXP-H078,0.03924692022064591,0.06292664718627938,0.015567193255012435,-0.006373926044982214,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-6G_mean,HIC,EXP-H065,EXP-H079,-0.01582347212897417,-0.025924605852291838,-0.005722338405656335,-0.03498067413141703,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-8_concat,HIC,EXP-H066,EXP-H080,0.005604827904406862,0.0022804994936341805,0.008929156315179432,-0.018935958202974223,delta=MAE_a-MAE_b; negative => a better
hic_esm2_vs_scratch_ARCH-8_mean,HIC,EXP-H067,EXP-H081,-0.022525931793966447,-0.021937761989640703,-0.02311410159829219,-0.000805416766508027,delta=MAE_a-MAE_b; negative => a better
