model_a,model_b,target,scheme,split,delta_mae,ci95_lo,ci95_hi,sign
EXP-T124,EXP-T113,TmApp,primary,test,0.062458203162676154,-0.12730512854493684,0.2601025510717322,delta=MAE_a-MAE_b; negative => a better
EXP-T124,EXP-T113,TmApp,shadow,test,0.11256625328534915,-0.13821967913780683,0.35868585256882657,delta=MAE_a-MAE_b; negative => a better
EXP-T125,EXP-T113,TmApp,primary,test,0.16138097974989155,-0.10262968157544544,0.4239497955934498,delta=MAE_a-MAE_b; negative => a better
EXP-T125,EXP-T113,TmApp,shadow,test,-0.04351808995376399,-0.31253911300941745,0.21025405401065023,delta=MAE_a-MAE_b; negative => a better
EXP-T126,EXP-T113,TmApp,primary,test,0.19711072945300442,0.019117795685191213,0.3907118420542021,delta=MAE_a-MAE_b; negative => a better
EXP-T126,EXP-T113,TmApp,shadow,test,0.00663964542341821,-0.2296695344242049,0.23995155640590324,delta=MAE_a-MAE_b; negative => a better
EXP-T126,EXP-T125,TmApp,primary,test,0.0357297497031129,-0.22628311698819384,0.29963745482173965,delta=MAE_a-MAE_b; negative => a better
EXP-T126,EXP-T125,TmApp,shadow,test,0.0501577353771822,-0.2213504667635318,0.3097614388407011,delta=MAE_a-MAE_b; negative => a better
EXP-T126,EXP-T124,TmApp,primary,test,0.13465252629032828,-0.09949855745574579,0.382145133430575,delta=MAE_a-MAE_b; negative => a better
EXP-T126,EXP-T124,TmApp,shadow,test,-0.10592660786193094,-0.3419812508571295,0.13390353873923952,delta=MAE_a-MAE_b; negative => a better
EXP-T127,EXP-T121,TmApp,primary,test,0.06520610385470921,-0.12636883229385187,0.2594418943664174,delta=MAE_a-MAE_b; negative => a better
EXP-T127,EXP-T121,TmApp,shadow,test,0.09648553824719092,-0.07310891445772143,0.2728888270295694,delta=MAE_a-MAE_b; negative => a better
EXP-T128,EXP-T121,TmApp,primary,test,0.12117611920392077,-0.10482361463852871,0.3458210939242517,delta=MAE_a-MAE_b; negative => a better
EXP-T128,EXP-T121,TmApp,shadow,test,-0.042240001537181715,-0.24400428666008844,0.15213118717994217,delta=MAE_a-MAE_b; negative => a better
EXP-T129,EXP-T121,TmApp,primary,test,0.13654002436885126,-0.11933372756581248,0.3981902923113031,delta=MAE_a-MAE_b; negative => a better
EXP-T129,EXP-T121,TmApp,shadow,test,0.027381661497516398,-0.16160575372201427,0.22054858560915344,delta=MAE_a-MAE_b; negative => a better
EXP-T129,EXP-T128,TmApp,primary,test,0.01536390516493051,-0.25811872776643735,0.3106440555902172,delta=MAE_a-MAE_b; negative => a better
EXP-T129,EXP-T128,TmApp,shadow,test,0.0696216630346981,-0.11902930530501,0.2447975994628153,delta=MAE_a-MAE_b; negative => a better
EXP-T129,EXP-T127,TmApp,primary,test,0.07133392051414207,-0.1639828140352979,0.3122637872342709,delta=MAE_a-MAE_b; negative => a better
EXP-T129,EXP-T127,TmApp,shadow,test,-0.06910387674967453,-0.2701695559937278,0.1265365176730684,delta=MAE_a-MAE_b; negative => a better
EXP-T124,EXP-T127,TmApp,primary,test,-0.030913929880401148,-0.2727119398705752,0.21553391703852914,delta=MAE_a-MAE_b; negative => a better
EXP-T124,EXP-T127,TmApp,shadow,test,0.04706646483621475,-0.20902800383391204,0.30744489151754484,delta=MAE_a-MAE_b; negative => a better
EXP-T125,EXP-T128,TmApp,primary,test,0.012038831357602676,-0.2968641722643817,0.3275107489691839,delta=MAE_a-MAE_b; negative => a better
EXP-T125,EXP-T128,TmApp,shadow,test,0.029707661381474248,-0.1808056584110967,0.2488926569620768,delta=MAE_a-MAE_b; negative => a better
EXP-T126,EXP-T129,TmApp,primary,test,0.032404675895785065,-0.2437435156033364,0.3087871345472923,delta=MAE_a-MAE_b; negative => a better
EXP-T126,EXP-T129,TmApp,shadow,test,0.010243733723958334,-0.2500056631771135,0.2600477448216191,delta=MAE_a-MAE_b; negative => a better
EXP-H082,EXP-H054,HIC,primary,test,-0.019948225751335227,-0.08366438890857454,0.04596657448756838,delta=MAE_a-MAE_b; negative => a better
EXP-H082,EXP-H054,HIC,shadow,test,-0.021733743644055004,-0.0728815281173329,0.031163394511187482,delta=MAE_a-MAE_b; negative => a better
EXP-H083,EXP-H054,HIC,primary,test,-0.0008035598566503916,-0.05947269833058499,0.057504253412175806,delta=MAE_a-MAE_b; negative => a better
EXP-H083,EXP-H054,HIC,shadow,test,0.005760987222930426,-0.05280434285623072,0.06239413700221484,delta=MAE_a-MAE_b; negative => a better
EXP-H084,EXP-H054,HIC,primary,test,0.02853295206140589,-0.011726264101193309,0.07159701113642003,delta=MAE_a-MAE_b; negative => a better
EXP-H084,EXP-H054,HIC,shadow,test,-0.006904642081555194,-0.04151158984031217,0.028887354356271162,delta=MAE_a-MAE_b; negative => a better
EXP-H085,EXP-H054,HIC,primary,test,-0.029277072435543932,-0.08874758066718982,0.02759008867122485,delta=MAE_a-MAE_b; negative => a better
EXP-H085,EXP-H054,HIC,shadow,test,-0.024229759687259,-0.07349415156635264,0.02760395981235259,delta=MAE_a-MAE_b; negative => a better
