experiment_code,experiment_id,source_model_id,target,group,transformer_type,plm_source,score_source,source_oof_path,source_oof_sha256,source_test_path,source_test_sha256,dest_oof_primary_sha256,dest_oof_shadow_sha256,dest_test_sha256,primary_oof_available,shadow_oof_available,test_available,oof_value_max_abs_delta,test_value_max_abs_delta,architecture_config_source,selection_policy_at_creation,selection_policy_evidence,license_status,license_evidence,representation_status,feature_path,feature_space,input_space,input_asset_ref,fusion_feature_set_id,cv_primary_mae,cv_shadow_mae,public_mae,private_mae,test_overall_mae
EXP-T026,TRF_TM_SCRATCH_MIN_CONCAT,TMS1,TmApp,phase1_seq,SCRATCH,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMS1_5d4b5273d3408ada.npz,cf3c0e5009dde045d85afc48dfac5ee24384f25422c60b29b3cadeca1126651e,top_models_feature_bundle/advanced_outputs/predictions/TmApp__scratch_transformer__TMS1__test.csv,53c5bf2330b108ae48ee2a5dd2a6c8c0e7f500024f6d27a636775a870de2babc,bb5cb1fe74494e2dfbea9b4f37d81bfe8c5530c81e871fa4e0d46e1401de7120,b74d899127b16b3a528cdd51471aa77bccbdc652cfa2a64df32fe3efe0f4145d,41cc8afdc203cb5a931053e1b924f264fac418820e51c31b053f643119ce15df,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMS1 public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,OK,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED),HISTORICAL_UNAVAILABLE,,,SCRATCH_RESIDUE_SEQUENCE,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,,3.355010201410992,3.29136091789591,3.689453125,3.4787879284517267,3.584120526725864
EXP-T027,TRF_TM_SCRATCH_FULL_CONCAT,TMS2,TmApp,phase1_seq,SCRATCH,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMS2_2483859fd78b2ffb.npz,b1d7b9cdcec5b1c1bfaa61df6b1cbcdc9ac7635204fbbb20b29b26a29af83cb8,top_models_feature_bundle/advanced_outputs/predictions/TmApp__scratch_transformer__TMS2__test.csv,af9ab5668ce12608c3aa5fd4545010390c778c064d335906737909ff646aa5dc,431d6dde63f915190c959f6fe5e3155e4638e91955954d23fc119d6846f0b1c8,e36017d92032d786e8ece4bda61a168f4ccb79b63d0d640b87bca1898b4f1ea8,af1957da92cbb38995e08d575bb739a408dca5a3baa1c2fbea7a8651ba263ddb,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMS2 public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,OK,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED),HISTORICAL_UNAVAILABLE,,,SCRATCH_RESIDUE_SEQUENCE,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,,3.322197258717729,3.249101419017147,3.6526866959936815,3.3991371437355324,3.5259119198646074
EXP-T028,TRF_TM_SCRATCH_FULL_MEAN,TMS3,TmApp,phase1_seq,SCRATCH,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMS3_16f10ee6226df216.npz,18f646d79f585bb1e477ad841b6fa32b3840452f9322c9fe2fe163a8a78e0b26,top_models_feature_bundle/advanced_outputs/predictions/TmApp__scratch_transformer__TMS3__test.csv,5dfb35118032721868f20f83393b61a7f1eb90cc4d9faae49917b669722405e3,7a576d1ac3a11c5a465b43efaa9ff946126fd179fca856efcaa0080a18392816,2f2efd0be178a9c7861465296d450281315987f94d862b8f5dcca8cbe1733f72,67be61ae36d2230e03838cda0764a29336c7fbf4d8a6a6809c6b6ca1dd5c0c3b,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMS3 public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,OK,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED),HISTORICAL_UNAVAILABLE,,,SCRATCH_RESIDUE_SEQUENCE,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,,3.2482804192437067,3.2684988877410257,3.625833158139829,3.3431229767975985,3.484478067468714
EXP-T029,TRF_TM_ABLINGUA_MIN_CONCAT,TMF1,TmApp,phase1_seq,FROZEN_PLM,ABLINGUA,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMF1_ed001b84a8de3a51.npz,c95cb81ba2de84c604cafb63a4bf322d6c15a12774abb1aefc5bdc5ff8b8a7d4,top_models_feature_bundle/advanced_outputs/predictions/TmApp__frozen_transformer__TMF1__test.csv,1d1210fb1854cc67261789853d398139ab6f4e0baf04d1df8dfbd2714d6ae006,e1890c8b6bc8bc755bd36f61bc68ff2f4e7ebcdffc5c907a89999de814a0cffe,396cc59846bd74c71e2a21f3d9ce6c28af2eda6ff817ddfe3b43315037296191,e7e30b0a8cffd752f7d45f2a8202241327625ccc4ef928ee2bde344c791b27a7,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMF1 public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/ablingua600m metadata license_status=REVIEW_MODEL_OUTPUT,HISTORICAL_UNAVAILABLE,,,FROZEN_RESIDUE_EMBEDDING,assets/transformer/residue_asset_manifest.yaml#ablingua600m,,3.4366141346747,3.415659476700143,3.5342223555953414,3.29741131817853,3.415816836886936
EXP-T030,TRF_TM_ABLINGUA_FULL_CONCAT,TMF2,TmApp,phase1_seq,FROZEN_PLM,ABLINGUA,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMF2_a1022f580b4768c0.npz,a1bd78bc1300eb8f13b0b74fcc9dc4c89ce9189902a57c558034517698cb7e32,top_models_feature_bundle/advanced_outputs/predictions/TmApp__frozen_transformer__TMF2__test.csv,7d2345b9a3d0338e1c78e99e023f9c8a920890374c218582cc43fc668bc5c54e,ea45fac80d5a6ca7d39b89acf4d6345fea9d7d01b161bdf264049663a4883e4a,bad319ea587d44865dcf1b297e8ef75a5c26060a5737254ed4ce39eba1dc9a16,55bd34bde461359844113feb80c066e22261269f64400f16aec82d880a158d04,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMF2 public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/ablingua600m metadata license_status=REVIEW_MODEL_OUTPUT,HISTORICAL_UNAVAILABLE,,,FROZEN_RESIDUE_EMBEDDING,assets/transformer/residue_asset_manifest.yaml#ablingua600m,,3.3177692899978704,3.214610237152979,3.5955287792064525,3.255966657473717,3.425747718340085
EXP-T031,TRF_TM_ABLINGUA_FULL_MEAN,TMF3,TmApp,phase1_seq,FROZEN_PLM,ABLINGUA,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMF3_15f621484c244785.npz,c071c7a2b33e602a8380051475a1ee19de3682064619b1f666addda5aafacdb6,top_models_feature_bundle/advanced_outputs/predictions/TmApp__frozen_transformer__TMF3__test.csv,5efd95a79a05dfdc74a1644625a3146cce6053742dab89893be5a93a036c053f,137075bbfadcfd046dcb3cca86761b248cbb934f72f812d4d948eee0c3064caa,f74b428f5ab1c028ebd03519859440a22da39e0e5a5ad7887a3c32b4bd16155f,b5854bf1436a6e3b67f2066053379214c96117e88283661e39163f9a6c82e9bf,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMF3 public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/ablingua600m metadata license_status=REVIEW_MODEL_OUTPUT,HISTORICAL_UNAVAILABLE,,,FROZEN_RESIDUE_EMBEDDING,assets/transformer/residue_asset_manifest.yaml#ablingua600m,,3.2594092176774887,3.319853967109335,3.882902922453704,3.357093905225212,3.619998413839458
EXP-H024,TRF_HIC_SCRATCH_MIN_HONLY,HICS1,HIC,phase1_seq,SCRATCH,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_HICS1_11277014100e511d.npz,e9d3ab7a33ecf8f4bbf7dc5bde025adb497f20f71a666a5a98750f926d5554ce,top_models_feature_bundle/advanced_outputs/predictions/HIC__scratch_transformer__HICS1__test.csv,cbf6e3db0292c2084ef370c0dd7f558022a7071e263ad5ddb8178b7e3b00477f,854112760a5eeeb888bfff6da86ac073b98c0125561815fb22f2354352c4f8c0,c2c12c6ac5e92902935af43c9588659f81ce9355f5bba7478b06e714d969bcb4,b4cd0787d84c59ae92941f3e145084d0ab624c0a59ed0e313066aa3daa30a031,YES,YES,YES,1.7763568394002505e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=HICS1 public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,OK,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED),HISTORICAL_UNAVAILABLE,,,SCRATCH_RESIDUE_SEQUENCE,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,,0.5008957510740177,0.5168522469163431,0.5067153060347946,0.4945421767058194,0.500628741370307
EXP-H025,TRF_HIC_SCRATCH_FULL_HONLY,HICS2,HIC,phase1_seq,SCRATCH,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_HICS2_11fdc7aab0df64a8.npz,3e1ff1b3e1f4181834997f227cd9021433fb2967377c86c34e04a3a100bd61d5,top_models_feature_bundle/advanced_outputs/predictions/HIC__scratch_transformer__HICS2__test.csv,f5854b3eb676886e83369c32b124c9a058ce5c5e1db85ff447e13a27ceeb4a10,7445166f12ecd9a0177d59642a665dddfbed96bf27238c22f37342bcdf15692c,b7e32ddb3267236798ffd1d0dca4b8b6a60971d47a9f44c7a75bac610f0f686b,64c0fc687eb8b7246eed1470e0887f72486c1477e65b0dd39dffc30d800fac21,YES,YES,YES,1.7763568394002505e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=HICS2 public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,OK,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED),HISTORICAL_UNAVAILABLE,,,SCRATCH_RESIDUE_SEQUENCE,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,,0.4994417613779076,0.5109553957652653,0.5106221749576522,0.5184216823813356,0.5145219286694939
EXP-H026,TRF_HIC_ESM2_MIN_HONLY,HICF1,HIC,phase1_seq,FROZEN_PLM,ESM2,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_HICF1_4e8dc7327c4d98bc.npz,2eadaa1ce9c38869eba1375b3a04ab3a7908adeedd55bcd2289c083403e0a226,top_models_feature_bundle/advanced_outputs/predictions/HIC__frozen_transformer__HICF1__test.csv,03317bdc8425ca561a4656bc67496e72ba33dfbdfaa4cb9c64a04411fb71b427,104f47e614ef80e65965b5dfbb561a485599483f7bb4a3d6865018ae97812fcb,cdb2032b6989175b9ebb95d87ab79e4cf1dede2054089a2fef93e73e7d4b0e92,5216696f658e9a4edacca64abe5bcd3ea3c28212d5c74a6bbe0ae558ded426b6,YES,YES,YES,1.7763568394002505e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=HICF1 public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/esm2 metadata license_status=REVIEW_MODEL_OUTPUT,HISTORICAL_UNAVAILABLE,,,FROZEN_RESIDUE_EMBEDDING,assets/transformer/residue_asset_manifest.yaml#esm2,,0.5287635114536364,0.5144555105044519,0.4548230620019229,0.524322588791082,0.4895728253965024
EXP-H027,TRF_HIC_ESM2_FULL_HONLY,HICF2,HIC,phase1_seq,FROZEN_PLM,ESM2,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_HICF2_bb17a493d1d9f8f9.npz,c9c2537321684e19acbc485e06c23628c2672214db46d2da1d5df5f9b7da977c,top_models_feature_bundle/advanced_outputs/predictions/HIC__frozen_transformer__HICF2__test.csv,e2211dfea5cd486086636ba1eef2d01340d8fc44b3492e9fa3c16ceb88c37c21,0e1ef93b45807e6c51d9f8dd02583876662c3c934c72f0daef774d2c625a6ca6,3f39cb5ea7df810deb0b100d9be0e7878ee44898978691f50fd94bde58df094d,7dfe54fe300e513de1c8905e2684fffbd660d7f13b1c2b0cc1312d15752b9018,YES,YES,YES,1.7763568394002505e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=HICF2 public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/esm2 metadata license_status=REVIEW_MODEL_OUTPUT,HISTORICAL_UNAVAILABLE,,,FROZEN_RESIDUE_EMBEDDING,assets/transformer/residue_asset_manifest.yaml#esm2,,0.5096992157202199,0.5155678999316055,0.4670790704797816,0.4729598936858,0.4700194820827907
