representation_display,annotation_id,topology_id,delta_mean
Scratch,BASE,JOINT,-0.027032498960141815
Scratch,BASE,REG-SEP,-0.0026842164404596858
Scratch,BASE,XREG,-0.09310158388114242
Scratch,BASE,FUSE,-0.042898743240921355
Scratch,IMGT,JOINT,0.23860173166534038
Scratch,IMGT,REG-SEP,0.06603528246467505
Scratch,IMGT,XREG,0.16107037626666765
Scratch,IMGT,FUSE,0.22068172030978728
Scratch,REGION,JOINT,0.14378643035888716
Scratch,REGION,REG-SEP,-0.037659703949351364
Scratch,REGION,XREG,0.08501832279158217
Scratch,REGION,FUSE,-0.02746942308213951
Scratch,FULL,JOINT,-0.18465073903401752
Scratch,FULL,REG-SEP,-0.22438519089310294
Scratch,FULL,XREG,-0.13052666040114413
Scratch,FULL,FUSE,-0.0425568568853687
AbLingua,BASE,JOINT,0.020328816072440414
AbLingua,BASE,REG-SEP,0.06213800406750325
AbLingua,BASE,XREG,0.019722232112178606
AbLingua,BASE,FUSE,0.06597676689242249
AbLingua,IMGT,JOINT,0.017250496664165116
AbLingua,IMGT,REG-SEP,0.028170267740885713
AbLingua,IMGT,XREG,0.007747614825213578
AbLingua,IMGT,FUSE,-0.115566653969847
AbLingua,REGION,JOINT,0.0023546218872070312
AbLingua,REGION,REG-SEP,0.017961219505027604
AbLingua,REGION,XREG,0.028372140578281968
AbLingua,REGION,FUSE,0.03706456408088599
AbLingua,FULL,JOINT,0.17213249206543058
AbLingua,FULL,REG-SEP,0.020232188848801513
AbLingua,FULL,XREG,-0.027558362042462647
AbLingua,FULL,FUSE,0.06985759735107422
AbLang1,BASE,JOINT,-0.0973329073117104
AbLang1,BASE,REG-SEP,0.053188053178198746
AbLang1,BASE,XREG,0.10632112291124152
AbLang1,BASE,FUSE,0.11436828566186241
AbLang1,IMGT,JOINT,0.024860664650245834
AbLang1,IMGT,REG-SEP,-0.027929423767843353
AbLang1,IMGT,XREG,0.11825209488103416
AbLang1,IMGT,FUSE,0.038564646685565585
AbLang1,REGION,JOINT,0.13509185225875342
AbLang1,REGION,REG-SEP,-0.008459550363045576
AbLang1,REGION,XREG,-0.03512034004117215
AbLang1,REGION,FUSE,0.0360488538388859
AbLang1,FULL,JOINT,0.004900214112835144
AbLang1,FULL,REG-SEP,0.05189250427999603
AbLang1,FULL,XREG,-0.012121718606831422
AbLang1,FULL,FUSE,0.17138045511127986
AbLang2 (separate-chain),BASE,JOINT,0.04323486045554814
AbLang2 (separate-chain),BASE,REG-SEP,0.07869906484344824
AbLang2 (separate-chain),BASE,XREG,-0.07523450733702886
AbLang2 (separate-chain),BASE,FUSE,-0.1892913418051636
AbLang2 (separate-chain),IMGT,JOINT,0.011592405813711792
AbLang2 (separate-chain),IMGT,REG-SEP,0.0028870782734435885
AbLang2 (separate-chain),IMGT,XREG,0.0903356104721258
AbLang2 (separate-chain),IMGT,FUSE,0.048257757116247024
AbLang2 (separate-chain),REGION,JOINT,0.06910880995385416
AbLang2 (separate-chain),REGION,REG-SEP,0.010548085342219071
AbLang2 (separate-chain),REGION,XREG,-0.13894245948320627
AbLang2 (separate-chain),REGION,FUSE,-0.03013063360143642
AbLang2 (separate-chain),FULL,JOINT,-0.1025420648080333
AbLang2 (separate-chain),FULL,REG-SEP,0.03469456566704654
AbLang2 (separate-chain),FULL,XREG,-0.10395192511287732
AbLang2 (separate-chain),FULL,FUSE,0.05582078297933002
AbLang2 (paired H/L),BASE,JOINT,0.1321429382135837
AbLang2 (paired H/L),BASE,REG-SEP,0.08403050457989725
AbLang2 (paired H/L),BASE,XREG,0.1647706326143239
AbLang2 (paired H/L),BASE,FUSE,0.1736341288060319
AbLang2 (paired H/L),IMGT,JOINT,0.13735337904941947
AbLang2 (paired H/L),IMGT,REG-SEP,0.1279241656079706
AbLang2 (paired H/L),IMGT,XREG,-0.03052963445216017
AbLang2 (paired H/L),IMGT,FUSE,0.11773893568250848
AbLang2 (paired H/L),REGION,JOINT,0.03919187004183522
AbLang2 (paired H/L),REGION,REG-SEP,0.033517189967779526
AbLang2 (paired H/L),REGION,XREG,-0.2342214584350586
AbLang2 (paired H/L),REGION,FUSE,0.011967223367573165
AbLang2 (paired H/L),FULL,JOINT,-0.013338877830975981
AbLang2 (paired H/L),FULL,REG-SEP,-0.09129796204743457
AbLang2 (paired H/L),FULL,XREG,-0.09127753457905285
AbLang2 (paired H/L),FULL,FUSE,0.06938099566801137
ESM-1b,BASE,JOINT,-0.17623405692018101
ESM-1b,BASE,REG-SEP,-0.009006865230607008
ESM-1b,BASE,XREG,-0.23623926845597643
ESM-1b,BASE,FUSE,-0.07345327918912181
ESM-1b,IMGT,JOINT,-0.07949518274377887
ESM-1b,IMGT,REG-SEP,-0.051079020088101945
ESM-1b,IMGT,XREG,-0.03630068272720166
ESM-1b,IMGT,FUSE,-0.07318111702247965
ESM-1b,REGION,JOINT,0.007853460900577591
ESM-1b,REGION,REG-SEP,-0.06675390549647942
ESM-1b,REGION,XREG,0.005457854565278808
ESM-1b,REGION,FUSE,-0.002322079222879303
ESM-1b,FULL,JOINT,-0.061389122480227876
ESM-1b,FULL,REG-SEP,-0.03546945548351932
ESM-1b,FULL,XREG,-0.12214787801106741
ESM-1b,FULL,FUSE,0.03559295042061539
ESM-2,BASE,JOINT,-0.007789117318612426
ESM-2,BASE,REG-SEP,-0.020740038082923018
ESM-2,BASE,XREG,-0.005560721880123687
ESM-2,BASE,FUSE,0.11760325490692569
ESM-2,IMGT,JOINT,-0.05118731510492003
ESM-2,IMGT,REG-SEP,0.009194962772322679
ESM-2,IMGT,XREG,-0.10713445404429445
ESM-2,IMGT,FUSE,-0.0754367451608915
ESM-2,REGION,JOINT,-0.04509910536401085
ESM-2,REGION,REG-SEP,-0.09560012817382812
ESM-2,REGION,XREG,-0.2132466163164306
ESM-2,REGION,FUSE,-0.13788024290108414
ESM-2,FULL,JOINT,-0.1297131997567642
ESM-2,FULL,REG-SEP,-0.15623950958251953
ESM-2,FULL,XREG,-0.11634771323498416
ESM-2,FULL,FUSE,-0.19407046282732932
ESM-C 600M,BASE,JOINT,-0.12214303899694379
ESM-C 600M,BASE,REG-SEP,0.05200785177725287
ESM-C 600M,BASE,XREG,-0.06043589556658757
ESM-C 600M,BASE,FUSE,0.0912040545616617
ESM-C 600M,IMGT,JOINT,0.045265138885120404
ESM-C 600M,IMGT,REG-SEP,0.061326179975344175
ESM-C 600M,IMGT,XREG,0.039523854667756986
ESM-C 600M,IMGT,FUSE,0.048635588751897885
ESM-C 600M,REGION,JOINT,-0.03579763718593254
ESM-C 600M,REGION,REG-SEP,-0.02127134064097458
ESM-C 600M,REGION,XREG,0.020979045349874603
ESM-C 600M,REGION,FUSE,-0.10117184674298274
ESM-C 600M,FULL,JOINT,0.2026258044772673
ESM-C 600M,FULL,REG-SEP,0.07149586854157608
ESM-C 600M,FULL,XREG,0.07370096371497548
ESM-C 600M,FULL,FUSE,0.17525046548725642
CurrAb (separate-chain),BASE,JOINT,-0.04220151312557263
CurrAb (separate-chain),BASE,REG-SEP,-0.020217518747588592
CurrAb (separate-chain),BASE,XREG,-0.08580488040123413
CurrAb (separate-chain),BASE,FUSE,0.03746039779097954
CurrAb (separate-chain),IMGT,JOINT,0.03306122768072495
CurrAb (separate-chain),IMGT,REG-SEP,0.06874900394015881
CurrAb (separate-chain),IMGT,XREG,-0.04126850175268704
CurrAb (separate-chain),IMGT,FUSE,0.024342183713559784
CurrAb (separate-chain),REGION,JOINT,0.09038911042390074
CurrAb (separate-chain),REGION,REG-SEP,0.0921066778677484
CurrAb (separate-chain),REGION,XREG,-0.13050317175594373
CurrAb (separate-chain),REGION,FUSE,0.025439026914996887
CurrAb (separate-chain),FULL,JOINT,0.05475390398943869
CurrAb (separate-chain),FULL,REG-SEP,-0.016997831839102417
CurrAb (separate-chain),FULL,XREG,0.024731683142390715
CurrAb (separate-chain),FULL,FUSE,0.001970314685209029
CurrAb (paired H/L),BASE,JOINT,0.25001175020947874
CurrAb (paired H/L),BASE,REG-SEP,0.008794136989263457
CurrAb (paired H/L),BASE,XREG,0.07571007292947662
CurrAb (paired H/L),BASE,FUSE,0.01979526472680382
CurrAb (paired H/L),IMGT,JOINT,-0.01851416222843172
CurrAb (paired H/L),IMGT,REG-SEP,0.0016520582599399702
CurrAb (paired H/L),IMGT,XREG,-0.08539616620099144
CurrAb (paired H/L),IMGT,FUSE,-0.11834075127118959
CurrAb (paired H/L),REGION,JOINT,-0.03802241808102469
CurrAb (paired H/L),REGION,REG-SEP,-0.03694571977780203
CurrAb (paired H/L),REGION,XREG,0.0006055478696467276
CurrAb (paired H/L),REGION,FUSE,-0.05762003674919258
CurrAb (paired H/L),FULL,JOINT,0.01595984564887143
CurrAb (paired H/L),FULL,REG-SEP,0.09707231874819211
CurrAb (paired H/L),FULL,XREG,-0.053229520350326354
CurrAb (paired H/L),FULL,FUSE,0.035027904275023225
