representation,topology,annotation,experiment,Primary,Shadow,mean_PS,worst_PS,abs_PS
Scratch,REG-SEP,FULL,EXP-T096,3.252413337613329,3.2638315271448204,3.258122432379075,3.2638315271448204,0.0114181895314913
AbLingua,FUSE,IMGT,EXP-T186,3.2282831639419367,3.262201897891951,3.245242530916944,3.262201897891951,0.0339187339500144
AbLang1,JOINT,BASE,EXP-T232,3.306578318277994,3.288868209462107,3.2977232638700507,3.306578318277994,0.017710108815887
AbLang2 (separate-chain),XREG,REGION,EXP-T205,3.004970974392361,2.9838466408811968,2.9944088076367787,3.004970974392361,0.0211243335111643
AbLang2 (paired H/L),XREG,REGION,EXP-T225,2.9667591518825955,3.036761013078101,3.0017600824803483,3.036761013078101,0.0700018611955055
ESM-1b,XREG,BASE,EXP-T253,3.1692948517975985,3.247104362205223,3.2081996070014105,3.247104362205223,0.0778095104076244
ESM-2,FUSE,FULL,EXP-T156,3.2438234399866173,3.4195867232334467,3.331705081610032,3.4195867232334467,0.1757632832468294
ESM-C 600M,JOINT,BASE,EXP-T285,3.034880979561512,3.2111711148862487,3.12302604722388,3.2111711148862487,0.176290135324737
CurrAb (separate-chain),XREG,REGION,EXP-T336,3.245753912278164,3.2509146089907044,3.248334260634434,3.2509146089907044,0.0051606967125406
CurrAb (paired H/L),XREG,FULL,EXP-T160,3.3158010788905767,3.1833025143470293,3.2495517966188032,3.3158010788905767,0.1324985645435474
