experiment_code,representation_display,topology_id,annotation_id,primary_mae,shadow_mae,mean_ps,worst_ps,abs_ps
EXP-T205,AbLang2 (separate-chain),XREG,REGION,3.004970974392361,2.9838466408811968,2.9944088076367787,3.004970974392361,0.0211243335111643
EXP-T225,AbLang2 (paired H/L),XREG,REGION,2.9667591518825955,3.036761013078101,3.0017600824803483,3.036761013078101,0.0700018611955055
EXP-T196,AbLang2 (separate-chain),FUSE,BASE,3.026977798085154,3.025294127287688,3.0261359626864213,3.026977798085154,0.0016836707974658
EXP-T206,AbLang2 (separate-chain),FUSE,REGION,3.0702671474880643,3.136174119549033,3.1032206335185486,3.136174119549033,0.0659069720609686
EXP-T285,ESM-C 600M,JOINT,BASE,3.034880979561512,3.2111711148862487,3.12302604722388,3.2111711148862487,0.176290135324737
EXP-T220,AbLang2 (paired H/L),XREG,IMGT,3.200681545116283,3.0479605403947243,3.124321042755504,3.200681545116283,0.1527210047215588
EXP-T202,AbLang2 (separate-chain),SEP,REGION,3.085309087494273,3.181393446745696,3.133351267119985,3.181393446745696,0.0960843592514231
EXP-T121,AbLang2 (separate-chain),XREG,FULL,3.0232212867265864,3.252085108815888,3.137653197771237,3.252085108815888,0.2288638220893015
EXP-T113,AbLang2 (separate-chain),JOINT,FULL,2.9950552575382186,3.2830708586139443,3.139063058076081,3.2830708586139443,0.2880156010757257
EXP-T195,AbLang2 (separate-chain),XREG,BASE,3.000548044840494,3.2798375494686174,3.140192797154556,3.2798375494686174,0.2792895046281232
EXP-T204,AbLang2 (separate-chain),REG-SEP,REGION,3.2124495565155406,3.075349148408866,3.143899352462204,3.2124495565155406,0.1371004081066744
EXP-T212,AbLang2 (paired H/L),SEP,BASE,3.08129581404321,3.2250998461688005,3.1531978301060053,3.2250998461688005,0.1438040321255904
EXP-T217,AbLang2 (paired H/L),SEP,IMGT,3.074676702051987,3.2350246523633417,3.1548506772076643,3.2350246523633417,0.1603479503113547
EXP-T209,AbLang2 (paired H/L),REG-SEP,FULL,2.9177494284547407,3.4472073919979143,3.182478410226328,3.4472073919979143,0.5294579635431735
EXP-T210,AbLang2 (paired H/L),XREG,FULL,3.188560532934872,3.176437142454548,3.18249883769471,3.188560532934872,0.0121233904803239
