block_id,status,n_dims,notes
FS_HIC_SOURCE_SAP24,BLOCKED_SOURCE_UNRESOLVED,,positive_sum_mean unresolved
FS_HIC_SOURCE_SCM24,BLOCKED_SOURCE_UNRESOLVED,,SCM charge semantics unresolved
SAP_GLOBAL6,NOT_GENERATED,,requires SOURCE_SAP24
SAP30,NOT_GENERATED,,requires SOURCE_SAP24
SAP_EXTRA20,NOT_GENERATED,,requires SOURCE_SAP24 + extension QC
SAP50,NOT_GENERATED,,requires SOURCE_SAP24
SCM_GLOBAL6,NOT_GENERATED,,requires SOURCE_SCM24
SCM30,NOT_GENERATED,,requires SOURCE_SCM24
AC1_SAP24_SCM24,NOT_GENERATED,,both blocked
AC2_SAP30_SCM30,NOT_GENERATED,,both blocked
H094_STATIC_SAP_KD_global3,REFERENCE_EXISTING,3,prior weak global3 baseline (not regenerated here)
SURFACE_AROMATIC19_HYDRO16,REFERENCE_EXISTING,35,existing strong physical block reference
