feature,spearman_rho_HIC_dev,pvalue
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__MAX,0.13644774082664046,0.08338848064610925
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__MEAN,0.13526745964569578,0.08611834981215415
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__SUM,0.06737686250313922,0.39427215094895085
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__Q90,0.08401966593498492,0.2877839308565265
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__Q95,0.06302564301598662,0.42558681335632853
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__TOP3_MEAN,0.1098502972246347,0.16405742431478323
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__TOP5_MEAN,0.05350038180327403,0.4989389473398372
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__MAX,0.08830858150288998,0.26379522744931794
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__MEAN,0.08585578457426771,0.27734141878370683
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__SUM,0.014110766277181885,0.8585511053264345
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__Q90,-0.007134419236962835,0.928204324144971
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__Q95,0.07394814953920233,0.34968567372887943
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__TOP3_MEAN,0.05911476750547743,0.45492134723322036
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__TOP5_MEAN,-0.0051486372653690255,0.948154545254865
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__MAX,0.11853064093389958,0.1330280507019061
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__MEAN,0.13869565041257664,0.078381563058253
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__SUM,0.13417224513968526,0.0887149989260227
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__Q90,0.08167816223175335,0.30147725222553284
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__Q95,0.0843879713187897,0.28566849095460484
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__TOP3_MEAN,0.06399806929774082,0.4184664511542389
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__TOP5_MEAN,0.06973383186530104,0.3779023577117739
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__MAX,0.06803324040754052,0.38967127281632785
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__MEAN,0.1857291857383504,0.017968463329896014
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__SUM,0.08118983205252703,0.30438633155918055
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__Q90,0.07982809603938447,0.31259567693526563
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__Q95,0.1444060085199459,0.06674645703002625
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__TOP3_MEAN,0.10432200441530068,0.18645862138985722
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__TOP5_MEAN,0.12934963178010028,0.10090069659816898
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__MAX,0.08282846531426936,0.2946973693845996
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__MEAN,0.005024437682213194,0.9494035206304217
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__SUM,-0.08741674751711259,0.26866732575122126
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__Q90,0.04767926922723625,0.5468403155657193
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__Q95,0.01870761501745091,0.8132108056295821
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__TOP3_MEAN,0.10108716981765106,0.20056349730872164
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__TOP5_MEAN,0.10679752792502031,0.17616537072206648
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__MAX,-0.04590985836090957,0.561834878832091
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__MEAN,-0.04824730397934214,0.5420685709376394
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__SUM,-0.0626826828034086,0.4281146725733168
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__Q90,-0.042814111904170234,0.5885330294609389
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__Q95,-0.04504148459917158,0.5692650773580582
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__TOP3_MEAN,-0.03806014230012495,0.6306233848351459
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__TOP5_MEAN,-0.03597130427150777,0.6495109020891829
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__MAX,0.06969431381611509,0.3781733554403721
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__MEAN,0.21613126779243874,0.005739098771938351
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__SUM,0.15919140435108786,0.04303110831337578
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__Q90,0.10810303490705606,0.17090906657176455
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__Q95,0.018851520820595963,0.8118005505685348
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__TOP3_MEAN,0.10515329480710504,0.18295413565202037
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__TOP5_MEAN,0.1153842354695667,0.14370905731056452
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__MAX,0.08617293868980232,0.27556390843007067
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__MEAN,0.15402724213782434,0.0503521515371117
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__SUM,0.10173357219362118,0.1976850407637411
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__Q90,0.026410759086307724,0.7386744342669265
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__Q95,0.045845171132396396,0.5623867676678813
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__TOP3_MEAN,0.10419780483214484,0.18698640240534747
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__TOP5_MEAN,0.10132851218946524,0.19948526538031636
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__MAX,0.0709391323654724,0.3696939461992858
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__MEAN,0.16171914814008892,0.039786066109847196
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__SUM,0.15093072071232555,0.05521810001041557
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__Q90,0.11063219005495664,0.16105860093190721
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__Q95,0.08175296425342675,0.3010332668427998
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__TOP3_MEAN,0.06119087644663912,0.4392105663582409
