antibody_id,cluster_id,role,split
ADI-38502,0,Dev,canonical
ADI-38501,1,Public,canonical
ADI-47173,2,Public,canonical
ADI-47054,3,Dev,canonical
ADI-47278,4,Dev,canonical
ADI-47055,5,Dev,canonical
ADI-47174,6,Public,canonical
ADI-47056,31,Dev,canonical
ADI-47279,7,Dev,canonical
ADI-47057,8,Dev,canonical
ADI-47280,9,Dev,canonical
ADI-47058,10,Dev,canonical
ADI-47281,11,Dev,canonical
ADI-47175,12,Public,canonical
ADI-47282,13,Dev,canonical
ADI-47283,14,Private,canonical
ADI-47059,4,Dev,canonical
ADI-47060,15,Dev,canonical
ADI-47178,16,Dev,canonical
ADI-47177,17,Private,canonical
ADI-47284,18,Dev,canonical
ADI-47179,19,Dev,canonical
ADI-47180,20,Dev,canonical
ADI-45439,21,Dev,canonical
ADI-45368,19,Dev,canonical
ADI-47062,22,Dev,canonical
ADI-47182,23,Dev,canonical
ADI-47063,0,Dev,canonical
ADI-47183,24,Dev,canonical
ADI-47064,25,Dev,canonical
ADI-47066,26,Private,canonical
ADI-45379,27,Private,canonical
ADI-47067,7,Dev,canonical
ADI-47068,28,Public,canonical
ADI-47069,29,Dev,canonical
ADI-47070,30,Dev,canonical
ADI-45442,47,Dev,canonical
ADI-47184,31,Dev,canonical
ADI-47073,32,Dev,canonical
ADI-46682,33,Dev,canonical
ADI-47074,34,Dev,canonical
ADI-47186,35,Dev,canonical
ADI-45370,36,Dev,canonical
ADI-47077,37,Private,canonical
ADI-47079,38,Dev,canonical
ADI-47289,39,Private,canonical
ADI-47191,40,Public,canonical
ADI-47192,41,Dev,canonical
ADI-47290,36,Dev,canonical
ADI-47195,42,Dev,canonical
ADI-47196,43,Private,canonical
ADI-47083,44,Private,canonical
ADI-47198,45,Dev,canonical
ADI-47199,46,Public,canonical
ADI-47201,36,Dev,canonical
ADI-45447,47,Dev,canonical
ADI-47293,47,Dev,canonical
ADI-45378,47,Dev,canonical
ADI-47204,48,Dev,canonical
ADI-47093,49,Private,canonical
ADI-47297,50,Dev,canonical
ADI-45440,51,Dev,canonical
ADI-47209,28,Public,canonical
ADI-46678,31,Dev,canonical
ADI-47099,52,Public,canonical
ADI-47300,0,Dev,canonical
ADI-47100,53,Public,canonical
ADI-47215,54,Dev,canonical
ADI-47216,24,Dev,canonical
ADI-47217,55,Private,canonical
ADI-46710,24,Dev,canonical
ADI-47301,42,Dev,canonical
ADI-47187,24,Dev,canonical
ADI-47105,9,Dev,canonical
ADI-47106,56,Private,canonical
ADI-45490,57,Private,canonical
ADI-47302,24,Dev,canonical
ADI-47109,58,Public,canonical
ADI-47304,59,Private,canonical
ADI-47112,60,Dev,canonical
ADI-47113,61,Public,canonical
ADI-47224,28,Public,canonical
ADI-47225,42,Dev,canonical
ADI-45429,4,Dev,canonical
ADI-47119,36,Dev,canonical
ADI-47308,24,Dev,canonical
ADI-47121,62,Dev,canonical
ADI-47122,53,Public,canonical
ADI-47311,7,Dev,canonical
ADI-47123,63,Dev,canonical
ADI-47231,64,Dev,canonical
ADI-47232,31,Dev,canonical
ADI-47258,65,Private,canonical
ADI-46677,66,Dev,canonical
ADI-45491,28,Public,canonical
ADI-47313,67,Private,canonical
ADI-45373,31,Dev,canonical
ADI-47132,68,Dev,canonical
ADI-47237,69,Dev,canonical
ADI-47238,53,Public,canonical
ADI-47135,37,Private,canonical
ADI-47243,70,Private,canonical
ADI-45375,71,Dev,canonical
ADI-47244,72,Dev,canonical
ADI-47247,15,Dev,canonical
ADI-47140,6,Public,canonical
ADI-47317,42,Dev,canonical
ADI-45448,73,Dev,canonical
ADI-47143,74,Dev,canonical
ADI-45382,75,Dev,canonical
ADI-47253,76,Dev,canonical
ADI-47256,77,Private,canonical
ADI-47166,36,Dev,canonical
ADI-45428,7,Dev,canonical
ADI-47149,53,Public,canonical
ADI-47151,78,Dev,canonical
ADI-47152,43,Private,canonical
ADI-47259,53,Public,canonical
ADI-47260,24,Dev,canonical
ADI-47261,12,Public,canonical
ADI-47155,79,Private,canonical
ADI-47153,80,Public,canonical
ADI-47158,81,Public,canonical
ADI-45438,82,Public,canonical
ADI-47161,83,Public,canonical
ADI-47266,84,Private,canonical
ADI-45418,85,Dev,canonical
ADI-45446,86,Private,canonical
ADI-45420,87,Dev,canonical
ADI-45413,88,Public,canonical
ADI-46679,43,Private,canonical
ADI-46680,89,Public,canonical
ADI-47319,90,Private,canonical
ADI-45432,28,Public,canonical
ADI-45377,31,Dev,canonical
ADI-46683,91,Public,canonical
ADI-38498,60,Dev,canonical
ADI-38500,92,Private,canonical
ADI-38499,93,Dev,canonical
ADI-45397,43,Private,canonical
ADI-45456,94,Private,canonical
ADI-45455,95,Private,canonical
ADI-45450,95,Private,canonical
ADI-45465,96,Dev,canonical
ADI-45464,24,Dev,canonical
ADI-46692,97,Dev,canonical
ADI-45390,42,Dev,canonical
ADI-45395,47,Dev,canonical
ADI-46690,0,Dev,canonical
ADI-45393,47,Dev,canonical
ADI-46685,9,Dev,canonical
ADI-45460,7,Dev,canonical
ADI-45389,98,Public,canonical
ADI-46689,99,Public,canonical
ADI-45459,7,Dev,canonical
ADI-45463,93,Dev,canonical
ADI-45470,7,Dev,canonical
ADI-47295,100,Private,canonical
ADI-45452,101,Dev,canonical
ADI-45454,28,Public,canonical
ADI-45388,53,Public,canonical
ADI-47205,102,Private,canonical
ADI-46695,103,Dev,canonical
ADI-46684,95,Private,canonical
ADI-47213,42,Dev,canonical
ADI-46696,104,Private,canonical
ADI-46697,53,Public,canonical
ADI-47104,105,Dev,canonical
ADI-47219,28,Public,canonical
ADI-45391,98,Public,canonical
ADI-45461,53,Public,canonical
ADI-47116,47,Dev,canonical
ADI-47309,24,Dev,canonical
ADI-45453,106,Private,canonical
ADI-46693,47,Dev,canonical
ADI-47233,9,Dev,canonical
ADI-47137,107,Dev,canonical
ADI-45383,75,Dev,canonical
ADI-45469,7,Dev,canonical
ADI-45422,95,Private,canonical
ADI-45485,7,Dev,canonical
ADI-45495,42,Dev,canonical
ADI-46691,31,Dev,canonical
ADI-45425,108,Dev,canonical
ADI-45451,28,Public,canonical
ADI-45499,95,Private,canonical
ADI-45497,24,Dev,canonical
ADI-46698,47,Dev,canonical
ADI-37123,109,Dev,canonical
ADI-37125,47,Dev,canonical
ADI-38503,7,Dev,canonical
ADI-47223,110,Private,canonical
ADI-37124,111,Dev,canonical
ADI-37121,53,Public,canonical
ADI-47176,112,Private,canonical
ADI-47061,113,Dev,canonical
ADI-45402,114,Dev,canonical
ADI-46701,115,Private,canonical
ADI-47286,116,Dev,canonical
ADI-47065,117,Dev,canonical
ADI-47287,4,Dev,canonical
ADI-47071,118,Private,canonical
ADI-47072,28,Public,canonical
ADI-45472,60,Dev,canonical
ADI-47075,28,Public,canonical
ADI-47288,119,Dev,canonical
ADI-45404,120,Public,canonical
ADI-47076,24,Dev,canonical
ADI-47189,121,Dev,canonical
ADI-47078,122,Private,canonical
ADI-47190,123,Dev,canonical
ADI-47081,124,Dev,canonical
ADI-47194,4,Dev,canonical
ADI-47193,125,Dev,canonical
ADI-47291,126,Dev,canonical
ADI-47082,127,Dev,canonical
ADI-47197,128,Private,canonical
ADI-47085,129,Dev,canonical
ADI-47084,130,Private,canonical
ADI-47087,131,Dev,canonical
ADI-47292,132,Dev,canonical
ADI-47200,133,Dev,canonical
ADI-47089,134,Dev,canonical
ADI-47090,36,Dev,canonical
ADI-47202,91,Public,canonical
ADI-47203,6,Public,canonical
ADI-47294,6,Public,canonical
ADI-47091,53,Public,canonical
ADI-47296,135,Dev,canonical
ADI-47092,136,Private,canonical
ADI-47206,137,Dev,canonical
ADI-47094,138,Dev,canonical
ADI-47207,139,Dev,canonical
ADI-47208,19,Dev,canonical
ADI-47095,28,Public,canonical
ADI-47096,53,Public,canonical
ADI-47097,53,Public,canonical
ADI-47298,140,Dev,canonical
