antibody_id,cluster_id,role,split
ADI-38502,0,Public,canonical
ADI-38501,1,Public,canonical
ADI-47173,2,Private,canonical
ADI-47054,3,Dev,canonical
ADI-47278,4,Public,canonical
ADI-47055,5,Dev,canonical
ADI-47174,6,Dev,canonical
ADI-47056,31,Dev,canonical
ADI-47279,7,Dev,canonical
ADI-47057,8,Private,canonical
ADI-47280,9,Dev,canonical
ADI-47058,10,Dev,canonical
ADI-47281,11,Dev,canonical
ADI-47175,12,Dev,canonical
ADI-47282,13,Public,canonical
ADI-47283,14,Dev,canonical
ADI-47059,4,Public,canonical
ADI-47060,15,Dev,canonical
ADI-47178,16,Dev,canonical
ADI-47177,17,Private,canonical
ADI-47284,18,Public,canonical
ADI-47179,19,Private,canonical
ADI-47180,20,Public,canonical
ADI-45439,21,Dev,canonical
ADI-45368,19,Private,canonical
ADI-47062,22,Public,canonical
ADI-47182,23,Dev,canonical
ADI-47063,0,Public,canonical
ADI-47183,24,Private,canonical
ADI-47064,25,Dev,canonical
ADI-47066,26,Dev,canonical
ADI-45379,27,Dev,canonical
ADI-47067,7,Dev,canonical
ADI-47068,28,Dev,canonical
ADI-47069,29,Public,canonical
ADI-47070,30,Public,canonical
ADI-45442,47,Dev,canonical
ADI-47184,31,Dev,canonical
ADI-47073,32,Dev,canonical
ADI-46682,33,Public,canonical
ADI-47074,34,Public,canonical
ADI-47186,35,Public,canonical
ADI-45370,36,Private,canonical
ADI-47077,37,Public,canonical
ADI-47079,38,Dev,canonical
ADI-47289,39,Dev,canonical
ADI-47191,40,Dev,canonical
ADI-47192,41,Private,canonical
ADI-47290,36,Private,canonical
ADI-47195,42,Dev,canonical
ADI-47196,43,Public,canonical
ADI-47083,44,Dev,canonical
ADI-47198,45,Private,canonical
ADI-47199,46,Dev,canonical
ADI-47201,36,Private,canonical
ADI-45447,47,Dev,canonical
ADI-47293,47,Dev,canonical
ADI-45378,47,Dev,canonical
ADI-47204,48,Private,canonical
ADI-47093,49,Public,canonical
ADI-47297,50,Public,canonical
ADI-45440,51,Dev,canonical
ADI-47209,28,Dev,canonical
ADI-46678,31,Dev,canonical
ADI-47099,52,Private,canonical
ADI-47300,0,Public,canonical
ADI-47100,53,Private,canonical
ADI-47215,54,Public,canonical
ADI-47216,24,Private,canonical
ADI-47217,55,Dev,canonical
ADI-46710,24,Private,canonical
ADI-47301,42,Dev,canonical
ADI-47187,24,Private,canonical
ADI-47105,9,Dev,canonical
ADI-47106,56,Dev,canonical
ADI-45490,57,Dev,canonical
ADI-47302,24,Private,canonical
ADI-47109,58,Dev,canonical
ADI-47304,59,Dev,canonical
ADI-47112,60,Public,canonical
ADI-47113,61,Dev,canonical
ADI-47224,28,Dev,canonical
ADI-47225,42,Dev,canonical
ADI-45429,4,Public,canonical
ADI-47119,36,Private,canonical
ADI-47308,24,Private,canonical
ADI-47121,62,Private,canonical
ADI-47122,53,Private,canonical
ADI-47311,7,Dev,canonical
ADI-47123,63,Public,canonical
ADI-47231,64,Dev,canonical
ADI-47232,31,Dev,canonical
ADI-47258,65,Public,canonical
ADI-46677,66,Public,canonical
ADI-45491,28,Dev,canonical
ADI-47313,67,Dev,canonical
ADI-45373,31,Dev,canonical
ADI-47132,68,Dev,canonical
ADI-47237,69,Dev,canonical
ADI-47238,53,Private,canonical
ADI-47135,37,Public,canonical
ADI-47243,70,Dev,canonical
ADI-45375,71,Dev,canonical
ADI-47244,72,Public,canonical
ADI-47247,15,Dev,canonical
ADI-47140,6,Dev,canonical
ADI-47317,42,Dev,canonical
ADI-45448,73,Dev,canonical
ADI-47143,74,Dev,canonical
ADI-45382,75,Dev,canonical
ADI-47253,76,Public,canonical
ADI-47256,77,Dev,canonical
ADI-47166,36,Private,canonical
