antibody_id,cluster_id,role,split
ADI-38502,0,Public,shadow_3
ADI-38501,1,Dev,shadow_3
ADI-47173,2,Dev,shadow_3
ADI-47054,3,Dev,shadow_3
ADI-47278,4,Private,shadow_3
ADI-47055,5,Public,shadow_3
ADI-47174,6,Public,shadow_3
ADI-47056,31,Dev,shadow_3
ADI-47279,7,Public,shadow_3
ADI-47057,8,Dev,shadow_3
ADI-47280,9,Dev,shadow_3
ADI-47058,10,Dev,shadow_3
ADI-47281,11,Dev,shadow_3
ADI-47175,12,Dev,shadow_3
ADI-47282,13,Private,shadow_3
ADI-47283,14,Dev,shadow_3
ADI-47059,4,Private,shadow_3
ADI-47060,15,Private,shadow_3
ADI-47178,16,Public,shadow_3
ADI-47177,17,Dev,shadow_3
ADI-47284,18,Dev,shadow_3
ADI-47179,19,Public,shadow_3
ADI-47180,20,Public,shadow_3
ADI-45439,21,Dev,shadow_3
ADI-45368,19,Public,shadow_3
ADI-47062,22,Dev,shadow_3
ADI-47182,23,Private,shadow_3
ADI-47063,0,Public,shadow_3
ADI-47183,24,Dev,shadow_3
ADI-47064,25,Public,shadow_3
ADI-47066,26,Dev,shadow_3
ADI-45379,27,Private,shadow_3
ADI-47067,7,Public,shadow_3
ADI-47068,28,Private,shadow_3
ADI-47069,29,Dev,shadow_3
ADI-47070,30,Dev,shadow_3
ADI-45442,47,Dev,shadow_3
ADI-47184,31,Dev,shadow_3
ADI-47073,32,Dev,shadow_3
ADI-46682,33,Dev,shadow_3
ADI-47074,34,Private,shadow_3
ADI-47186,35,Private,shadow_3
ADI-45370,36,Private,shadow_3
ADI-47077,37,Private,shadow_3
ADI-47079,38,Public,shadow_3
ADI-47289,39,Dev,shadow_3
ADI-47191,40,Private,shadow_3
ADI-47192,41,Dev,shadow_3
ADI-47290,36,Private,shadow_3
ADI-47195,42,Dev,shadow_3
ADI-47196,43,Dev,shadow_3
ADI-47083,44,Public,shadow_3
ADI-47198,45,Dev,shadow_3
ADI-47199,46,Dev,shadow_3
ADI-47201,36,Private,shadow_3
ADI-45447,47,Dev,shadow_3
ADI-47293,47,Dev,shadow_3
ADI-45378,47,Dev,shadow_3
ADI-47204,48,Dev,shadow_3
ADI-47093,49,Dev,shadow_3
ADI-47297,50,Dev,shadow_3
ADI-45440,51,Dev,shadow_3
ADI-47209,28,Private,shadow_3
ADI-46678,31,Dev,shadow_3
ADI-47099,52,Public,shadow_3
ADI-47300,0,Public,shadow_3
ADI-47100,53,Dev,shadow_3
ADI-47215,54,Public,shadow_3
ADI-47216,24,Dev,shadow_3
ADI-47217,55,Public,shadow_3
ADI-46710,24,Dev,shadow_3
ADI-47301,42,Dev,shadow_3
ADI-47187,24,Dev,shadow_3
ADI-47105,9,Dev,shadow_3
ADI-47106,56,Dev,shadow_3
ADI-45490,57,Dev,shadow_3
ADI-47302,24,Dev,shadow_3
ADI-47109,58,Dev,shadow_3
ADI-47304,59,Dev,shadow_3
ADI-47112,60,Dev,shadow_3
ADI-47113,61,Dev,shadow_3
ADI-47224,28,Private,shadow_3
ADI-47225,42,Dev,shadow_3
ADI-45429,4,Private,shadow_3
ADI-47119,36,Private,shadow_3
ADI-47308,24,Dev,shadow_3
ADI-47121,62,Dev,shadow_3
ADI-47122,53,Dev,shadow_3
ADI-47311,7,Public,shadow_3
ADI-47123,63,Dev,shadow_3
ADI-47231,64,Public,shadow_3
ADI-47232,31,Dev,shadow_3
ADI-47258,65,Dev,shadow_3
ADI-46677,66,Public,shadow_3
ADI-45491,28,Private,shadow_3
ADI-47313,67,Dev,shadow_3
ADI-45373,31,Dev,shadow_3
ADI-47132,68,Private,shadow_3
ADI-47237,69,Dev,shadow_3
ADI-47238,53,Dev,shadow_3
ADI-47135,37,Private,shadow_3
ADI-47243,70,Dev,shadow_3
ADI-45375,71,Dev,shadow_3
ADI-47244,72,Dev,shadow_3
ADI-47247,15,Private,shadow_3
ADI-47140,6,Public,shadow_3
ADI-47317,42,Dev,shadow_3
ADI-45448,73,Public,shadow_3
ADI-47143,74,Dev,shadow_3
ADI-45382,75,Private,shadow_3
ADI-47253,76,Dev,shadow_3
ADI-47256,77,Dev,shadow_3
ADI-47166,36,Private,shadow_3
ADI-45428,7,Public,shadow_3
ADI-47149,53,Dev,shadow_3
ADI-47151,78,Public,shadow_3
ADI-47152,43,Dev,shadow_3
ADI-47259,53,Dev,shadow_3
ADI-47260,24,Dev,shadow_3
ADI-47261,12,Dev,shadow_3
ADI-47155,79,Private,shadow_3
ADI-47153,80,Private,shadow_3
ADI-47158,81,Dev,shadow_3
ADI-45438,82,Public,shadow_3
ADI-47161,83,Dev,shadow_3
ADI-38498,60,Dev,shadow_3
ADI-38500,84,Private,shadow_3
ADI-38499,85,Public,shadow_3
ADI-45397,43,Dev,shadow_3
ADI-45456,86,Dev,shadow_3
ADI-45455,87,Private,shadow_3
ADI-45450,87,Private,shadow_3
ADI-45465,88,Dev,shadow_3
ADI-45464,24,Dev,shadow_3
ADI-46692,89,Dev,shadow_3
ADI-45390,42,Dev,shadow_3
ADI-45395,47,Dev,shadow_3
ADI-46690,0,Public,shadow_3
ADI-45393,47,Dev,shadow_3
ADI-46685,9,Dev,shadow_3
ADI-45460,7,Public,shadow_3
ADI-45389,90,Public,shadow_3
ADI-46689,91,Dev,shadow_3
ADI-45459,7,Public,shadow_3
ADI-45463,85,Public,shadow_3
