x,spearman,pearson,n
H_CDR3_len,0.2791342582779961,0.27823372279734443,348
ABB_h3_hydrophobic_sasa_exposed,0.18699809367925277,0.2509804928477399,348
B_all_CDR_gravy,0.17032866122827187,0.17350001849852525,348
ABB_BSA,0.15068924655893257,0.14859030701388368,348
ABB_cdr_hydrophobic_sasa_exposed,0.14948739454942903,0.22801756641302087,348
ABB_Fv_rasa_w_hydrophobicity_sum,0.1484413390496154,0.12932507784658767,348
A2_HL_gravy,0.13454998120771708,0.12163269064073909,348
ABB_largest_hydrophobic_patch_sasa,0.12095043115157063,0.17871392393634747,348
ABB_Fv_sasa_hydrophobic,0.12081039992881999,0.11788177351056607,348
B_H_CDR3_gravy,0.1200079301320626,0.09840632206615939,348
B_H_full_gravy,0.07005499825635852,0.07474361694763011,348
PL_combined_germline_distance,-0.047215451814081544,-0.0958413959734797,348
