antibody_id,cluster_id,role,split
ADI-38502,0,Public,shadow_4
ADI-38501,1,Dev,shadow_4
ADI-47173,2,Dev,shadow_4
ADI-47054,3,Public,shadow_4
ADI-47278,4,Dev,shadow_4
ADI-47055,5,Dev,shadow_4
ADI-47174,6,Dev,shadow_4
ADI-47056,30,Public,shadow_4
ADI-47279,35,Dev,shadow_4
ADI-47057,7,Dev,shadow_4
ADI-47280,8,Dev,shadow_4
ADI-47058,9,Public,shadow_4
ADI-47281,10,Dev,shadow_4
ADI-47175,11,Dev,shadow_4
ADI-47282,12,Public,shadow_4
ADI-47283,13,Public,shadow_4
ADI-47059,4,Dev,shadow_4
ADI-47060,14,Private,shadow_4
ADI-47178,15,Dev,shadow_4
ADI-47177,16,Dev,shadow_4
ADI-47284,17,Dev,shadow_4
ADI-47179,18,Public,shadow_4
ADI-47180,19,Dev,shadow_4
ADI-45439,20,Private,shadow_4
ADI-45368,18,Public,shadow_4
ADI-47062,21,Private,shadow_4
ADI-47182,22,Public,shadow_4
ADI-47063,0,Public,shadow_4
ADI-47183,23,Dev,shadow_4
ADI-47064,24,Private,shadow_4
ADI-47066,25,Public,shadow_4
ADI-45379,26,Dev,shadow_4
ADI-47067,35,Dev,shadow_4
ADI-47068,27,Dev,shadow_4
ADI-47069,28,Private,shadow_4
ADI-47070,29,Public,shadow_4
ADI-45442,46,Private,shadow_4
ADI-47184,30,Public,shadow_4
ADI-47073,31,Public,shadow_4
ADI-46682,32,Dev,shadow_4
ADI-47074,33,Dev,shadow_4
ADI-47186,34,Dev,shadow_4
ADI-45370,35,Dev,shadow_4
ADI-47077,36,Dev,shadow_4
ADI-47079,37,Dev,shadow_4
ADI-47289,38,Dev,shadow_4
ADI-47191,39,Dev,shadow_4
ADI-47192,40,Private,shadow_4
ADI-47290,35,Dev,shadow_4
ADI-47195,41,Dev,shadow_4
ADI-47196,42,Dev,shadow_4
ADI-47083,43,Dev,shadow_4
ADI-47198,44,Public,shadow_4
ADI-47199,45,Public,shadow_4
ADI-47201,35,Dev,shadow_4
ADI-45447,46,Private,shadow_4
ADI-47293,46,Private,shadow_4
ADI-45378,46,Private,shadow_4
ADI-47204,47,Public,shadow_4
ADI-47093,48,Dev,shadow_4
ADI-47297,49,Dev,shadow_4
ADI-45440,50,Public,shadow_4
ADI-47209,27,Dev,shadow_4
ADI-46678,30,Public,shadow_4
ADI-47099,51,Dev,shadow_4
ADI-47300,0,Public,shadow_4
ADI-47100,52,Private,shadow_4
ADI-47215,53,Dev,shadow_4
ADI-47216,23,Dev,shadow_4
ADI-47217,54,Private,shadow_4
ADI-46710,23,Dev,shadow_4
ADI-47301,41,Dev,shadow_4
ADI-47187,23,Dev,shadow_4
ADI-47105,8,Dev,shadow_4
ADI-47106,55,Private,shadow_4
ADI-45490,56,Dev,shadow_4
ADI-47302,23,Dev,shadow_4
ADI-47109,57,Private,shadow_4
ADI-47304,58,Private,shadow_4
ADI-47112,59,Dev,shadow_4
ADI-47113,60,Public,shadow_4
ADI-47224,27,Dev,shadow_4
ADI-47225,41,Dev,shadow_4
ADI-45429,4,Dev,shadow_4
ADI-47119,35,Dev,shadow_4
ADI-47308,23,Dev,shadow_4
ADI-47121,61,Private,shadow_4
ADI-47122,52,Private,shadow_4
ADI-47311,35,Dev,shadow_4
ADI-47123,62,Dev,shadow_4
ADI-47231,63,Public,shadow_4
ADI-47232,30,Public,shadow_4
ADI-47258,64,Dev,shadow_4
ADI-46677,65,Private,shadow_4
ADI-45491,27,Dev,shadow_4
ADI-47313,66,Public,shadow_4
ADI-45373,30,Public,shadow_4
ADI-47132,67,Dev,shadow_4
ADI-47237,68,Private,shadow_4
ADI-47238,52,Private,shadow_4
ADI-47135,36,Dev,shadow_4
ADI-47243,69,Dev,shadow_4
ADI-45375,70,Dev,shadow_4
ADI-47244,71,Dev,shadow_4
ADI-47247,14,Private,shadow_4
ADI-47140,6,Dev,shadow_4
ADI-47317,41,Dev,shadow_4
ADI-45448,72,Public,shadow_4
ADI-47143,73,Dev,shadow_4
ADI-45382,74,Public,shadow_4
ADI-47253,75,Public,shadow_4
ADI-47256,76,Dev,shadow_4
ADI-47166,35,Dev,shadow_4
ADI-45428,35,Dev,shadow_4
ADI-47149,52,Private,shadow_4
ADI-47151,77,Dev,shadow_4
ADI-47152,42,Dev,shadow_4
ADI-47259,52,Private,shadow_4
ADI-47260,23,Dev,shadow_4
ADI-47261,11,Dev,shadow_4
ADI-47155,78,Dev,shadow_4
ADI-47153,79,Private,shadow_4
ADI-47158,80,Dev,shadow_4
ADI-45438,81,Dev,shadow_4
ADI-47161,82,Public,shadow_4
ADI-38498,59,Dev,shadow_4
ADI-38500,83,Dev,shadow_4
ADI-38499,84,Public,shadow_4
ADI-45397,42,Dev,shadow_4
ADI-45456,85,Private,shadow_4
ADI-45455,86,Dev,shadow_4
ADI-45450,86,Dev,shadow_4
ADI-45465,87,Dev,shadow_4
ADI-45464,23,Dev,shadow_4
ADI-46692,88,Dev,shadow_4
ADI-45390,41,Dev,shadow_4
ADI-45395,46,Private,shadow_4
ADI-46690,0,Public,shadow_4
ADI-45393,46,Private,shadow_4
ADI-46685,8,Dev,shadow_4
ADI-45460,35,Dev,shadow_4
ADI-45389,89,Dev,shadow_4
ADI-46689,90,Dev,shadow_4
ADI-45459,35,Dev,shadow_4
ADI-45463,84,Public,shadow_4
ADI-45470,35,Dev,shadow_4
ADI-47295,91,Public,shadow_4
ADI-45452,92,Dev,shadow_4
ADI-45454,27,Dev,shadow_4
ADI-45388,52,Private,shadow_4
ADI-47205,93,Dev,shadow_4
ADI-46695,94,Public,shadow_4
ADI-46684,86,Dev,shadow_4
ADI-47213,41,Dev,shadow_4
ADI-46696,95,Dev,shadow_4
ADI-46697,52,Private,shadow_4
ADI-47104,96,Dev,shadow_4
ADI-47219,27,Dev,shadow_4
ADI-45391,89,Dev,shadow_4
ADI-45461,52,Private,shadow_4
ADI-47116,46,Private,shadow_4
ADI-47309,23,Dev,shadow_4
ADI-45453,97,Dev,shadow_4
ADI-46693,46,Private,shadow_4
ADI-47233,8,Dev,shadow_4
ADI-47137,98,Dev,shadow_4
ADI-45383,74,Public,shadow_4
ADI-45469,35,Dev,shadow_4
ADI-45422,86,Dev,shadow_4
ADI-45485,35,Dev,shadow_4
ADI-45495,41,Dev,shadow_4
ADI-46691,30,Public,shadow_4
ADI-45425,99,Dev,shadow_4
ADI-45451,27,Dev,shadow_4
ADI-45499,86,Dev,shadow_4
ADI-45497,23,Dev,shadow_4
ADI-46694,100,Private,shadow_4
ADI-47185,101,Dev,shadow_4
ADI-45467,102,Private,shadow_4
ADI-47086,42,Dev,shadow_4
ADI-37123,103,Dev,shadow_4
ADI-37125,46,Private,shadow_4
ADI-38503,35,Dev,shadow_4
ADI-47223,104,Dev,shadow_4
ADI-37124,105,Private,shadow_4
ADI-47176,106,Dev,shadow_4
ADI-47061,107,Dev,shadow_4
ADI-45402,108,Dev,shadow_4
ADI-46701,109,Private,shadow_4
ADI-47286,110,Dev,shadow_4
ADI-47065,111,Dev,shadow_4
ADI-47287,4,Dev,shadow_4
ADI-47071,112,Dev,shadow_4
ADI-47072,27,Dev,shadow_4
ADI-45472,59,Dev,shadow_4
ADI-47075,27,Dev,shadow_4
ADI-47288,113,Dev,shadow_4
ADI-45404,114,Dev,shadow_4
ADI-47076,23,Dev,shadow_4
ADI-47189,115,Dev,shadow_4
ADI-47078,116,Dev,shadow_4
ADI-47190,117,Public,shadow_4
ADI-47081,118,Private,shadow_4
ADI-47194,4,Dev,shadow_4
ADI-47193,102,Private,shadow_4
ADI-47291,119,Dev,shadow_4
ADI-47082,120,Public,shadow_4
ADI-47197,121,Public,shadow_4
ADI-47085,122,Private,shadow_4
ADI-47084,123,Private,shadow_4
ADI-47087,124,Dev,shadow_4
ADI-47292,125,Private,shadow_4
ADI-47200,126,Public,shadow_4
ADI-47089,127,Public,shadow_4
ADI-47090,35,Dev,shadow_4
ADI-47202,128,Public,shadow_4
ADI-47203,6,Dev,shadow_4
ADI-47294,6,Dev,shadow_4
ADI-47091,52,Private,shadow_4
ADI-47296,129,Public,shadow_4
ADI-47092,130,Private,shadow_4
ADI-47206,131,Private,shadow_4
ADI-47094,132,Public,shadow_4
ADI-47207,133,Public,shadow_4
ADI-47208,18,Public,shadow_4
ADI-47095,27,Dev,shadow_4
ADI-47096,52,Private,shadow_4
ADI-47097,52,Private,shadow_4
ADI-47298,134,Dev,shadow_4
ADI-47299,6,Dev,shadow_4
ADI-47098,135,Dev,shadow_4
ADI-47212,136,Public,shadow_4
ADI-47214,137,Public,shadow_4
ADI-47102,138,Dev,shadow_4
ADI-47103,139,Dev,shadow_4
ADI-47107,6,Dev,shadow_4
ADI-47220,140,Dev,shadow_4
ADI-47111,27,Dev,shadow_4
ADI-47303,141,Dev,shadow_4
ADI-47221,142,Dev,shadow_4
ADI-47222,143,Dev,shadow_4
ADI-47305,46,Private,shadow_4
ADI-47114,144,Dev,shadow_4
ADI-47226,145,Public,shadow_4
ADI-47227,27,Dev,shadow_4
ADI-47118,146,Dev,shadow_4
ADI-47306,4,Dev,shadow_4
ADI-47267,147,Dev,shadow_4
ADI-47307,148,Public,shadow_4
ADI-47228,27,Dev,shadow_4
ADI-47310,149,Public,shadow_4
ADI-47229,46,Private,shadow_4
ADI-47230,136,Public,shadow_4
ADI-47124,150,Public,shadow_4
ADI-47125,151,Private,shadow_4
ADI-47127,152,Public,shadow_4
ADI-47234,132,Public,shadow_4
ADI-47312,23,Dev,shadow_4
ADI-47236,153,Private,shadow_4
ADI-47249,86,Dev,shadow_4
ADI-47129,154,Dev,shadow_4
ADI-47131,155,Dev,shadow_4
ADI-47246,156,Dev,shadow_4
ADI-47133,46,Private,shadow_4
ADI-47134,27,Dev,shadow_4
ADI-47316,157,Dev,shadow_4
ADI-47239,158,Private,shadow_4
ADI-47240,159,Dev,shadow_4
ADI-47241,160,Dev,shadow_4
ADI-47139,161,Private,shadow_4
ADI-47181,8,Dev,shadow_4
ADI-47248,162,Dev,shadow_4
ADI-47141,163,Public,shadow_4
ADI-47250,86,Dev,shadow_4
ADI-47251,164,Public,shadow_4
ADI-47252,165,Private,shadow_4
ADI-47145,27,Dev,shadow_4
ADI-47254,166,Dev,shadow_4
ADI-47146,14,Private,shadow_4
ADI-47147,167,Private,shadow_4
ADI-45489,168,Dev,shadow_4
ADI-47165,169,Dev,shadow_4
ADI-47148,170,Dev,shadow_4
ADI-47159,171,Dev,shadow_4
ADI-47156,172,Public,shadow_4
ADI-47154,173,Public,shadow_4
ADI-47263,174,Private,shadow_4
ADI-47160,175,Public,shadow_4
ADI-47265,86,Dev,shadow_4
ADI-47163,176,Private,shadow_4
ADI-47126,46,Private,shadow_4
ADI-47080,177,Public,shadow_4
ADI-47088,178,Private,shadow_4
ADI-47210,84,Public,shadow_4
ADI-47211,179,Private,shadow_4
ADI-47101,180,Public,shadow_4
ADI-47108,181,Private,shadow_4
ADI-47110,35,Dev,shadow_4
ADI-47115,182,Private,shadow_4
ADI-47128,183,Public,shadow_4
ADI-47314,41,Dev,shadow_4
ADI-47315,54,Private,shadow_4
ADI-47242,35,Dev,shadow_4
ADI-47136,184,Dev,shadow_4
ADI-47138,41,Dev,shadow_4
ADI-47142,185,Dev,shadow_4
ADI-47144,186,Dev,shadow_4
ADI-47157,187,Dev,shadow_4
ADI-47150,84,Public,shadow_4
ADI-47164,188,Dev,shadow_4
ADI-45411,36,Dev,shadow_4
ADI-45488,189,Private,shadow_4
ADI-47285,23,Dev,shadow_4
ADI-46713,46,Private,shadow_4
ADI-46708,23,Dev,shadow_4
ADI-45406,14,Private,shadow_4
ADI-46704,86,Dev,shadow_4
ADI-46706,102,Private,shadow_4
ADI-45430,27,Dev,shadow_4
