target,tag,model,role,boot_mean,boot_lo,boot_hi,n
HIC,SEQ_SIMPLE,Ridge_grid,Public,0.5275446330219361,0.3593937715520927,0.6723990923324271,81
HIC,SEQ_SIMPLE,Ridge_grid,Private,0.28916294895336425,0.09256271106295415,0.4866555272347459,81
HIC,IMGT_POS_HL,ElasticNet,Public,0.2221739994505031,-0.000887530344533218,0.43659584954438246,81
HIC,IMGT_POS_HL,ElasticNet,Private,0.12799960241946004,-0.10336019200481357,0.34120480893589505,81
HIC,GERMLINE_REL,ElasticNet,Public,0.20464748630905297,-0.027308137326142106,0.39294573752384326,81
HIC,GERMLINE_REL,ElasticNet,Private,0.4693895056175893,0.30848969414286753,0.6285453372118758,81
HIC,PLM_ESM1B,ElasticNet,Public,0.4800723562549382,0.2918005015494759,0.6292596202451675,81
HIC,PLM_ESM1B,ElasticNet,Private,0.32855764201063764,0.10926089686742557,0.5127986810723365,81
HIC,PLM_ESM1B_PCA64,Ridge,Public,0.4767557821879444,0.2911327774674033,0.639289430512362,81
HIC,PLM_ESM1B_PCA64,Ridge,Private,0.2582628957234752,0.01904533763201333,0.44433605220365197,81
HIC,PLM_ESM2_rank,Ridge_grid,Public,0.4208926852223132,0.2323307968176449,0.5863298808188676,81
HIC,PLM_ESM2_rank,Ridge_grid,Private,0.27135653881064037,0.06368149539116916,0.46488725666376635,81
HIC,ESMFN_STRUCTURE,ElasticNet,Public,0.4658938774474541,0.29246303029253484,0.6398732589735732,81
HIC,ESMFN_STRUCTURE,ElasticNet,Private,0.5376316755991665,0.3689861290344151,0.6965890716898605,81
HIC,FUSION_ESM2_IMGT,ElasticNet,Public,0.38406035741930217,0.16300586223783803,0.6143895352695043,81
HIC,FUSION_ESM2_IMGT,ElasticNet,Private,0.24814196170804642,0.042546900699667864,0.45523799660099407,81
HIC,RESID_PLM_ESM2__ESMFN_STRUCTURE,Ridge_stack,Public,0.3053902237365096,0.06696636961466293,0.5193139983116157,81
HIC,RESID_PLM_ESM2__ESMFN_STRUCTURE,Ridge_stack,Private,0.363034776429025,0.16516952431228887,0.5464908601379694,81
HIC,ENSEMBLE_NNLS,nonneg_ridge,Public,0.3056540425602763,0.0693324154782173,0.5130166170587757,81
HIC,ENSEMBLE_NNLS,nonneg_ridge,Private,0.36348035570457954,0.16565904681458943,0.5425977189701944,81
HIC,NGRAM_HL_3,Ridge_grid,Public,0.3328437421326747,0.10325316872005448,0.5350232048019291,81
HIC,NGRAM_HL_3,Ridge_grid,Private,0.24160644003091092,0.02270064404405808,0.4420898519261638,81
HIC,ENSEMBLE_RANKMEAN,rank_mean,Public,0.3103253894349321,0.0667996319825217,0.4968715398105698,81
HIC,ENSEMBLE_RANKMEAN,rank_mean,Private,0.36439655924331193,0.15126092242879283,0.5419996589627082,81
TmApp,SEQ_SIMPLE,ElasticNet,Public,0.42055803337058933,0.21726495788848457,0.5810087000842448,81
TmApp,SEQ_SIMPLE,ElasticNet,Private,0.3130299985021013,0.11568324317486181,0.49146075773022585,81
TmApp,IMGT_POS_HL,Ridge_grid,Public,0.1106504777684873,-0.09233988530713164,0.32762123441000085,81
TmApp,IMGT_POS_HL,Ridge_grid,Private,0.4199951818215185,0.24423490090485434,0.5823114859063327,81
TmApp,PLM_ABLANG2,ElasticNet,Public,0.3532388219205235,0.1519667424736077,0.5154927219395903,81
TmApp,PLM_ABLANG2,ElasticNet,Private,0.5891782746061826,0.44789199976676225,0.720983701214399,81
TmApp,PLM_ABLANG2_PCA64,SVR_RBF,Public,0.38718909234245075,0.170363957042371,0.5604692466567193,81
TmApp,PLM_ABLANG2_PCA64,SVR_RBF,Private,0.5681512299650273,0.4146749697605612,0.6956983177385709,81
TmApp,SEQ_CDR_gauss,Ridge_grid,Public,0.4512053632265017,0.24668105691666564,0.6309660509745172,81
TmApp,SEQ_CDR_gauss,Ridge_grid,Private,0.30754309632266386,0.09433067308695815,0.4975978537824188,81
TmApp,ESMFN_STRUCTURE,Ridge_grid,Public,0.4447782593175767,0.26162017469071575,0.599367109191928,81
TmApp,ESMFN_STRUCTURE,Ridge_grid,Private,0.24629254668042544,0.039850131389875275,0.44231711795717865,81
TmApp,FUSION_ESM2_IMGT,Ridge_grid,Public,0.3831030410602713,0.1755599665441386,0.5638777652400183,81
TmApp,FUSION_ESM2_IMGT,Ridge_grid,Private,0.4575247951055151,0.27433737716835593,0.6178165670515933,81
TmApp,RESID_BIO_SHORTCUT__PLM_ESM2,Ridge_stack,Public,0.4903485432329838,0.301013652372197,0.6613527346570854,81
TmApp,RESID_BIO_SHORTCUT__PLM_ESM2,Ridge_stack,Private,0.3728525458535451,0.16801029217676652,0.540161472399461,81
TmApp,ENSEMBLE_NNLS,nonneg_ridge,Public,0.49344138051308656,0.295331923970303,0.6563961073589516,81
TmApp,ENSEMBLE_NNLS,nonneg_ridge,Private,0.3746796240780257,0.1622402934764541,0.5396114173285157,81
TmApp,NGRAM_HL_3,Ridge_grid,Public,0.2938152002367551,0.06063755934394425,0.48951645558353807,81
TmApp,NGRAM_HL_3,Ridge_grid,Private,0.40780588230310755,0.20510253192764988,0.5887552133517033,81
TmApp,PLM_ABLANG2_PCA32,SVR_RBF,Public,0.3863417883304771,0.2021330133706327,0.5586472514005368,81
TmApp,PLM_ABLANG2_PCA32,SVR_RBF,Private,0.5708796543559287,0.4079014115745538,0.7038800324859524,81
