target,tag,model,mean_spearman,sd_spearman,n_eval
HIC,ESMFN_STRUCTURE,ElasticNet,0.5795807496937042,0.14294560520202093,20
HIC,ENSEMBLE_NNLS,nonneg_ridge,0.5709781899146693,,1
HIC,ENSEMBLE_RANKMEAN,rank_mean,0.5503644847297267,,1
HIC,ESMFN_STRUCTURE,PLS,0.5447029270535628,0.11607224044470492,20
HIC,ESMFN_STRUCTURE,Ridge_grid,0.544684384854679,0.18078767665926113,20
HIC,PLM_ESM1B_PCA64,Ridge,0.5170986454831569,0.2017550997118062,20
HIC,FUSION_ESM2_IMGT,ElasticNet,0.516181176091743,0.21128757811012766,20
HIC,PLM_ESM1B,ElasticNet,0.5084231458903997,0.16076057726689677,20
HIC,PLM_ESM2_PLS4,PLS,0.5073471405984441,0.18966057429510577,20
HIC,FUSION_ESM2_BIO_ESMFN,ElasticNet,0.4954047963033533,0.16733424581956247,20
HIC,FUSION_ESM2_ESMFN,ElasticNet,0.4945918635628819,0.16103395935474743,20
HIC,FUSION_ESM2_IMGT,Ridge_grid,0.49296475643352133,0.16972280606561874,20
HIC,ABB_STRUCTURE,ElasticNet,0.4855415358464702,0.14491152142794553,20
HIC,PLM_ESM2_rank,Ridge_grid,0.473145855040394,0.14247799936908195,20
HIC,FUSION_ESM2_ESMFN,Ridge_grid,0.4622682839117272,0.2051080354362884,20
HIC,PLM_ESM2_PCA64,Ridge,0.460925695380278,0.17276288292884362,20
HIC,FUSION_ESM2_BIO_ESMFN,Ridge_grid,0.45776605655364877,0.20257823439923417,20
HIC,RESID_PLM_ESM2__ESMFN_STRUCTURE,Ridge_stack,0.4504526700992264,,1
HIC,PLM_ESM1B_PLS4,PLS,0.45040827507587267,0.1471034339846577,20
HIC,PLM_ESM2_gauss,Ridge_grid,0.44868082538667664,0.16031975083896485,20
HIC,FUSION_ESM2_SEQ,Ridge_grid,0.44471710071789144,0.17863261254702367,20
HIC,PLM_ESM2_PLS8,PLS,0.4433983897908103,0.16056646473370495,20
HIC,IMGT_POS_HL,ElasticNet,0.44154363846949307,0.10986691630775607,20
HIC,PLM_ESM2_CDR6,Ridge_grid,0.4343127364137496,0.14676433182187335,20
HIC,PLM_ESM2_PCA64,SVR_RBF,0.43286053398099994,0.2140531395337681,20
HIC,ABB_STRUCTURE,Ridge_grid,0.4310604305614259,0.13098603735455697,20
HIC,IMGT_POS_H,ElasticNet,0.42687430621613476,0.11187418252699632,20
HIC,FUSION_ESM2_BIO,Ridge_grid,0.4236118013267194,0.14925214892544011,20
HIC,PLM_ESM2,Ridge_grid,0.4195102197835682,0.1524671706312709,20
