target,tag,model,mean_spearman,sd_spearman,n_eval
TmApp,PLM_ABLANG2_PCA64,SVR_RBF,0.4800135810299845,0.09030465906468838,20
TmApp,PLM_ABLANG2_PCA32,SVR_RBF,0.47685845556025946,0.10447074860312668,20
TmApp,PLM_ABLANG2,ElasticNet,0.47638464771955435,0.11071818360655745,20
TmApp,PLM_ABLANG2,Ridge_grid,0.4737631168850909,0.09214164692738613,20
TmApp,PLM_ESM1B,Ridge_grid,0.4716835803114742,0.16897239920774154,20
TmApp,PLM_ABLANG2_PCA32,Ridge,0.4605238760618956,0.08538537884250536,20
TmApp,IMGT_POS_HL,Ridge_grid,0.45591876465615383,0.1383564548295304,20
TmApp,PLM_ESM1B_PLS2,PLS,0.4535801641375402,0.1083561893413853,20
TmApp,PLM_ESM1B_PLS16,PLS,0.45320420869210043,0.1253234284856579,20
TmApp,PLM_ESM1B_PCA64,Ridge,0.4527020435247352,0.19883647965594456,20
TmApp,PLM_ABLANG2_PLS4,PLS,0.4525359873906213,0.08106308935746942,20
TmApp,PLM_ESM1B_PLS8,PLS,0.44743924684569303,0.1887011274086014,20
TmApp,ENSEMBLE_NNLS,nonneg_ridge,0.4461473104446746,,1
TmApp,PLM_ABLANG2_PLS8,PLS,0.4446936948627117,0.0932212458302542,20
TmApp,PLM_ESM1B,ElasticNet,0.4444007443071259,0.17393304194264333,20
TmApp,ENSEMBLE_RANKMEAN,rank_mean,0.4440783698858511,,1
TmApp,BIO_SHORTCUT,PLS,0.43071993269031666,0.1886964670446534,20
TmApp,PLM_ESM1B_PLS4,PLS,0.4261579696566747,0.177359729853801,20
TmApp,PLM_ESM1B_PCA64,SVR_RBF,0.4240190614514874,0.18765496890456174,20
TmApp,BIO_SHORTCUT,Ridge_grid,0.42365841959139977,0.18968607926210107,20
TmApp,BIO_SHORTCUT,ElasticNet,0.4228066034418359,0.19254299267814776,20
TmApp,GERMLINE_REL,ElasticNet,0.41767154810019236,0.1498031105316253,20
TmApp,PLM_ABLANG2_PCA16,Ridge,0.4142859675531466,0.08246686922623767,20
TmApp,PLM_ESM2_PCA16,SVR_RBF,0.4087141473840158,0.19671743504057473,20
TmApp,GERMLINE_REL,PLS,0.40758184693294125,0.1599101087951189,20
TmApp,PLM_ABLANG2_PLS16,PLS,0.4075098129793215,0.14108640133295788,20
TmApp,PLM_ESM1B_PCA32,Ridge,0.40539546302316937,0.17562256641347418,20
TmApp,PLM_ABLANG2_PCA64,Ridge,0.40513052023171614,0.1258635840970221,20
TmApp,SEQ_CDR,Ridge_grid,0.40056501194032956,0.0860730242369756,20
TmApp,PLM_ESM2_PCA32,SVR_RBF,0.3924207370979432,0.15968271794602681,20
TmApp,PLM_ESM1B_PCA16,Ridge,0.3916467217316703,0.11660703789126461,20
TmApp,RESID_BIO_SHORTCUT__PLM_ESM2,Ridge_stack,0.390720807796744,,1
TmApp,PLM_ESM1B_PCA8,Ridge,0.3906639686026324,0.10882188408407446,20
TmApp,PLM_ESM2_PCA8,Ridge,0.39039469182904585,0.18777318005423466,20
TmApp,PLM_ESM2_PCA64,SVR_RBF,0.3901852528995167,0.15471896759433598,20
TmApp,SEQ_CDR_gauss,Ridge_grid,0.3873980887385286,0.09151587144108556,20
TmApp,PLM_ABLANG2_PLS2,PLS,0.38573306697953785,0.0768321459065942,20
TmApp,SEQ_CDR_rank,Ridge_grid,0.3851275674999165,0.07697771464697917,20
TmApp,PLM_ESM2_PCA16,Ridge,0.38510278671662534,0.1664729743252988,20
TmApp,PLM_ESM1B_PCA32,SVR_RBF,0.38483895019128667,0.20304749140316616,20
TmApp,PLM_ESM2_CDR6,Ridge_grid,0.38193958699643804,0.15485617996323534,20
TmApp,PLM_ABLANG2_PCA8,Ridge,0.3811669920213626,0.09094096722554498,20
TmApp,PLM_ESM2_PCA32,Ridge,0.38083527711243104,0.13171980234308642,20
TmApp,GERMLINE_REL,Ridge_grid,0.36934951617466555,0.23716463128916665,20
TmApp,PLM_ESM2_PCA8,SVR_RBF,0.36846916710263405,0.12018115471469179,20
TmApp,PLM_ESM2_PLS2,PLS,0.365022756432109,0.20880011479910593,20
TmApp,FUSION_ESM2_IMGT,Ridge_grid,0.3619450772997558,0.19886398473507524,20
TmApp,NGRAM_HL_3,Ridge_grid,0.35955950067911246,0.1823418160277989,20
TmApp,ESMFN_STRUCTURE,Ridge_grid,0.35746327864252087,0.09476070188754328,20
TmApp,FUSION_ESM2_SEQ,Ridge_grid,0.3492174215732663,0.1638411806225669,20
TmApp,PLM_ESM2_gauss,Ridge_grid,0.34771862419295246,0.16832630791124573,20
TmApp,PLM_ESM2_PCA64,Ridge,0.34639466521887974,0.14135287236140603,20
TmApp,FUSION_ESM2_BIO,Ridge_grid,0.3432359335093146,0.16742470610154594,20
TmApp,PLM_ESM2_rank,Ridge_grid,0.34029826863293183,0.18959012353102797,20
TmApp,PLM_ABLANG2_PCA16,SVR_RBF,0.3401866458956853,0.1742505907286794,20
TmApp,FUSION_ESM2_BIO_ESMFN,Ridge_grid,0.3380724385836031,0.17505999818727525,20
TmApp,FUSION_ESM2_ESMFN,Ridge_grid,0.3368072842725044,0.17141411384697988,20
TmApp,PLM_ESM2_PLS4,PLS,0.3347418873140646,0.17718521003151647,20
TmApp,PLM_ESM2,Ridge_grid,0.33432739013273927,0.17494963177576317,20
TmApp,PLM_ESM2_PLS8,PLS,0.33409288881345717,0.1615709344953994,20
TmApp,PLM_ESM2_CDR6,ElasticNet,0.3301838043516455,0.1109372740173288,20
TmApp,FUSION_ESM2_IMGT,ElasticNet,0.3141367581099987,0.1479450446521733,20
TmApp,SEQ_SIMPLE,ElasticNet,0.3113697572320793,0.08467548621079837,20
TmApp,IMGT_POS_L,Ridge_grid,0.30181134031634654,0.10386232535271286,20
TmApp,SEQ_SIMPLE,Ridge_grid,0.29349249881512307,0.10129689180467633,20
TmApp,SEQ_SIMPLE,PLS,0.2933912965405386,0.08065068759440693,20
TmApp,NGRAM_HL_3,ElasticNet,0.29324260278041225,0.22400598633729094,20
TmApp,PLM_ESM1B_PCA16,SVR_RBF,0.29239406679649627,0.20879683017272227,20
TmApp,IMGT_POS_HL,ElasticNet,0.29075976656846214,0.10226070385512226,20
TmApp,NGRAM_HL_2,Ridge_grid,0.2898773728523555,0.11968197117499749,20
TmApp,SEQ_CDR,PLS,0.2807722698777864,0.11228357897629902,20
TmApp,ESMFN_STRUCTURE,PLS,0.2797678992025784,0.15108225220767418,20
TmApp,RESID_SEQ_SIMPLE__ESMFN_STRUCTURE,Ridge_stack,0.2768003711751107,,1
TmApp,ABB_STRUCTURE,Ridge_grid,0.2712437930255244,0.21511377899648082,20
TmApp,FUSION_ESM2_SEQ,ElasticNet,0.27048773172878426,0.17895167051334945,20
TmApp,PLM_ESM1B_PCA8,SVR_RBF,0.27024902922940114,0.15590654572063417,20
TmApp,ESMFN_STRUCTURE,ElasticNet,0.26309124388140437,0.11712081459538312,20
TmApp,PLM_ESM2_PLS16,PLS,0.2560339881001852,0.18638015373407796,20
TmApp,MULTITASK_EN_ESM2,MultiTaskEN,0.2540366891396231,,1
TmApp,SEQ_CDR,ElasticNet,0.25190727096482457,0.059425426037904974,20
TmApp,FUSION_ESM2_BIO,ElasticNet,0.2510344673432615,0.1923472724924075,20
TmApp,ABB_STRUCTURE,kNN,0.25091835510051863,0.13239147020035685,20
TmApp,RESID_PLM_ESM2__ESMFN_STRUCTURE,Ridge_stack,0.2408862524843495,,1
TmApp,IMGT_POS_H,Ridge_grid,0.240877429014904,0.17469173030879326,20
TmApp,FUSION_ESM2_BIO_ESMFN,ElasticNet,0.23178744451423078,0.1825990597825596,20
TmApp,PLM_ESM2,ElasticNet,0.22742356136760775,0.17687541104372534,20
TmApp,NGRAM_HL_2,ElasticNet,0.22346608217301225,0.10239223729097074,20
TmApp,FUSION_ESM2_ESMFN,ElasticNet,0.2196883623910358,0.18737426699631343,20
TmApp,ABB_STRUCTURE,ElasticNet,0.18887554763605102,0.22719873267708005,20
TmApp,PLM_ABLANG2_PCA8,SVR_RBF,0.17354370157615504,0.13104182610131965,20
TmApp,ABB_STRUCTURE,PLS,0.1667037344720862,0.20492205578375078,20
TmApp,ESMFN_STRUCTURE,kNN,0.16346329493073544,0.24669512751193678,20
TmApp,IMGT_POS_L,ElasticNet,0.1343294079428392,0.1360088231128305,20
