feature,Train,Public,Private
vh_len,0.11800414292337841,-0.0964895348003319,0.04020995094894858
vl_len,0.08810771939561766,0.06380437372478748,-0.15368372496456933
H_CDR3_len,0.12834781448662508,-0.07643671548096942,0.020239280533361232
L_CDR3_len,-0.26771164158348243,-0.1453858450050121,-0.03874422144771692
PL_combined_germline_distance,-0.1979736584794006,-0.20388242599767514,-0.2971443681550774
PL_vh_germline_distance,-0.21547220314341112,-0.28521555611417193,-0.3196848809040576
PL_vl_germline_distance,-0.15003789585160912,-0.06947187145868775,-0.2633141299002309
PL_anarci_vh_germline_distance,-0.21547220314341112,-0.28521555611417193,-0.3196848809040576
A2_HL_gravy,0.04348807554885227,0.11362912021556851,0.08321846879928607
A2_HL_charge_ph7,0.25477669239864104,0.3275824067167117,0.13525707296615264
A2_HL_pI,0.23523738055722215,0.3340646391214747,0.1331578341055479
