target,slot,tag,model,stage,cv_mae,cv_rmse,cv_pearson,cv_spearman,cv_r2,cv_cal_slope
HIC,ensemble,ENSEMBLE_NNLS,oof_nnls,resid_ens,0.4690724693408302,0.6807230336642979,0.5478729088091184,0.5268270535627539,0.27175010861477294,1.2410650535299745
HIC,structure,ESMFN_STRUCTURE,ElasticNet,nested_or_screen,0.47575371671015965,0.6826728743129012,0.5421446907786494,0.5123319223915284,0.26245272103659345,1.306907295383418
HIC,plm_nonlinear,PLM_ESM2_PCA64,SVR_RBF,nested_or_screen,0.47885844899423424,0.7552013317862284,0.4740054011527573,0.46917254111728296,0.09149748275013045,1.9055480424902398
HIC,calibrated_ensemble,CAL_ENSEMBLE_NNLS,linear_oof,resid_ens,0.48243421138883924,0.6857782752437529,0.5478729088091184,0.5268270535627539,0.2610686780028055,1.0561723092267703
HIC,gbdt,FUSION_ESM2_ESMFN,XGB_L1,nested_or_screen,0.49684709571925073,0.7610059397142507,0.43230587506217055,0.45919378267733324,0.08413193415808788,2.0764286288104485
HIC,constant,CONST_MEDIAN,constant,baseline,0.5173882575757575,0.8451646061365607,,,-0.12894849679317852,
HIC,simple_sequence,SEQ_SIMPLE,Ridge_grid,nested_or_screen,0.5202004127475283,0.7362484460173159,0.4289317026354915,0.39854469301325396,0.13892981389950806,1.397406925049545
HIC,plm_linear,PLM_ESM2,ElasticNet,nested_or_screen,0.5249186407789671,0.7389366092826347,0.39537311873574915,0.4143846574995525,0.13564685206372712,1.1838559793068633
HIC,residual,RESID_ESMFN_STRUCTURE__PLM_ESM2,OOF_residual,resid_ens,0.7092433795835689,0.9444298216480971,0.4380934494750178,0.46504538436606374,-0.5349644211015623,0.3896423965447696
TmApp,ensemble,ENSEMBLE_RIDGE,oof_ridge,resid_ens,2.614768977404116,3.4575859958995503,0.5956025930836575,0.5933066312623116,0.3182393270304691,0.952988066106409
TmApp,calibrated_ensemble,CAL_ENSEMBLE_NNLS,linear_oof,resid_ens,2.6847851203541078,3.531937566325664,0.5970700937540437,0.5971836442552787,0.28660113894036093,0.9593255547950902
TmApp,fusion,FUSION_ABLANG2_BIO,ElasticNet,nested_or_screen,2.8931042073373794,3.7550994274666816,0.5573986844542844,0.5548516858914201,0.20756168920049975,1.0485461045729036
TmApp,plm_nonlinear,PLM_ABLANG2_PCA32,SVR_RBF,nested_or_screen,3.00287839692191,3.878912349916019,0.532203344820323,0.5378419469271184,0.1466518005869911,1.1446435415889333
TmApp,plm_linear,PLM_ABLANG2,ElasticNet,nested_or_screen,3.0845984281225522,3.958570526142139,0.5019304570353993,0.5023653760857081,0.1075577999399409,1.0405550678771494
TmApp,bio,BIO,Ridge_grid,nested_or_screen,3.128306389204484,4.053639528236377,0.4099883179762181,0.415022599181533,0.07112369949827153,1.0178267303765878
TmApp,imgt_germline,GERMLINE_REL,ElasticNet,nested_or_screen,3.193401114243618,4.074696449984118,0.43642351685760855,0.4446818205938851,0.06679513612395148,1.1384409479717406
TmApp,gbdt,FUSION_ABLANG2_BIO,LGB_L1,nested_or_screen,3.2486863282093323,4.176914104749838,0.4390473975849737,0.4577507249789322,-0.01044915309695733,1.6919417976340774
TmApp,residual,RESID_BIO__PLM_ABLANG2,OOF_residual,resid_ens,3.2599485860833193,4.156262425675264,0.5303973433624399,0.5274628457277879,0.01977537372006569,0.5609520477321086
TmApp,constant,CONST_MEDIAN,constant,baseline,3.4360479797979795,4.472198519989574,,,-0.11659059029647863,
