target,tag,model,cv_mae
HIC,ENSEMBLE_NNLS,oof_nnls,0.4690724693408302
HIC,ENSEMBLE_RIDGE,oof_ridge,0.4742695302718051
HIC,ENSEMBLE_MEAN,oof_combine,0.47501592288206657
HIC,ESMFN_STRUCTURE,ElasticNet,0.47809663186386087
HIC,ENSEMBLE_MEDIAN,oof_combine,0.4781347522762031
HIC,PLM_ESM2_PCA64,SVR_RBF,0.47853771002843204
HIC,CAL_ENSEMBLE_NNLS,linear_oof,0.48243421138883924
HIC,ESMFN_STRUCTURE,CAT_MAE,0.48416848993942885
HIC,FUSION_ESM2_ESMFN,XGB_L1,0.48509300436865194
HIC,FUSION_ESM2_ESMFN,CAT_MAE,0.48617942453164503
HIC,ESMFN_STRUCTURE,XGB_L1,0.4876596489050171
HIC,PLM_ESM2,LGB_L1,0.4880829146204414
HIC,ESMFN_STRUCTURE,LGB_L1,0.48834325558572195
HIC,PLM_ESM1B_PCA64,SVR_RBF,0.4890541363667519
HIC,FUSION_ESM2_ESMFN,ElasticNet,0.48915062994328584
HIC,FUSION_ESM2_ESMFN,LGB_L1,0.4896348275727499
HIC,PLM_ESM2_PCA32,SVR_RBF,0.4899179271474558
HIC,ABB_STRUCTURE,ElasticNet,0.4904424733623142
HIC,PLM_ESM2,XGB_L1,0.4961541592101858
HIC,PLM_ESM1B_PCA32,SVR_RBF,0.49824538583025674
HIC,PLM_ESM2_PCA16,SVR_RBF,0.4983268891470859
HIC,PLM_ESM2,CAT_MAE,0.4989850057940735
HIC,ESMFN_STRUCTURE,XGB_L2,0.4994684154303386
HIC,FUSION_ESM2_ESMFN,XGB_L2,0.5034900810318763
HIC,PLM_ESM2,ElasticNet,0.5120002473681636
HIC,PLM_ESM1B_PCA16,SVR_RBF,0.5124325602740808
HIC,CONST_MEDIAN,constant,0.5173882575757575
HIC,PLM_ESM1B,ElasticNet,0.5181008852939707
HIC,SEQ_SIMPLE,Ridge_grid,0.5224560779307748
HIC,SEQ_SIMPLE,ElasticNet,0.5226191145089534
HIC,IMGT_POS_HL,Ridge_grid,0.528358118937939
HIC,BIO,Ridge_grid,0.5350545665969102
HIC,BIO,ElasticNet,0.5395831761510946
HIC,PLM_ESM2,XGB_L2,0.5412238564192646
HIC,SEQ_CDR,Ridge_grid,0.5420634467681971
HIC,GERMLINE_REL,Ridge_grid,0.550427018395944
HIC,PLM_ABLANG2,ElasticNet,0.5532642553024225
HIC,CONST_MEAN,constant,0.5810835835203894
HIC,RESID_ESMFN_STRUCTURE__PLM_ESM2,OOF_residual,0.7092433795835689
HIC,RESID_SEQ_SIMPLE__ESMFN_STRUCTURE,OOF_residual,0.7975565308272315
HIC,RESID_PLM_ESM2__ESMFN_STRUCTURE,OOF_residual,0.8089070248939021
TmApp,ENSEMBLE_RIDGE,oof_ridge,2.614768977404116
TmApp,ENSEMBLE_NNLS,oof_nnls,2.631059568146845
TmApp,CAL_ENSEMBLE_NNLS,linear_oof,2.6847851203541078
TmApp,ENSEMBLE_MEDIAN,oof_combine,2.7181509320266892
TmApp,ENSEMBLE_MEAN,oof_combine,2.7366278358240357
TmApp,FUSION_ABLANG2_BIO,ElasticNet,2.817176155452746
TmApp,PLM_ABLANG2_PCA32,SVR_RBF,2.9995140393720163
TmApp,PLM_ABLANG2,ElasticNet,3.003532705729844
TmApp,PLM_ABLANG2_PCA64,SVR_RBF,3.049126449250933
TmApp,GERMLINE_REL,Ridge_grid,3.126313919762068
TmApp,BIO,Ridge_grid,3.1294770188611736
TmApp,GERMLINE_REL,ElasticNet,3.160515619306378
TmApp,FUSION_ABLANG2_BIO,LGB_L1,3.1931711672429524
TmApp,PLM_ABLANG2,LGB_L1,3.1952151545699636
TmApp,PLM_ESM2_PCA64,SVR_RBF,3.1955448908485735
TmApp,SEQ_CDR,Ridge_grid,3.195737876539779
TmApp,BIO,ElasticNet,3.2003614865827488
TmApp,PLM_ABLANG2_PCA16,SVR_RBF,3.2126886420202934
TmApp,FUSION_ABLANG2_BIO,XGB_L2,3.224833366003904
TmApp,IMGT_POS_HL,Ridge_grid,3.227536812687665
TmApp,PLM_ABLANG2,XGB_L2,3.2362964288152827
TmApp,PLM_ESM2,ElasticNet,3.2568105501906595
TmApp,RESID_BIO__PLM_ABLANG2,OOF_residual,3.2599485860833193
TmApp,SEQ_SIMPLE,Ridge_grid,3.2650124441340287
TmApp,IMGT_POS_HL,ElasticNet,3.2736772721332916
TmApp,ESMFN_STRUCTURE,ElasticNet,3.282850575724978
TmApp,SEQ_SIMPLE,ElasticNet,3.2878298463324387
TmApp,PLM_ABLANG2,XGB_L1,3.2961369206206967
TmApp,BIO,XGB_L2,3.2981328781204993
TmApp,RESID_PLM_ABLANG2__BIO,OOF_residual,3.2982608708705228
TmApp,BIO,XGB_L1,3.3094257239139444
TmApp,FUSION_ABLANG2_BIO,XGB_L1,3.3098997920450537
TmApp,PLM_ESM2_PCA32,SVR_RBF,3.3112936814318132
TmApp,PLM_ESM2_PCA16,SVR_RBF,3.3126171055907543
TmApp,PLM_ABLANG2,CAT_MAE,3.340177921969523
TmApp,BIO,CAT_MAE,3.3715055579098228
TmApp,BIO,LGB_L1,3.4135935392965195
TmApp,FUSION_ABLANG2_BIO,CAT_MAE,3.432447675169675
TmApp,CONST_MEDIAN,constant,3.4360479797979795
TmApp,CONST_MEAN,constant,3.4469720351664797
TmApp,RESID_IMGT_POS_HL__PLM_ABLANG2,OOF_residual,3.49752314774756
