number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_median_best_iteration,state
0,0.4665570704532056,2026-08-29 13:24:18.004773,2026-08-29 13:24:20.142466,0 days 00:00:02.137693,0.6370703416730976,1.6400070611991433,5,1,0.00012879774665637312,0.08136059435361043,0.8554759680630337,128.0,COMPLETE
1,0.48904298618093517,2026-08-29 13:24:20.343146,2026-08-29 13:24:22.857628,0 days 00:00:02.514482,0.7075757747244491,2.5793597091982905,3,16,0.7071703546860212,0.9199218117108149,0.9569845733875272,1197.0,COMPLETE
2,0.4590115258147634,2026-08-29 13:24:23.036252,2026-08-29 13:24:24.772211,0 days 00:00:01.735959,0.5590582048123864,0.18666594781124668,5,5,0.11241361254543386,0.01004226725834688,0.7929814909538391,162.0,COMPLETE
3,0.48881982253049777,2026-08-29 13:24:24.917719,2026-08-29 13:24:27.399538,0 days 00:00:02.481819,0.9390007186904467,1.465473731062256,3,28,0.4083683177453089,267.3798512677654,0.8306972307165734,1751.0,COMPLETE
4,0.4748189010230313,2026-08-29 13:24:27.578625,2026-08-29 13:24:29.425787,0 days 00:00:01.847162,0.7908434877858475,1.1919567995598155,5,22,0.0007097302243081285,0.012970111320419026,0.9509216568852736,358.0,COMPLETE
5,0.4604236377718753,2026-08-29 13:24:29.571881,2026-08-29 13:24:31.541253,0 days 00:00:01.969372,0.4464475478484617,0.39164840646838384,3,30,0.03739657873399936,0.024267798329980345,0.9885513518432056,394.0,COMPLETE
6,0.48846950952531243,2026-08-29 13:24:31.731992,2026-08-29 13:24:33.567964,0 days 00:00:01.835972,0.6675370135524596,0.5608083535680831,2,29,0.00041070650717544205,0.03531171397612625,0.6572344017848827,430.0,COMPLETE
7,0.4815642057046494,2026-08-29 13:24:33.713253,2026-08-29 13:24:35.449718,0 days 00:00:01.736465,0.6784441916747486,1.1823637366124884,4,22,3.1704024441778354e-05,0.7331960263968932,0.647052089178108,430.0,COMPLETE
8,0.45592712659345197,2026-08-29 13:24:35.628412,2026-08-29 13:24:37.610161,0 days 00:00:01.981749,0.4800776310762248,0.9015566726618287,5,5,0.058677108581580095,0.034388291335624606,0.6154682404877448,251.0,COMPLETE
9,0.4979685614856722,2026-08-29 13:24:37.755674,2026-08-29 13:24:39.702989,0 days 00:00:01.947315,0.7360496232911298,1.7589587418392574,5,3,5.302143100281344,0.5148014098388513,0.7925087619734446,1.0,COMPLETE
10,0.48787599398805864,2026-08-29 13:24:39.870486,2026-08-29 13:24:41.562501,0 days 00:00:01.692015,0.35116753241977516,2.7873200870479913,2,12,0.004754724961563547,0.0013199634505832313,0.5760571224874237,272.0,COMPLETE
11,0.4540481652467498,2026-08-29 13:24:41.708137,2026-08-29 13:24:43.645215,0 days 00:00:01.937078,0.5070654604993574,0.13754273038052722,4,8,0.04935410753794065,0.0010587022808308387,0.7246020754066247,132.0,COMPLETE
12,0.4626828269340188,2026-08-29 13:24:43.835116,2026-08-29 13:24:45.849053,0 days 00:00:02.013937,0.5181106685667789,0.7220043286832063,4,9,0.012389714337172028,0.0012227634549852422,0.7073393312068017,241.0,COMPLETE
13,0.4979685614856722,2026-08-29 13:24:45.972728,2026-08-29 13:24:47.364301,0 days 00:00:01.391573,0.37589030621026664,0.04890283066908788,4,8,19.067263178128247,13.565341303345841,0.5610099011482643,1.0,COMPLETE
14,0.4599325426127223,2026-08-29 13:24:47.543256,2026-08-29 13:24:50.158192,0 days 00:00:02.614936,0.5109442705831785,0.8602917000344804,4,14,0.002469633305588299,0.003614304140598993,0.7114605875448397,282.0,COMPLETE
15,0.48329113297196996,2026-08-29 13:24:50.359514,2026-08-29 13:24:52.384294,0 days 00:00:02.024780,0.45785056401542257,0.968019737908413,4,7,1.1381476715246837,0.15658234942183372,0.6341366441491914,585.0,COMPLETE
16,0.4883110376187325,2026-08-29 13:24:52.562967,2026-08-29 13:24:54.376926,0 days 00:00:01.813959,0.5918698224313717,2.080573908846458,5,11,0.061961300003477764,4.974342960958068,0.7293005745008594,283.0,COMPLETE
17,0.44466986192994923,2026-08-29 13:24:54.611562,2026-08-29 13:24:56.259504,0 days 00:00:01.647942,0.4692377835805509,0.5055542118294392,4,17,0.17663906761845646,0.006489483460564263,0.6031568173496493,367.0,COMPLETE
18,0.4932921304951427,2026-08-29 13:24:56.427136,2026-08-29 13:24:58.563538,0 days 00:00:02.136402,0.4052041081349669,0.37376261066666455,3,18,3.2705670530631283,0.006672145127418595,0.7404777871312801,1216.0,COMPLETE
19,0.4482008244902252,2026-08-29 13:24:58.709477,2026-08-29 13:25:00.800920,0 days 00:00:02.091443,0.8395428403905445,0.012966478988327423,4,20,0.011527939029113853,0.002809382021560565,0.6782156835492094,214.0,COMPLETE
