number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_random_strength,params_rsm,user_attrs_median_best_iteration,state
0,0.5247578900640043,2026-08-29 12:42:26.226534,2026-08-29 12:42:36.207171,0 days 00:00:09.980637,0.5833562535012597,5,0.7905216431037718,1.1388764064136658,0.5159490287115169,29.0,COMPLETE
1,0.5241411357949851,2026-08-29 12:42:36.352126,2026-08-29 12:42:45.377011,0 days 00:00:09.024885,0.5515339291895769,4,0.08995942734630685,0.2661660905421934,0.8000747514718244,9.0,COMPLETE
2,0.5327679078751774,2026-08-29 12:42:45.522485,2026-08-29 12:42:57.437023,0 days 00:00:11.914538,1.3125186818804422,4,0.5826687845738706,0.4250742145400337,0.6665105422009205,13.0,COMPLETE
3,0.5409498913932073,2026-08-29 12:42:57.560260,2026-08-29 12:44:06.491818,0 days 00:01:08.931558,1.9939935587236512,7,0.23795487499752505,1.1046378093491764,0.7845095865618417,2.0,COMPLETE
4,0.5383758689508356,2026-08-29 12:44:06.637241,2026-08-29 12:44:49.441656,0 days 00:00:42.804415,1.2049656525449661,6,0.020882397304002286,0.2569615117218116,0.6325088405974555,7.0,COMPLETE
5,0.5422606000024496,2026-08-29 12:44:49.609371,2026-08-29 12:45:21.635463,0 days 00:00:32.026092,0.351469154463278,6,23.931813827774207,1.2161453362553412,0.8477090417516326,1.0,COMPLETE
6,0.5285308024406792,2026-08-29 12:45:21.780807,2026-08-29 12:45:34.739382,0 days 00:00:12.958575,1.3958166139351151,5,0.05628907258613558,1.5162604819437997,0.35545120041930967,13.0,COMPLETE
7,0.5350266705550547,2026-08-29 12:45:34.862661,2026-08-29 12:46:53.869698,0 days 00:01:19.007037,1.918309712023,7,92.92162900222398,0.6198952314441273,0.6944955057149131,6.0,COMPLETE
8,0.5269175131426845,2026-08-29 12:46:54.070565,2026-08-29 12:47:06.850933,0 days 00:00:12.780368,0.07077128371629082,5,0.011625032072533521,0.6411668974221092,0.5685996695034162,24.0,COMPLETE
9,0.5401599593960312,2026-08-29 12:47:06.996474,2026-08-29 12:47:57.391533,0 days 00:00:50.395059,0.6751307001015392,6,1.1776783445676424,1.0420711566502001,0.8052186776448143,2.0,COMPLETE
10,0.5289296358480512,2026-08-29 12:47:57.537054,2026-08-29 12:48:13.407013,0 days 00:00:15.869959,0.9115202791539079,3,6.152677844496107,1.9752860741510756,0.9864302092054282,9.0,COMPLETE
11,0.5323634989490074,2026-08-29 12:48:13.608292,2026-08-29 12:48:21.977695,0 days 00:00:08.369403,0.5220340170166402,4,0.1367195084910331,0.055612339104896685,0.4419843358168058,20.0,COMPLETE
12,0.5322071813415902,2026-08-29 12:48:22.134523,2026-08-29 12:48:39.615466,0 days 00:00:17.480943,0.14490274756549099,4,1.8340140553268367,1.7497014437447242,0.5159835218941123,11.0,COMPLETE
13,0.5244905860712913,2026-08-29 12:48:39.805571,2026-08-29 12:48:53.275577,0 days 00:00:13.470006,0.816732611456664,3,0.07867710736212952,0.81608980302249,0.9453380355566288,18.0,COMPLETE
14,0.5272624727036241,2026-08-29 12:48:53.487608,2026-08-29 12:49:08.079380,0 days 00:00:14.591772,0.9254587758574345,3,0.05550914142780744,0.7732523476140132,0.9845221437353534,9.0,COMPLETE
15,0.5268212525907509,2026-08-29 12:49:08.202419,2026-08-29 12:49:12.926827,0 days 00:00:04.724408,0.9030128171995772,3,0.1584471926127956,0.060609279680229,0.8917316317660368,10.0,COMPLETE
16,0.5347408252547622,2026-08-29 12:49:13.127705,2026-08-29 12:49:30.442738,0 days 00:00:17.315033,0.3882194753477543,4,0.03950053067597451,0.35168163375327505,0.9107143547560573,6.0,COMPLETE
17,0.5291332143261392,2026-08-29 12:49:30.588024,2026-08-29 12:49:40.935397,0 days 00:00:10.347373,1.6131914968529166,3,0.3176979300278534,0.8652409213896689,0.7446284353526744,5.0,COMPLETE
18,0.5383814510265216,2026-08-29 12:49:41.080938,2026-08-29 12:49:54.516711,0 days 00:00:13.435773,0.7603327050049289,4,3.562092520867764,0.47689048643638116,0.917500809924749,11.0,COMPLETE
19,0.5256985169406914,2026-08-29 12:49:54.706476,2026-08-29 12:50:01.009953,0 days 00:00:06.303477,1.0579207398933452,3,0.10627856744076679,0.2172580215407941,0.7490153824366904,16.0,COMPLETE
