number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_median_best_iteration,state
0,3.4100435991812525,2026-08-29 14:14:43.195486,2026-08-29 14:14:44.943159,0 days 00:00:01.747673,0.5159490287115169,3,31,0.1330830452710967,5,0.0006219136370237089,0.020246844166742006,0.6812551570377835,14.0,COMPLETE
1,3.4455139534883727,2026-08-29 14:14:45.143616,2026-08-29 14:14:46.725057,0 days 00:00:01.581441,0.4881491197255109,3,15,0.9530013913743769,7,0.17810303729855204,0.4645426212783978,0.7486099471193609,1.0,COMPLETE
2,3.4593023255813957,2026-08-29 14:14:46.914466,2026-08-29 14:14:48.784855,0 days 00:00:01.870389,0.7756515715729928,3,50,0.6024828262724831,6,3.294686014746819e-05,0.005054808169844367,0.8508143291581981,1.0,COMPLETE
3,3.453662790697674,2026-08-29 14:14:48.996658,2026-08-29 14:14:50.868479,0 days 00:00:01.871821,0.46422747520056534,3,43,0.18760602333025855,7,0.9111125315005132,0.7188972376977392,0.8236327006574518,1.0,COMPLETE
4,3.395325368603613,2026-08-29 14:14:51.047174,2026-08-29 14:14:52.895281,0 days 00:00:01.848107,0.9948189824016627,5,5,0.5299930857152509,23,0.0010175793605417826,179.22865612934532,0.935588629541977,11.0,COMPLETE
5,3.363103634326562,2026-08-29 14:14:53.018626,2026-08-29 14:14:54.688550,0 days 00:00:01.669924,0.5685996695034162,3,19,0.5210355783251001,3,0.6473064817618691,0.6851979810687185,0.5659235388361655,7.0,COMPLETE
6,3.412117598270928,2026-08-29 14:14:54.844847,2026-08-29 14:14:56.771168,0 days 00:00:01.926321,0.39130793957375193,3,26,0.6221139040318746,7,0.5961318958579598,34.10790248082747,0.6243456294076555,2.0,COMPLETE
7,3.4346096094722873,2026-08-29 14:14:56.894030,2026-08-29 14:14:58.630989,0 days 00:00:01.736959,0.5790807735114661,4,36,0.801857491122601,4,3.6920619335626064e-05,226.09080191624543,0.8047686258073887,1.0,COMPLETE
8,3.4272669181351145,2026-08-29 14:14:58.765180,2026-08-29 14:15:00.803280,0 days 00:00:02.038100,0.7938904491043391,5,15,0.05874353139508637,15,0.031153937069115314,0.7684483673874448,0.8285743972896857,6.0,COMPLETE
9,3.4593023255813957,2026-08-29 14:15:01.014998,2026-08-29 14:15:02.396084,0 days 00:00:01.381086,0.74126878194512,4,50,0.5004279714746291,11,0.0002643862245975746,2.401833769836101,0.7868321773844915,1.0,COMPLETE
10,3.4318867270320275,2026-08-29 14:15:02.530627,2026-08-29 14:15:04.890014,0 days 00:00:02.359387,0.980054106318403,2,20,0.298481525164105,3,12.635164370826926,0.0010057978209447092,0.5511063361005634,2.0,COMPLETE
11,3.486156138699222,2026-08-29 14:15:05.046174,2026-08-29 14:15:06.816904,0 days 00:00:01.770730,0.948303149758714,5,5,0.3978767388086344,29,0.007867287928812227,12.076587686958215,0.9516867463759943,14.0,COMPLETE
12,3.4593023255813957,2026-08-29 14:15:06.962383,2026-08-29 14:15:08.543184,0 days 00:00:01.580801,0.6652491044370912,2,5,0.7023990375546507,3,19.021079966012486,0.07322247830984069,0.9556738450001776,1.0,COMPLETE
13,3.4237072948664307,2026-08-29 14:15:08.677607,2026-08-29 14:15:10.692656,0 days 00:00:02.015049,0.8802697533603638,4,12,0.42680088193357896,16,0.0034147468213816365,202.39857405735555,0.8917414360685294,3.0,COMPLETE
14,3.391379608832052,2026-08-29 14:15:10.838077,2026-08-29 14:15:13.008065,0 days 00:00:02.169988,0.675957278021797,5,23,0.29415189237346084,27,0.07076651189099371,13.67446208806433,0.7113194580209958,1.0,COMPLETE
15,3.3976857064014614,2026-08-29 14:15:13.164719,2026-08-29 14:15:15.067907,0 days 00:00:01.903188,0.5989039171622821,4,25,0.27978777250667947,10,0.10802361741301107,8.522851565388633,0.5544734698494327,3.0,COMPLETE
16,3.3952873408787716,2026-08-29 14:15:15.235823,2026-08-29 14:15:16.961955,0 days 00:00:01.726132,0.6789566431247727,2,22,0.33050517885009445,3,2.4214192651396087,0.11865861816380509,0.6857460345558504,1.0,COMPLETE
17,3.4046009633224545,2026-08-29 14:15:17.118480,2026-08-29 14:15:18.855190,0 days 00:00:01.736710,0.3543748290255048,5,37,0.02233193237048603,31,0.04260128398788106,6.07497886720486,0.6344828507334015,10.0,COMPLETE
18,3.393243402827095,2026-08-29 14:15:19.078304,2026-08-29 14:15:20.804516,0 days 00:00:01.726212,0.5825097453661701,4,31,0.7602396475932776,10,2.9832989118696522,1.9168190543219583,0.7136807123591543,18.0,COMPLETE
19,3.409984204436332,2026-08-29 14:15:21.027940,2026-08-29 14:15:22.864649,0 days 00:00:01.836709,0.6749770531298097,2,18,0.21261294911551643,3,0.010880356269726818,41.72470044126871,0.6067109249595476,3.0,COMPLETE
