number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_random_strength,params_rsm,state
0,0.5053470552196272,2026-08-29 11:29:28.906799,2026-08-29 11:29:45.391084,0 days 00:00:16.484285,0.5833562535012597,5,0.7905216431037718,1.1388764064136658,0.5159490287115169,COMPLETE
1,0.48720784026143377,2026-08-29 11:29:45.567985,2026-08-29 11:29:55.102619,0 days 00:00:09.534634,0.5515339291895769,4,0.08995942734630685,0.2661660905421934,0.8000747514718244,COMPLETE
2,0.4723703400839514,2026-08-29 11:29:55.260132,2026-08-29 11:30:09.503511,0 days 00:00:14.243379,1.3125186818804422,4,0.5826687845738706,0.4250742145400337,0.6665105422009205,COMPLETE
3,0.5097880120055277,2026-08-29 11:30:09.709050,2026-08-29 11:31:14.574658,0 days 00:01:04.865608,1.9939935587236512,7,0.23795487499752505,1.1046378093491764,0.7845095865618417,COMPLETE
4,0.49337654854024926,2026-08-29 11:31:14.785183,2026-08-29 11:31:38.557100,0 days 00:00:23.771917,1.2049656525449661,6,0.020882397304002286,0.2569615117218116,0.6325088405974555,COMPLETE
5,0.5128548882959904,2026-08-29 11:31:38.724128,2026-08-29 11:32:16.341513,0 days 00:00:37.617385,0.351469154463278,6,23.931813827774207,1.2161453362553412,0.8477090417516326,COMPLETE
6,0.4994563398962235,2026-08-29 11:32:16.540802,2026-08-29 11:32:26.983773,0 days 00:00:10.442971,1.3958166139351151,5,0.05628907258613558,1.5162604819437997,0.35545120041930967,COMPLETE
7,0.4920651575911985,2026-08-29 11:32:27.133960,2026-08-29 11:33:41.159837,0 days 00:01:14.025877,1.918309712023,7,92.92162900222398,0.6198952314441273,0.6944955057149131,COMPLETE
8,0.4997006572756564,2026-08-29 11:33:41.387168,2026-08-29 11:33:53.313621,0 days 00:00:11.926453,0.07077128371629082,5,0.011625032072533521,0.6411668974221092,0.5685996695034162,COMPLETE
9,0.49663786460223597,2026-08-29 11:33:53.480244,2026-08-29 11:34:30.558806,0 days 00:00:37.078562,0.6751307001015392,6,1.1776783445676424,1.0420711566502001,0.8052186776448143,COMPLETE
10,0.49490743536242077,2026-08-29 11:34:30.719203,2026-08-29 11:34:40.698320,0 days 00:00:09.979117,1.15588471046358,3,6.152677844496107,1.9752860741510756,0.9808009636523686,COMPLETE
11,0.4868206773575594,2026-08-29 11:34:40.868033,2026-08-29 11:34:48.315322,0 days 00:00:07.447289,0.9037653325914001,3,0.17610586157981406,0.01997310013860243,0.9403916533391988,COMPLETE
