number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.4950665775545482,2026-08-29 11:27:29.589492,2026-08-29 11:27:32.546774,0 days 00:00:02.957282,0.5159490287115169,3,31,0.1330830452710967,5,0.0006219136370237089,0.020246844166742006,0.6812551570377835,COMPLETE
1,0.48003769999505597,2026-08-29 11:27:32.738521,2026-08-29 11:27:36.050924,0 days 00:00:03.312403,0.4881491197255109,3,15,0.9530013913743769,7,0.17810303729855204,0.4645426212783978,0.7486099471193609,COMPLETE
2,0.5183253266428723,2026-08-29 11:27:36.264474,2026-08-29 11:27:37.793058,0 days 00:00:01.528584,0.7756515715729928,3,50,0.6024828262724831,6,3.294686014746819e-05,0.005054808169844367,0.8508143291581981,COMPLETE
3,0.4886759611462756,2026-08-29 11:27:38.024295,2026-08-29 11:27:41.479119,0 days 00:00:03.454824,0.46422747520056534,3,43,0.18760602333025855,7,0.9111125315005132,0.7188972376977392,0.8236327006574518,COMPLETE
4,0.47399064079654324,2026-08-29 11:27:41.717387,2026-08-29 11:27:44.166928,0 days 00:00:02.449541,0.9948189824016627,5,5,0.5299930857152509,23,0.0010175793605417826,179.22865612934532,0.935588629541977,COMPLETE
5,0.487161890416452,2026-08-29 11:27:44.299073,2026-08-29 11:27:46.453726,0 days 00:00:02.154653,0.5685996695034162,3,19,0.5210355783251001,3,0.6473064817618691,0.6851979810687185,0.5659235388361655,COMPLETE
6,0.4912750553439911,2026-08-29 11:27:46.580992,2026-08-29 11:27:48.768650,0 days 00:00:02.187658,0.39130793957375193,3,26,0.6221139040318746,7,0.5961318958579598,34.10790248082747,0.6243456294076555,COMPLETE
7,0.5034875931855164,2026-08-29 11:27:48.895784,2026-08-29 11:27:50.987973,0 days 00:00:02.092189,0.5790807735114661,4,36,0.801857491122601,4,3.6920619335626064e-05,226.09080191624543,0.8047686258073887,COMPLETE
8,0.4814890347458301,2026-08-29 11:27:51.121559,2026-08-29 11:27:56.498158,0 days 00:00:05.376599,0.7938904491043391,5,15,0.05874353139508637,15,0.031153937069115314,0.7684483673874448,0.8285743972896857,COMPLETE
9,0.5183253266428723,2026-08-29 11:27:56.860154,2026-08-29 11:27:58.265061,0 days 00:00:01.404907,0.74126878194512,4,50,0.5004279714746291,11,0.0002643862245975746,2.401833769836101,0.7868321773844915,COMPLETE
10,0.49335312970010364,2026-08-29 11:27:58.419005,2026-08-29 11:28:00.928035,0 days 00:00:02.509030,0.9880888632998539,2,6,0.3002800635424314,3,0.006337115636150469,0.0010057978209447092,0.9988726053516701,COMPLETE
11,0.5174691232280967,2026-08-29 11:28:01.045068,2026-08-29 11:28:02.776077,0 days 00:00:01.731009,0.9708762326343243,5,6,0.9859626612964322,29,16.36302734956384,11.84906751548378,0.9505401435941638,COMPLETE
12,0.48367407776217247,2026-08-29 11:28:02.905232,2026-08-29 11:28:04.958521,0 days 00:00:02.053289,0.6652491044370912,2,14,0.9965439053082112,4,0.015391356267083973,0.07322247830984069,0.7268119334152484,COMPLETE
13,0.4925420096973376,2026-08-29 11:28:05.086645,2026-08-29 11:28:07.780092,0 days 00:00:02.693447,0.9032191416624012,4,11,0.8135216876769832,15,0.0019102502993617687,153.70228768746927,0.9159758044801837,COMPLETE
14,0.48252275768447145,2026-08-29 11:28:08.013094,2026-08-29 11:28:10.423021,0 days 00:00:02.409927,0.867617357633063,5,23,0.3655026085591352,25,0.12152675958295008,0.09531968225150789,0.9098878129398537,COMPLETE
15,0.5100681991751443,2026-08-29 11:28:10.539692,2026-08-29 11:28:12.174125,0 days 00:00:01.634433,0.6450154797061802,4,10,0.7897249120824679,10,14.810072114438219,8.522851565388633,0.7274897129956143,COMPLETE
16,0.47722076304477845,2026-08-29 11:28:12.320958,2026-08-29 11:28:14.643656,0 days 00:00:02.322698,0.42519131953704614,2,21,0.719133190712411,3,0.0002513657229369238,25.61643673005945,0.9974310770667688,COMPLETE
17,0.48367010982382674,2026-08-29 11:28:14.836168,2026-08-29 11:28:17.509481,0 days 00:00:02.673313,0.3543748290255048,2,27,0.6605509164074458,3,0.00016042561760699233,51.95102234631332,0.9817629208929812,COMPLETE
18,0.4981670451727129,2026-08-29 11:28:17.651819,2026-08-29 11:28:20.748979,0 days 00:00:03.097160,0.6842292049792164,5,34,0.38886177994805643,22,1.0806703234223513e-05,48.28444647383036,0.9082464567824774,COMPLETE
19,0.48921016126950345,2026-08-29 11:28:20.888835,2026-08-29 11:28:23.712670,0 days 00:00:02.823835,0.8636839275306262,2,20,0.7086068690479337,3,0.0022486151931006668,10.058218333711201,0.8708355165189096,COMPLETE
20,0.4987668004544985,2026-08-29 11:28:23.859512,2026-08-29 11:28:25.946575,0 days 00:00:02.087063,0.40960598588091524,4,40,0.4814360374894975,10,0.0005500795394485232,285.2231313923926,0.95570741710825,COMPLETE
21,0.48723563545022475,2026-08-29 11:28:26.108406,2026-08-29 11:28:28.736110,0 days 00:00:02.627704,0.4947227568978729,2,17,0.8911119291075991,3,0.1177029084370215,2.641162449343175,0.7670278872212157,COMPLETE
22,0.4851137904293445,2026-08-29 11:28:28.978900,2026-08-29 11:28:31.427877,0 days 00:00:02.448977,0.44755723394118047,3,10,0.9029845523665111,6,6.641325158670983e-05,0.1795566623715484,0.6547245198232153,COMPLETE
23,0.47793339080778896,2026-08-29 11:28:31.561719,2026-08-29 11:28:33.504387,0 days 00:00:01.942668,0.5536290457790629,2,5,0.712529165403156,4,0.0022934147468400066,90.35655854601416,0.8740611553533858,COMPLETE
24,0.4831099332504391,2026-08-29 11:28:33.654010,2026-08-29 11:28:35.844627,0 days 00:00:02.190617,0.5695587777888051,2,5,0.7445016680202545,3,0.0027365047640422434,97.47902939074582,0.8708710395408495,COMPLETE
25,0.4964678986374848,2026-08-29 11:28:35.991567,2026-08-29 11:28:37.962752,0 days 00:00:01.971185,0.4100457216892136,2,10,0.6781413125619612,3,0.0008315719249573474,22.762708389445237,0.9506015079953642,COMPLETE
26,0.49748771539345915,2026-08-29 11:28:38.095747,2026-08-29 11:28:41.104791,0 days 00:00:03.009044,0.5349788175230127,2,23,0.5900873438813923,3,0.010062284896298637,3.31795017362398,0.9213846572122739,COMPLETE
27,0.496599841167704,2026-08-29 11:28:41.243965,2026-08-29 11:28:44.016283,0 days 00:00:02.772318,0.6210562917093052,4,8,0.5362355783897081,12,0.00013051312989928563,86.90904019373806,0.8827923029729452,COMPLETE
28,0.4796084275541757,2026-08-29 11:28:44.159132,2026-08-29 11:28:47.102348,0 days 00:00:02.943216,0.35479572213384625,5,14,0.4119512748992025,20,1.0693988073785294e-05,15.609559834704061,0.9732261337529825,COMPLETE
29,0.4958477352838822,2026-08-29 11:28:47.230151,2026-08-29 11:28:49.945381,0 days 00:00:02.715230,0.712103084929403,3,32,0.25355166227545317,4,0.0006611341121168231,5.221678779433208,0.9968974758458505,COMPLETE
30,0.4903592179336218,2026-08-29 11:28:50.112243,2026-08-29 11:28:53.105181,0 days 00:00:02.992938,0.9272126992843264,2,28,0.8689530462751524,3,0.033037619635953176,88.7289554013412,0.9364776165889735,COMPLETE
31,0.4807337461976721,2026-08-29 11:28:53.249239,2026-08-29 11:28:55.509860,0 days 00:00:02.260621,0.35340665579621056,5,13,0.447277477676098,21,2.7109789204644193e-05,20.19661456333013,0.9680199896037167,COMPLETE
32,0.4948200561816454,2026-08-29 11:28:55.631680,2026-08-29 11:28:57.724443,0 days 00:00:02.092763,0.439901480020173,5,19,0.40952120776644274,20,1.2958050367832196e-05,19.60948960418878,0.9004829729870559,COMPLETE
33,0.48350789466779936,2026-08-29 11:28:57.891215,2026-08-29 11:29:00.683091,0 days 00:00:02.791876,0.523346066193671,5,8,0.5514245545151443,25,0.0003085656576116506,49.049057934423274,0.9736273436756546,COMPLETE
34,0.49026989583146974,2026-08-29 11:29:00.817365,2026-08-29 11:29:04.807038,0 days 00:00:03.989673,0.8053551182655102,5,16,0.33089178210875136,31,0.0012385085333569703,101.22345773372716,0.8427704245200285,COMPLETE
