number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.49215046574156956,2026-08-29 11:24:23.537651,2026-08-29 11:24:27.926666,0 days 00:00:04.389015,0.5395907823879094,0.7155350116417496,3,15,0.00045045270750070034,0.032869784334126885,0.8062471914430749,COMPLETE
1,0.5181560351995774,2026-08-29 11:24:28.074953,2026-08-29 11:24:30.958701,0 days 00:00:02.883748,0.4919627896202563,1.9687780228206633,2,9,0.007222918069586425,0.014591216708644347,0.8615902125574169,COMPLETE
2,0.5826524474532514,2026-08-29 11:24:31.156927,2026-08-29 11:24:32.885349,0 days 00:00:01.728422,0.7090072880384823,1.964545714952274,3,29,28.685936353204884,4.584855787748904,0.7048556432476945,COMPLETE
3,0.5202246029700761,2026-08-29 11:24:33.027795,2026-08-29 11:24:38.167227,0 days 00:00:05.139432,0.6325088405974555,1.8242180043830118,2,4,0.4047690972886321,42.341358787439795,0.8211172718226174,COMPLETE
4,0.5086172229625561,2026-08-29 11:24:38.376051,2026-08-29 11:24:42.838052,0 days 00:00:04.462001,0.47194391516466805,0.025159386550659968,2,23,0.8137696670217525,6.645511623240726,0.7847035982790921,COMPLETE
5,0.5070192031860351,2026-08-29 11:24:43.002880,2026-08-29 11:24:51.430385,0 days 00:00:08.427505,0.973450656407475,0.049045619810533125,5,30,0.02709127721898411,0.16801272321361083,0.6894764270749287,COMPLETE
6,0.5093452844031062,2026-08-29 11:24:51.695955,2026-08-29 11:24:56.407498,0 days 00:00:04.711543,0.8328103949735441,1.0126960501523088,3,2,0.02257214060845831,0.7141263211261578,0.7013382327331343,COMPLETE
7,0.5116731367228943,2026-08-29 11:24:56.555301,2026-08-29 11:25:00.737840,0 days 00:00:04.182539,0.39130793957375193,1.8663417120956238,4,15,0.5961318958579598,34.10790248082747,0.6243456294076555,COMPLETE
8,0.5569151733775198,2026-08-29 11:25:00.859931,2026-08-29 11:25:04.291489,0 days 00:00:03.431558,0.7179991261662281,2.9327173775609148,4,3,0.001917540450209472,0.003017786845012373,0.8538204319984354,COMPLETE
9,0.500544024667622,2026-08-29 11:25:04.419476,2026-08-29 11:25:07.849186,0 days 00:00:03.429710,0.49737435032978,1.618085937057927,5,29,0.10225609921148712,5.50011817566983,0.747964314549465,COMPLETE
10,0.5334298921278965,2026-08-29 11:25:08.045127,2026-08-29 11:25:12.491409,0 days 00:00:04.446282,0.9973169427203459,2.900128098907924,4,16,1.0349133845137371e-05,0.0012014971676727528,0.994439366683992,COMPLETE
11,0.5094857941144778,2026-08-29 11:25:12.616826,2026-08-29 11:25:16.562380,0 days 00:00:03.945554,0.5509532139567618,0.850178836045653,5,22,9.461808976500287e-05,0.05485570628852163,0.5565538436493195,COMPLETE
12,0.5201958803718472,2026-08-29 11:25:16.687493,2026-08-29 11:25:19.774596,0 days 00:00:03.087103,0.350830009349281,0.9780423013090863,3,22,0.0003374425498505899,0.8894531601273492,0.9314220785439651,COMPLETE
13,0.5812970433176299,2026-08-29 11:25:19.979578,2026-08-29 11:25:25.227065,0 days 00:00:05.247487,0.5858891737896209,1.411771152317258,5,13,6.476763552467904,242.33379227479992,0.7608698832051682,COMPLETE
14,0.5160433987747003,2026-08-29 11:25:25.429172,2026-08-29 11:25:28.787868,0 days 00:00:03.358696,0.44694797616755627,0.6203791167755525,4,26,0.0005038871624215554,0.015586679358300189,0.9133177570362612,COMPLETE
15,0.5115258877130201,2026-08-29 11:25:28.921151,2026-08-29 11:25:33.335915,0 days 00:00:04.414764,0.6545108103022088,2.4991978919441284,3,18,0.14940168874563103,0.5574507746129559,0.7580834807313401,COMPLETE
16,0.4934672153614185,2026-08-29 11:25:33.609009,2026-08-29 11:25:37.340123,0 days 00:00:03.731114,0.5285447332319456,1.401405205917234,5,9,1.199103943380943e-05,3.0287078343212857,0.6365117768104106,COMPLETE
17,0.5157937255200045,2026-08-29 11:25:37.519442,2026-08-29 11:25:41.911134,0 days 00:00:04.391692,0.7819359182308933,0.4532326097350592,4,9,1.1598283657151868e-05,0.08726895685655149,0.5582874833578462,COMPLETE
