number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_random_strength,params_rsm,state
0,0.49445145904699056,2026-08-29 11:07:22.622039,2026-08-29 11:07:37.856580,0 days 00:00:15.234541,0.5833562535012597,5,0.7905216431037718,1.1388764064136658,0.5159490287115169,COMPLETE
1,0.47732754710870234,2026-08-29 11:07:38.004968,2026-08-29 11:07:46.284858,0 days 00:00:08.279890,0.5515339291895769,4,0.08995942734630685,0.2661660905421934,0.8000747514718244,COMPLETE
2,0.49217100337297687,2026-08-29 11:07:46.397132,2026-08-29 11:07:58.455604,0 days 00:00:12.058472,1.3125186818804422,4,0.5826687845738706,0.4250742145400337,0.6665105422009205,COMPLETE
3,0.5040011953475048,2026-08-29 11:07:58.579391,2026-08-29 11:08:56.715815,0 days 00:00:58.136424,1.9939935587236512,7,0.23795487499752505,1.1046378093491764,0.7845095865618417,COMPLETE
4,0.4769048070246304,2026-08-29 11:08:56.843008,2026-08-29 11:09:33.876912,0 days 00:00:37.033904,1.2049656525449661,6,0.020882397304002286,0.2569615117218116,0.6325088405974555,COMPLETE
5,0.509221860900318,2026-08-29 11:09:34.004549,2026-08-29 11:09:59.893136,0 days 00:00:25.888587,0.351469154463278,6,23.931813827774207,1.2161453362553412,0.8477090417516326,COMPLETE
6,0.49806307177911063,2026-08-29 11:10:00.010075,2026-08-29 11:10:08.904955,0 days 00:00:08.894880,1.3958166139351151,5,0.05628907258613558,1.5162604819437997,0.35545120041930967,COMPLETE
7,0.5028691924660811,2026-08-29 11:10:09.024394,2026-08-29 11:11:01.592947,0 days 00:00:52.568553,1.918309712023,7,92.92162900222398,0.6198952314441273,0.6944955057149131,COMPLETE
8,0.4923386684611017,2026-08-29 11:11:01.867220,2026-08-29 11:11:14.546796,0 days 00:00:12.679576,0.07077128371629082,5,0.011625032072533521,0.6411668974221092,0.5685996695034162,COMPLETE
9,0.5062391607457265,2026-08-29 11:11:14.682326,2026-08-29 11:11:46.642515,0 days 00:00:31.960189,0.6751307001015392,6,1.1776783445676424,1.0420711566502001,0.8052186776448143,COMPLETE
10,0.4891216253928645,2026-08-29 11:11:46.788627,2026-08-29 11:12:03.861345,0 days 00:00:17.072718,1.1077284958682108,3,6.152677844496107,1.9752860741510756,0.9803740862999877,COMPLETE
11,0.48522648152209813,2026-08-29 11:12:03.992603,2026-08-29 11:12:09.455331,0 days 00:00:05.462728,0.9207871575251,3,0.010042309081682882,0.01997310013860243,0.9427691449489327,COMPLETE
12,0.48105245970744753,2026-08-29 11:12:09.595761,2026-08-29 11:12:17.392414,0 days 00:00:07.796653,1.580879617627765,4,0.07597465971819672,0.05461900308191209,0.641393771073551,COMPLETE
