number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5070605773925781,2026-08-29 11:02:33.697652,2026-08-29 11:02:37.807987,0 days 00:00:04.110335,0.5395907823879094,0.7155350116417496,3,15,0.00045045270750070034,0.032869784334126885,0.8062471914430749,COMPLETE
1,0.5468493918430658,2026-08-29 11:02:37.946712,2026-08-29 11:02:40.224623,0 days 00:00:02.277911,0.4919627896202563,1.9687780228206633,2,9,0.007222918069586425,0.014591216708644347,0.8615902125574169,COMPLETE
2,0.5826524474532514,2026-08-29 11:02:40.505996,2026-08-29 11:02:42.142683,0 days 00:00:01.636687,0.7090072880384823,1.964545714952274,3,29,28.685936353204884,4.584855787748904,0.7048556432476945,COMPLETE
3,0.5222625045776367,2026-08-29 11:02:42.353752,2026-08-29 11:02:47.759447,0 days 00:00:05.405695,0.6325088405974555,1.8242180043830118,2,4,0.4047690972886321,42.341358787439795,0.8211172718226174,COMPLETE
4,0.5174592257841133,2026-08-29 11:02:47.891926,2026-08-29 11:02:50.726278,0 days 00:00:02.834352,0.47194391516466805,0.025159386550659968,2,23,0.8137696670217525,6.645511623240726,0.7847035982790921,COMPLETE
5,0.5048754053940008,2026-08-29 11:02:50.862278,2026-08-29 11:02:56.508206,0 days 00:00:05.645928,0.973450656407475,0.049045619810533125,5,30,0.02709127721898411,0.16801272321361083,0.6894764270749287,COMPLETE
6,0.5274313906445914,2026-08-29 11:02:56.654588,2026-08-29 11:03:02.033667,0 days 00:00:05.379079,0.8328103949735441,1.0126960501523088,3,2,0.02257214060845831,0.7141263211261578,0.7013382327331343,COMPLETE
7,0.5157665766021351,2026-08-29 11:03:02.193150,2026-08-29 11:03:06.614539,0 days 00:00:04.421389,0.39130793957375193,1.8663417120956238,4,15,0.5961318958579598,34.10790248082747,0.6243456294076555,COMPLETE
8,0.5669116074832868,2026-08-29 11:03:06.863379,2026-08-29 11:03:10.273791,0 days 00:00:03.410412,0.7179991261662281,2.9327173775609148,4,3,0.001917540450209472,0.003017786845012373,0.8538204319984354,COMPLETE
9,0.5235073031201775,2026-08-29 11:03:10.456267,2026-08-29 11:03:14.139903,0 days 00:00:03.683636,0.49737435032978,1.618085937057927,5,29,0.10225609921148712,5.50011817566983,0.747964314549465,COMPLETE
10,0.5282890496430573,2026-08-29 11:03:14.294359,2026-08-29 11:03:17.900088,0 days 00:00:03.605729,0.9984182625099197,2.900128098907924,5,21,1.0534407149388056e-05,0.21443944543733776,0.994439366683992,COMPLETE
11,0.5191874658090097,2026-08-29 11:03:18.075706,2026-08-29 11:03:22.299976,0 days 00:00:04.224270,0.9940587435929551,0.045596440041155595,4,15,0.00027021325455249757,0.06714174936683856,0.5528414387223163,COMPLETE
12,0.543980377903691,2026-08-29 11:03:22.480048,2026-08-29 11:03:25.762532,0 days 00:00:03.282484,0.8734610459081463,0.5918477803819043,3,22,0.0001774359744241033,0.01894360926728874,0.9314220785439651,COMPLETE
13,0.5077311617062416,2026-08-29 11:03:25.917914,2026-08-29 11:03:29.605534,0 days 00:00:03.687620,0.6109372686276506,0.5877428063161942,5,14,0.0004110144168924693,0.0027234277822081564,0.6678122105197081,COMPLETE
