number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_random_strength,params_rsm,state
0,3.2563544167943537,2026-08-29 11:56:15.704329,2026-08-29 11:56:16.991571,0 days 00:00:01.287242,0.5833562535012597,5,0.7905216431037718,1.1388764064136658,0.5159490287115169,COMPLETE
1,3.235106977880333,2026-08-29 11:56:17.162590,2026-08-29 11:56:18.324936,0 days 00:00:01.162346,0.5515339291895769,4,0.08995942734630685,0.2661660905421934,0.8000747514718244,COMPLETE
2,3.221399329219914,2026-08-29 11:56:18.498657,2026-08-29 11:56:19.781214,0 days 00:00:01.282557,1.3125186818804422,4,0.5826687845738706,0.4250742145400337,0.6665105422009205,COMPLETE
3,3.252333391822027,2026-08-29 11:56:20.345888,2026-08-29 11:56:21.699201,0 days 00:00:01.353313,1.9939935587236512,7,0.23795487499752505,1.1046378093491764,0.7845095865618417,COMPLETE
4,3.2653910162171123,2026-08-29 11:56:21.827526,2026-08-29 11:56:22.882317,0 days 00:00:01.054791,1.2049656525449661,6,0.020882397304002286,0.2569615117218116,0.6325088405974555,COMPLETE
5,3.2925643381615615,2026-08-29 11:56:23.041297,2026-08-29 11:56:24.202787,0 days 00:00:01.161490,0.351469154463278,6,23.931813827774207,1.2161453362553412,0.8477090417516326,COMPLETE
6,3.1885747226828656,2026-08-29 11:56:24.355421,2026-08-29 11:56:25.728789,0 days 00:00:01.373368,1.3958166139351151,5,0.05628907258613558,1.5162604819437997,0.35545120041930967,COMPLETE
7,3.308081401919346,2026-08-29 11:56:25.991441,2026-08-29 11:56:27.384058,0 days 00:00:01.392617,1.918309712023,7,92.92162900222398,0.6198952314441273,0.6944955057149131,COMPLETE
8,3.1982454216822163,2026-08-29 11:56:27.517454,2026-08-29 11:56:28.684835,0 days 00:00:01.167381,0.07077128371629082,5,0.011625032072533521,0.6411668974221092,0.5685996695034162,COMPLETE
9,3.1883003479432883,2026-08-29 11:56:28.842437,2026-08-29 11:56:30.131099,0 days 00:00:01.288662,0.6751307001015392,6,1.1776783445676424,1.0420711566502001,0.8052186776448143,COMPLETE
10,3.121071292927868,2026-08-29 11:56:30.334940,2026-08-29 11:56:31.961181,0 days 00:00:01.626241,0.9258038256225148,3,6.152677844496107,1.9752860741510756,0.9865248993645934,COMPLETE
11,3.1526070520246847,2026-08-29 11:56:32.282412,2026-08-29 11:56:33.513115,0 days 00:00:01.230703,0.9113327834493167,3,4.140262021178347,1.9945928097845487,0.9905961688291683,COMPLETE
12,3.1547554376945435,2026-08-29 11:56:33.696872,2026-08-29 11:56:34.967053,0 days 00:00:01.270181,0.9031608465496606,3,6.866075464515571,1.9639848020036985,0.9520437156318918,COMPLETE
13,3.166136893833874,2026-08-29 11:56:35.122045,2026-08-29 11:56:36.524184,0 days 00:00:01.402139,1.0283510635697768,3,5.1968248995936985,1.9553009466080415,0.9806551996700092,COMPLETE
14,3.1860994733962955,2026-08-29 11:56:36.702983,2026-08-29 11:56:37.865360,0 days 00:00:01.162377,1.6556965815770566,3,3.8623643023890812,1.6300362581421464,0.9218365142493851,COMPLETE
15,3.1434736693572547,2026-08-29 11:56:38.016811,2026-08-29 11:56:39.635915,0 days 00:00:01.619104,0.8999443565055805,4,14.567766619324138,1.7223086331457882,0.9987711767612589,COMPLETE
16,3.2027392272615707,2026-08-29 11:56:39.765218,2026-08-29 11:56:40.792160,0 days 00:00:01.026942,0.31064345795875337,4,24.028825472767284,1.6220344917239444,0.8888397959817117,COMPLETE
17,3.1828350657686695,2026-08-29 11:56:40.945834,2026-08-29 11:56:42.319820,0 days 00:00:01.373986,1.5317883199045579,4,19.672897800977932,1.4461555390315775,0.8809727621147578,COMPLETE
18,3.134934423135183,2026-08-29 11:56:42.437562,2026-08-29 11:56:43.538104,0 days 00:00:01.100542,0.7888431688693968,4,55.12582296393803,1.7776162333475625,0.999360811706984,COMPLETE
19,3.2227841860247888,2026-08-29 11:56:43.787552,2026-08-29 11:56:45.015579,0 days 00:00:01.228027,1.0896031738185679,3,98.96604142027643,1.7948926646759982,0.9127952262019058,COMPLETE
20,3.2223344743993727,2026-08-29 11:56:45.210804,2026-08-29 11:56:46.235110,0 days 00:00:01.024306,0.7251879172609621,5,37.2039179411414,1.308873484019629,0.7603075443336511,COMPLETE
21,3.138122729057553,2026-08-29 11:56:46.391515,2026-08-29 11:56:47.821002,0 days 00:00:01.429487,0.8686019798350018,4,11.0106625332525,1.7479648234735106,0.9817873398507602,COMPLETE
22,3.144318988189763,2026-08-29 11:56:48.084140,2026-08-29 11:56:49.348669,0 days 00:00:01.264529,0.7662284060524178,4,1.8338973443686997,1.8016700851979381,0.9397692503723432,COMPLETE
23,3.1914920522233374,2026-08-29 11:56:49.519968,2026-08-29 11:56:50.836914,0 days 00:00:01.316946,1.1177407257156569,3,51.32695499759235,1.3952311287807295,0.8546512220048648,COMPLETE
24,3.155782711157208,2026-08-29 11:56:51.089653,2026-08-29 11:56:52.134397,0 days 00:00:01.044744,0.4090744272342782,4,9.450102097327411,1.8169466991582426,0.9342911875033496,COMPLETE
25,3.1418650237189083,2026-08-29 11:56:52.674452,2026-08-29 11:56:53.738053,0 days 00:00:01.063601,0.8012608479909171,3,2.2472159525792947,1.5539453772889005,0.9957725037976524,COMPLETE
26,3.1787874558991085,2026-08-29 11:56:53.895354,2026-08-29 11:56:55.056255,0 days 00:00:01.160901,0.5751244852289975,4,11.541846715123887,1.70131377299036,0.8563646829112639,COMPLETE
27,3.231675733664447,2026-08-29 11:56:55.209564,2026-08-29 11:56:56.386884,0 days 00:00:01.177320,0.9707644268834756,5,54.06686037597912,1.8743385647330655,0.9458986815544556,COMPLETE
28,3.1847925070365792,2026-08-29 11:56:56.545445,2026-08-29 11:56:57.514181,0 days 00:00:00.968736,0.14805423961995579,4,2.471890349880772,0.9804304882177716,0.911575843677016,COMPLETE
29,3.264585614240183,2026-08-29 11:56:57.818319,2026-08-29 11:56:58.926033,0 days 00:00:01.107714,0.46186366775740045,5,0.5369520917607853,0.02353768253227051,0.48444476603883224,COMPLETE
30,3.218153162677717,2026-08-29 11:56:59.106763,2026-08-29 11:57:00.159869,0 days 00:00:01.053106,1.2548507757945373,3,32.475615219336,1.3265225439931916,0.7459478368011254,COMPLETE
31,3.132728388940547,2026-08-29 11:57:00.332818,2026-08-29 11:57:01.540045,0 days 00:00:01.207227,0.7834547353652388,3,2.190897218654418,1.5617199184164734,0.9974820803826276,COMPLETE
32,3.1320831765610166,2026-08-29 11:57:01.946722,2026-08-29 11:57:03.005475,0 days 00:00:01.058753,0.6393807016881539,3,1.0671158677447474,1.643561693095148,0.9628313522527316,COMPLETE
33,3.1238736664670816,2026-08-29 11:57:03.412681,2026-08-29 11:57:04.886318,0 days 00:00:01.473637,0.6288386271187909,3,0.27213352417910286,1.5642186256668014,0.9578535975051691,COMPLETE
34,3.2021255338489873,2026-08-29 11:57:05.086077,2026-08-29 11:57:06.127411,0 days 00:00:01.041334,0.6292515670251474,3,0.29805057436185595,1.5213970306561417,0.8361533837606088,COMPLETE
35,3.164839615603204,2026-08-29 11:57:06.300730,2026-08-29 11:57:07.595003,0 days 00:00:01.294273,0.5382744998849469,3,0.1110777351408307,1.2518747818721998,0.890237906275233,COMPLETE
36,3.1024158270193762,2026-08-29 11:57:07.936987,2026-08-29 11:57:09.532696,0 days 00:00:01.595709,0.2372723001106204,3,0.896361296368437,1.6522238226749042,0.9596689658804884,COMPLETE
37,3.1585431070874193,2026-08-29 11:57:09.684658,2026-08-29 11:57:10.885795,0 days 00:00:01.201137,0.2925680535513478,3,0.7079442405005093,0.9127910173223958,0.9481726980185682,COMPLETE
38,3.2130558715105706,2026-08-29 11:57:11.087194,2026-08-29 11:57:12.657792,0 days 00:00:01.570598,0.001323921034464215,3,0.33368995775380966,1.6574520727397208,0.8240216138237137,COMPLETE
39,3.1666079057257748,2026-08-29 11:57:12.869198,2026-08-29 11:57:13.964637,0 days 00:00:01.095439,0.19268133130093146,3,0.1013653937911761,1.4089960312444276,0.8801498053918723,COMPLETE
